dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
01-01,53,153,144,118,172,163,177,87,93
01-08,149,582,511,506,824,834,639,466,450
01-15,430,1455,1218,1585,2355,2370,1879,1306,1452
01-22,1022,2478,2275,3004,4453,4546,3718,2651,2767
01-29,1479,3313,3469,3988,6399,6683,5305,3820,4030
02-05,1560,3808,4312,4530,6950,7627,6098,4270,4627
02-12,1493,3641,3973,4123,6518,6890,5767,4099,4154
02-19,1295,3171,3088,3359,4997,5257,4608,3215,3223
02-26,930,2277,2099,2432,3236,3700,3019,2271,2382
03-04,609,1533,1349,1562,2026,2286,1921,1439,1642
03-11,387,865,753,981,1228,1303,1160,841,896
03-18,221,463,443,538,617,712,667,559,593
03-25,105,282,267,221,293,347,390,298,354
04-01,59,166,187,124,197,243,260,196,215
04-08,22,62,67,32,66,102,100,78,76
