time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,134568395798,0.9791511617091211,0.37666313900256576,2762,0,0,8,0,0,0,0,0,0
0,134568395813,0.9120200041479699,0.534781725086886,2743,0,0,11,0,0,0,0,0,0
0,134568395861,0.2670930121081643,0.3930282582830137,2742,0,0,8,0,0,0,0,0,0
0,134568395891,0.6555997692260189,0.100202534837314,2709,0,0,4,0,0,0,0,0,0
0,134568395921,0.8199581207255803,0.6836542844635749,2834,0,0,8,0,0,0,0,0,0
0,134568395951,0.8843972763852587,0.8643496270606393,2759,0,0,8,0,0,0,0,0,0
0,134568395981,0.718242345253535,0.7464408330220916,2689,0,0,6,0,0,0,0,0,0
0,134568396011,0.46744249908265123,0.017225327367926035,2724,0,0,13,0,0,0,0,0,0
0,134568396041,0.8471148673025601,0.34166914004441684,2724,0,0,4,0,0,0,0,0,0
0,134568396071,0.3133747282810678,0.1160546188024082,2785,0,0,13,0,0,0,0,0,0
0,134568396101,0.17776628488864388,0.500608683720099,2735,0,0,8,0,0,0,0,0,0
0,134568396131,0.5716648021821802,0.36680353873702365,2772,0,0,9,0,0,0,0,0,0
1.0,134568395798,0.9791511617091211,0.37666313900256576,2762,0,0,8,0,0,0,0,0,0
1.0,134568395813,0.9120200041479699,0.534781725086886,2743,0,0,11,0,0,0,0,0,0
1.0,134568395861,0.2670930121081643,0.3930282582830137,2742,0,0,6,0,0,0,0,2,0
1.0,134568395891,0.6555997692260189,0.100202534837314,2709,0,0,4,0,0,0,0,0,0
1.0,134568395921,0.8199581207255803,0.6836542844635749,2834,0,0,8,0,0,0,0,0,0
1.0,134568395951,0.8843972763852587,0.8643496270606393,2759,0,0,7,0,0,0,0,1,0
1.0,134568395981,0.718242345253535,0.7464408330220916,2689,0,0,6,0,0,0,0,0,0
1.0,134568396011,0.46744249908265123,0.017225327367926035,2724,0,0,13,0,0,0,0,0,0
1.0,134568396041,0.8471148673025601,0.34166914004441684,2724,0,0,3,0,0,0,0,1,0
1.0,134568396071,0.3133747282810678,0.1160546188024082,2785,0,0,13,0,0,0,0,0,0
