time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,0,0,0,18650,0,0,0,0,0,0,0,0,0
0,2,0,0,0,16920,0,0,0,0,0,0,0,0,0
0,3,0,0,0,17508,0,0,0,0,0,0,0,0,0
0,4,0,0,0,28117,0,0,0,0,0,0,0,0,0
0,5,0,0,0,72411,0,0,0,0,0,0,0,0,0
0,6,0,0,0,78817,0,0,0,0,0,0,0,0,0
0,7,0,0,0,79581,0,0,0,0,0,0,0,0,0
0,8,0,0,0,83499,0,0,0,0,0,0,0,0,0
0,9,0,0,0,95171,0,0,0,0,0,0,0,0,0
0,10,0,0,0,90929,0,0,0,0,0,0,0,0,0
0,11,0,0,0,78990,0,0,0,0,0,0,0,0,0
0,12,0,0,0,69507,0,0,0,0,0,0,0,0,0
0,13,0,0,0,70525,0,0,0,0,0,0,0,0,0
0,14,0,0,0,55454,0,0,0,0,0,0,0,0,0
0,15,0,0,0,46134,0,0,0,0,0,0,0,0,0
0,16,0,0,0,39953,0,0,0,0,0,0,0,0,0
0,17,0,0,0,57834,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,18650,0,0,0,0,0,0,0,0,0
1.0,2,0,0,0,16920,0,0,0,0,0,0,0,0,0
1.0,3,0,0,0,17508,0,0,0,0,0,0,0,0,0
1.0,4,0,0,0,28117,0,0,0,0,0,0,0,0,0
1.0,5,0,0,0,72411,0,0,0,0,0,0,0,0,0
1.0,6,0,0,0,78817,0,0,0,0,0,0,0,0,0
1.0,7,0,0,0,79581,0,0,0,0,0,0,0,0,0
1.0,8,0,0,0,83499,0,0,0,0,0,0,0,0,0
1.0,9,0,0,0,95171,0,0,0,0,0,0,0,0,0
1.0,10,0,0,0,90929,0,0,0,0,0,0,0,0,0
1.0,11,0,0,0,78990,0,0,0,0,0,0,0,0,0
1.0,12,0,0,0,69507,0,0,0,0,0,0,0,0,0
1.0,13,0,0,0,70525,0,0,0,0,0,0,0,0,0
1.0,14,0,0,0,55454,0,0,0,0,0,0,0,0,0
1.0,15,0,0,0,46134,0,0,0,0,0,0,0,0,0
1.0,16,0,0,0,39953,0,0,0,0,0,0,0,0,0
1.0,17,0,0,0,57834,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,18650,0,0,0,0,0,0,0,0,0
2.0,2,0,0,0,16920,0,0,0,0,0,0,0,0,0
2.0,3,0,0,0,17508,0,0,0,0,0,0,0,0,0
2.0,4,0,0,0,28117,0,0,0,0,0,0,0,0,0
2.0,5,0,0,0,72411,0,0,0,0,0,0,0,0,0
2.0,6,0,0,0,78817,0,0,0,0,0,0,0,0,0
2.0,7,0,0,0,79581,0,0,0,0,0,0,0,0,0
2.0,8,0,0,0,83499,0,0,0,0,0,0,0,0,0
2.0,9,0,0,0,95171,0,0,0,0,0,0,0,0,0
2.0,10,0,0,0,90929,0,0,0,0,0,0,0,0,0
2.0,11,0,0,0,78990,0,0,0,0,0,0,0,0,0
2.0,12,0,0,0,69507,0,0,0,0,0,0,0,0,0
2.0,13,0,0,0,70525,0,0,0,0,0,0,0,0,0
