dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
01-01,5,11,11,13,11,16,16,6,11
01-02,5,11,11,12,11,15,15,6,9
01-03,5,14,13,12,16,17,16,4,8
01-04,7,18,14,15,19,17,22,7,12
01-05,10,26,25,19,31,22,27,16,12
01-06,9,33,31,21,37,31,37,22,16
01-07,12,40,39,26,47,45,44,26,25
01-08,14,47,47,32,56,60,57,33,34
01-09,12,58,54,49,72,72,71,42,43
01-10,12,66,64,66,94,88,80,58,49
01-11,17,79,68,71,114,113,85,66,59
01-12,22,89,80,80,140,136,95,71,69
01-13,32,114,89,93,163,165,116,90,85
01-14,40,129,109,115,185,200,135,106,111
01-15,49,148,122,132,227,238,169,120,126
01-16,52,162,131,162,256,265,203,141,148
01-17,55,190,159,195,294,291,234,157,176
01-18,56,210,168,224,333,341,255,183,200
01-19,60,241,181,261,374,374,293,208,234
01-20,75,247,217,292,419,420,344,238,270
01-21,83,257,240,319,452,441,381,259,298
01-22,105,276,276,352,496,501,423,296,310
01-23,122,314,287,370,545,557,465,324,356
01-24,137,331,300,413,606,586,502,357,381
01-25,148,365,315,443,639,639,536,379,391
01-26,160,388,334,470,684,701,560,410,418
01-27,167,397,372,467,717,761,598,432,451
01-28,183,407,391,489,766,801,634,453,460
01-29,200,420,405,513,799,835,670,487,504
01-30,201,424,448,520,833,881,693,489,536
01-31,214,464,477,535,880,920,719,524,542
02-01,208,484,504,562,933,936,757,545,575
02-02,216,496,524,598,943,1001,784,565,605
02-03,216,510,545,622,1002,1046,830,601,628
02-04,224,515,566,638,1009,1064,852,609,640
02-05,222,534,609,646,1002,1091,867,608,666
02-06,232,539,616,653,997,1105,866,614,660
02-07,240,535,625,644,987,1107,870,611,659
02-08,223,537,637,657,992,1103,872,610,657
02-09,216,548,627,667,1007,1100,881,609,664
02-10,215,555,596,631,985,1062,868,611,666
02-11,212,560,602,632,980,1059,874,607,655
02-12,205,547,589,623,964,1048,862,608,641
02-13,214,546,592,618,974,1024,866,616,637
02-14,209,533,596,606,961,1001,850,615,625
02-15,203,512,565,589,945,998,844,587,607
02-16,220,515,550,570,914,971,812,584,562
02-17,225,497,543,560,889,942,786,552,548
02-18,217,491,538,557,871,906,747,537,534
02-19,207,484,516,539,825,864,719,514,527
02-20,200,468,483,519,803,838,705,489,492
02-21,198,468,459,481,751,799,681,478,480
02-22,188,463,445,471,706,735,669,461,455
02-23,176,447,421,474,675,698,638,449,439
02-24,166,433,398,450,631,668,618,424,417
02-25,160,408,366,425,606,655,578,400,413
02-26,155,393,350,408,587,628,538,376,392
02-27,141,359,329,389,528,593,476,354,378
02-28,137,350,319,366,485,540,446,343,357
02-29,132,327,301,348,450,524,417,331,339
03-01,123,300,294,335,423,498,400,308,326
03-02,124,283,264,307,391,473,375,287,300
03-03,118,265,242,279,372,444,367,272,290
03-04,104,255,234,262,350,417,345,264,287
03-05,99,250,225,248,324,384,311,243,274
03-06,90,232,206,239,303,354,286,220,253
03-07,84,222,200,231,281,328,260,202,238
03-08,86,205,174,206,276,296,252,182,212
03-09,77,189,159,194,255,269,236,170,193
03-10,69,180,151,182,237,238,231,158,185
03-11,65,161,134,168,221,222,209,144,162
03-12,62,150,118,163,203,212,187,138,142
03-13,60,127,113,144,182,199,177,132,131
03-14,59,118,105,143,177,186,167,119,125
03-15,51,113,101,135,163,176,148,106,116
03-16,45,100,94,115,148,157,140,99,113
03-17,45,96,88,113,134,151,132,103,107
03-18,44,85,81,102,122,134,122,92,104
03-19,40,77,73,96,108,120,115,88,98
03-20,37,73,72,85,100,111,100,86,93
03-21,30,65,59,74,88,97,94,81,86
03-22,26,63,56,66,70,90,86,79,79
03-23,23,51,55,60,67,84,81,67,70
03-24,21,49,47,55,62,76,69,66,63
03-25,22,48,46,46,56,68,69,57,59
03-26,17,46,42,37,44,60,62,55,60
03-27,19,40,41,31,44,54,56,44,56
03-28,16,40,39,28,43,50,50,39,52
03-29,13,38,34,27,40,40,52,37,46
03-30,10,37,33,25,34,38,51,35,42
03-31,8,33,32,27,32,37,50,31,39
04-01,6,31,32,21,31,34,42,31,37
04-02,9,24,32,20,31,32,38,27,36
04-03,9,24,29,18,29,34,37,28,33
04-04,9,21,25,17,31,37,37,28,31
04-05,9,20,23,16,29,36,35,29,29
04-06,9,22,25,18,24,35,36,29,25
04-07,8,24,21,14,22,35,35,24,24
04-08,8,25,24,12,24,35,34,26,25
04-09,7,20,22,10,21,36,34,26,25
04-10,7,17,21,10,21,31,32,26,26
