dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
01-01,0.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.5714285714285714,2.2857142857142856,2.428571428571429,2.5714285714285716,2.7142857142857144
01-02,0.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.5714285714285714,2.2857142857142856,2.428571428571429,2.5714285714285716,2.7142857142857144
01-03,0.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.6428571428571428,2.4285714285714284,2.571428571428571,2.7142857142857144,2.857142857142857
01-04,0.0,0.7186718551075901,1.8659151387866089,2.160401706144646,3.0175445632875033,4.1691739877883975,4.749374840860721,4.892231983717864,5.17794626943215
01-05,0.0,0.7901004265361615,2.008772281643752,2.3032588490017893,3.7449887000388458,4.615289979647331,5.481205118433939,5.766919404148225,6.05263368986251
01-06,0.0,0.7901004265361615,2.1516294245008947,2.8746874204303605,4.816417271467417,6.043861408218758,7.266919404148225,7.766919404148225,8.195490832719655
01-07,0.0,0.5043861408218759,2.0087722816437514,2.8746874204303605,4.968046695968312,6.338347975576797,8.347120257220547,8.918548828649119,9.347120257220547
01-08,0.0,0.5758147122504473,2.1516294245008947,3.1647878469665223,5.33396183475492,7.3558925388643,9.507521963365194,10.078950534793766,10.507521963365193
01-09,0.0,0.7186718551075901,2.1516294245008947,3.4548882735026836,5.4899774000776915,7.659151387866089,9.882209383795555,10.525066526652697,10.810780812366986
01-10,0.0,0.5758147122504473,2.0131584224656276,3.4636605551464354,5.498749681721442,7.373437102151803,9.302008530723231,9.802008530723231,10.087722816437516
01-11,0.07142857142857142,0.7186718551075901,2.298872708179913,3.606517698003578,6.078950534793766,7.659151387866089,9.302008530723231,9.802008530723231,10.37782324297368
01-12,0.07142857142857142,0.5714285714285714,2.0043861408218757,3.3120311306455408,5.489977400077691,6.498749681721442,8.141606824578584,8.713035396007157,9.645992965400461
01-13,0.07142857142857142,0.5714285714285714,1.861528997964733,2.7406025592169696,4.489977400077691,5.498749681721442,7.070178253150014,7.570178253150015,8.360278679686175
01-14,0.07142857142857142,0.7857142857142856,1.7186718551075901,2.597745416359827,4.199876973541529,5.427321110292871,7.070178253150014,7.570178253150015,8.360278679686175
01-15,0.07142857142857142,1.080200853072323,1.8703012796084846,2.6065176980035782,4.20864925518528,5.721807677650909,7.29323624907948,7.721807677650909,9.436093294936633
01-16,0.3571428571428571,2.4373437102151803,3.156015565322771,4.030702985753131,5.338347975576797,6.704263114363405,8.132834542934834,8.561405971506263,9.989977303077701
01-17,0.3571428571428571,2.1516294245008947,2.4373437102151803,3.1647878469665223,4.472432836790188,5.838347975576796,6.981205118433939,7.409776547005367,8.838347878576805
01-18,0.3571428571428571,2.1516294245008947,2.4373437102151803,3.1647878469665223,4.17794626943215,4.820803412289292,5.820803412289292,6.392231983717863,7.67794617243216
01-19,0.42857142857142855,2.588973134716075,2.8746874204303605,3.169173987788398,4.0350891265750075,4.392231983717863,5.392231983717864,5.820803412289292,6.963660458146446
01-20,0.42857142857142855,2.2944865673580375,2.580200853072323,2.8746874204303605,3.303258849001789,3.660401706144646,4.588973134716076,4.946115991858932,6.088973037716084
01-21,0.2857142857142857,1.4373437102151803,1.7230579959294658,2.0175445632875033,2.3032588490017893,2.5175445632875038,3.446115991858932,3.7318302775732177,4.803258752001798
