time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,5,0,0,0,0,0,0,0,0,0
0,2,15,0,0,0,0,0,0,0,0,0
0,3,21,0,0,1,0,0,0,0,0,0
0,4,27,0,0,1,0,0,0,0,0,0
0,5,30,0,0,2,0,0,0,0,0,0
0,6,33,0,0,3,0,0,0,0,0,0
0,7,36,0,0,3,0,0,0,0,0,0
0,8,45,0,0,4,0,0,0,0,0,0
0,9,51,0,0,6,0,0,0,0,0,0
0,10,59,0,0,7,0,0,0,0,0,0
0,11,61,0,0,7,0,0,0,0,0,0
0,12,70,0,0,9,0,0,0,0,0,0
0,13,78,0,0,9,0,0,0,0,0,0
0,14,80,0,0,9,0,0,0,0,0,0
0,15,82,0,0,9,0,0,0,0,0,0
0,16,84,0,0,9,0,0,0,0,0,0
0,17,90,0,0,10,0,0,0,0,0,0
1.0,1,5,0,0,0,0,0,0,0,0,0
1.0,2,15,0,0,0,0,0,0,0,0,0
1.0,3,21,0,0,1,0,0,0,0,0,0
1.0,4,27,0,0,1,0,0,0,0,0,0
1.0,5,30,0,0,2,0,0,0,0,0,0
1.0,6,33,0,0,3,0,0,0,0,0,0
1.0,7,36,0,0,3,0,0,0,0,0,0
1.0,8,45,0,0,4,0,0,0,0,0,0
1.0,9,51,0,0,6,0,0,0,0,0,0
1.0,10,59,0,0,7,0,0,0,0,0,0
1.0,11,61,0,0,7,0,0,0,0,0,0
1.0,12,70,0,0,9,0,0,0,0,0,0
1.0,13,78,0,0,9,0,0,0,0,0,0
1.0,14,80,0,0,9,0,0,0,0,0,0
1.0,15,82,0,0,9,0,0,0,0,0,0
1.0,16,84,0,0,9,0,0,0,0,0,0
1.0,17,90,0,0,10,0,0,0,0,0,0
2.0,1,3,2,0,0,0,0,0,0,0,0
2.0,2,6,9,0,0,0,0,0,0,0,0
2.0,3,9,12,0,1,0,0,0,0,0,0
2.0,4,12,15,0,1,0,0,0,0,0,0
2.0,5,13,17,0,2,0,0,0,0,0,0
2.0,6,14,19,0,3,0,0,0,0,0,0
2.0,7,15,21,0,3,0,0,0,0,0,0
2.0,8,15,30,0,4,0,0,0,0,0,0
2.0,9,15,36,0,6,0,0,0,0,0,0
2.0,10,15,43,0,7,1,0,0,0,0,0
2.0,11,16,44,0,7,1,0,0,0,0,0
2.0,12,21,48,0,9,1,0,0,0,0,0
2.0,13,28,49,0,9,1,0,0,0,0,0
2.0,14,30,49,0,9,1,0,0,0,0,0
2.0,15,30,51,0,9,1,0,0,0,0,0
2.0,16,32,51,0,9,1,0,0,0,0,0
2.0,17,38,51,0,10,1,0,0,0,0,0
3.0,1,2,2,0,1,0,0,0,0,0,0
3.0,2,4,9,0,1,1,0,0,0,0,0
3.0,3,6,12,1,2,1,0,0,0,0,0
3.0,4,8,15,1,3,1,0,0,0,0,0
3.0,5,9,17,1,4,1,0,0,0,0,0
3.0,6,10,19,1,5,1,0,0,0,0,0
3.0,7,10,22,1,5,1,0,0,0,0,0
3.0,8,10,30,1,7,1,0,0,0,0,0
3.0,9,10,36,1,9,1,0,0,0,0,0
3.0,10,10,42,2,10,2,0,0,0,0,0
3.0,11,11,43,2,10,2,0,0,0,0,0
3.0,12,15,47,2,12,3,0,0,0,0,0
3.0,13,22,47,2,12,4,0,0,0,0,0
3.0,14,24,47,2,12,4,0,0,0,0,0
3.0,15,24,49,2,12,4,0,0,0,0,0
3.0,16,26,49,2,12,4,0,0,0,0,0
3.0,17,31,50,2,13,4,0,0,0,0,0
4.0,1,2,2,0,1,0,0,0,0,0,0
4.0,2,3,8,1,2,1,0,0,0,0,0
4.0,3,5,10,2,4,1,0,0,0,0,0
4.0,4,5,15,2,5,1,0,0,0,0,0
4.0,5,5,18,2,6,1,0,0,0,0,0
4.0,6,5,20,2,7,2,0,0,0,0,0
4.0,7,5,23,2,7,2,0,0,0,0,0
4.0,8,5,31,2,9,2,0,0,0,0,0
