time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,97509289039,0,0,5,0,0,0,0,0,0,0,0,0
0,2,97509289039,0,0,8,0,0,2,0,0,0,0,0,0
0,3,97509289039,0,0,7,0,0,0,0,0,0,0,0,0
0,4,97509289039,0,0,5,0,0,1,0,0,0,0,0,0
0,5,97509289039,0,0,4,0,0,0,0,0,0,0,0,0
0,6,97509289039,0,0,4,0,0,0,0,0,0,0,0,0
0,7,97509289039,0,0,3,0,0,0,0,0,0,0,0,0
0,8,97509289039,0,0,9,0,0,1,0,0,0,0,0,0
0,9,97509289039,0,0,5,0,0,3,0,0,0,0,0,0
0,10,97509289039,0,0,8,0,0,1,0,0,0,0,0,0
0,11,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
0,12,97509289039,0,0,11,0,0,0,0,0,0,0,0,0
0,13,97509289039,0,0,7,0,0,1,0,0,0,0,0,0
0,14,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
0,15,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
0,16,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
0,17,97509289039,0,0,6,0,0,1,0,0,0,0,0,0
1.0,1,97509289039,0,0,5,0,0,0,0,0,0,0,0,0
1.0,2,97509289039,0,0,8,0,0,2,0,0,0,0,0,0
1.0,3,97509289039,0,0,7,0,0,0,0,0,0,0,0,0
1.0,4,97509289039,0,0,5,0,0,1,0,0,0,0,0,0
1.0,5,97509289039,0,0,4,0,0,0,0,0,0,0,0,0
1.0,6,97509289039,0,0,4,0,0,0,0,0,0,0,0,0
1.0,7,97509289039,0,0,3,0,0,0,0,0,0,0,0,0
1.0,8,97509289039,0,0,9,0,0,1,0,0,0,0,0,0
1.0,9,97509289039,0,0,5,0,0,3,0,0,0,0,0,0
1.0,10,97509289039,0,0,8,0,0,1,0,0,0,0,0,0
1.0,11,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
1.0,12,97509289039,0,0,11,0,0,0,0,0,0,0,0,0
1.0,13,97509289039,0,0,7,0,0,1,0,0,0,0,0,0
1.0,14,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
1.0,15,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
1.0,16,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
1.0,17,97509289039,0,0,6,0,0,1,0,0,0,0,0,0
2.0,1,97509289039,0,0,4,1,0,0,0,0,0,0,0,0
2.0,2,97509289039,0,0,8,0,0,2,0,0,0,0,0,0
2.0,3,97509289039,0,0,2,5,0,0,0,0,0,0,0,0
2.0,4,97509289039,0,0,2,3,0,1,0,0,0,0,0,0
2.0,5,97509289039,0,0,0,4,0,0,0,0,0,0,0,0
2.0,6,97509289039,0,0,3,1,0,0,0,0,0,0,0,0
2.0,7,97509289039,0,0,0,3,0,0,0,0,0,0,0,0
2.0,8,97509289039,0,0,0,9,0,1,0,0,0,0,0,0
2.0,9,97509289039,0,0,0,4,1,3,0,0,0,0,0,0
2.0,10,97509289039,0,0,3,5,0,1,0,0,0,0,0,0
2.0,11,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
2.0,12,97509289039,0,0,2,9,0,0,0,0,0,0,0,0
2.0,13,97509289039,0,0,4,3,0,1,0,0,0,0,0,0
2.0,14,97509289039,0,0,0,2,0,0,0,0,0,0,0,0
2.0,15,97509289039,0,0,0,2,0,0,0,0,0,0,0,0
2.0,16,97509289039,0,0,1,1,0,0,0,0,0,0,0,0
2.0,17,97509289039,0,0,2,4,0,1,0,0,0,0,0,0
3.0,1,97509289039,0,0,4,1,0,0,0,0,0,0,0,0
3.0,2,97509289039,0,0,8,0,0,2,0,0,0,0,0,0
3.0,3,97509289039,0,0,2,4,0,0,1,0,0,0,0,0
3.0,4,97509289039,0,0,0,2,1,3,0,0,0,0,0,0
3.0,5,97509289039,0,0,0,4,0,0,0,0,0,0,0,0
3.0,6,97509289039,0,0,1,2,0,0,1,0,0,0,0,0
3.0,7,97509289039,0,0,0,3,0,0,0,0,0,0,0,0
3.0,8,97509289039,0,0,0,9,0,1,0,0,0,0,0,0
3.0,9,97509289039,0,0,0,3,2,3,0,0,0,0,0,0
3.0,10,97509289039,0,0,2,5,0,1,1,0,0,0,0,0
3.0,11,97509289039,0,0,2,0,0,0,0,0,0,0,0,0
3.0,12,97509289039,0,0,2,7,1,0,1,0,0,0,0,0
