time,0.0.0.0,0.0.0.1,0.0.0.2,0.0.0.3,0.0.0.4,0.0.1.0,0.0.1.1,0.0.1.2,0.0.2.0,0.0.2.1,0.0.2.2,0.0.3.0,0.0.3.1,0.0.3.2,0.0.3.3,0.0.4.0,0.0.4.1,0.0.4.2,0.0.4.3,0.0.4.4,0.0.4.5,0.0.4.6,0.0.4.7,0.0.4.8,0.1.0.0,0.1.0.1,0.1.0.2,0.1.0.3,0.1.0.4,0.1.0.5,0.1.0.6,0.1.0.7,0.1.0.8,0.1.1.0,0.1.1.1,0.1.1.2,0.1.1.3,0.1.1.4,0.1.1.5,0.1.2.0,0.1.2.1,0.1.2.2,0.1.2.3,0.1.2.4,0.1.2.5,0.1.2.6,0.1.3.0,0.1.3.1,0.1.4.0,0.1.4.1,0.1.4.2,0.1.4.3,0.1.4.4,0.1.4.5,0.1.4.6,0.1.4.7,1.0.0.0,1.0.0.1,1.0.0.2,1.0.0.3,1.0.0.4,1.0.0.5,1.0.0.6,1.0.0.7,1.0.0.8,1.0.1.0,1.0.1.1,1.0.1.2,1.0.1.3,1.0.1.4,1.0.2.0,1.0.2.1,1.0.3.0,1.0.3.1,1.0.3.2,1.0.4.0,1.0.4.1,1.0.4.2,1.0.4.3,1.0.4.4,1.1.0.0,1.1.0.1,1.1.1.0,1.1.1.1,1.1.1.2,1.1.2.0,1.1.2.1,1.1.2.2,1.1.2.3,1.1.2.4,1.1.3.0,1.1.3.1,1.1.3.2,1.1.3.3,1.1.3.4,1.1.4.0,1.1.4.1,1.1.4.2,1.1.4.3,1.1.4.4
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,4.2520202949048596,3.1860559607741377,0,0,0,0,0,0,6.608242628568127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.738976217880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.412638002939603,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,1.0490456166806736,0,6.2670239778832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,4.2520202949048596,3.1860559607741377,0,0,0,0,0,0,4.8512586660292625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.738976217880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7711715016566172,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,1.0490456166806736,0,4.600762425320748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0.12378024912891653,3.1860559607741377,0,0,0,0,0,0,2.917288877396448,0,0,0,0,0,0,0,0,0,0,0,0,2.4341123543918277,0,0,10.738976217880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065088315724381,0,0,0,0,0,0,0,0,0.4865483022450401,5.041727268821385,0,0,0,0,0,0,0,0,0,0,0.11669851738621723,0,4.600762425320748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0.33212503491774625,3.1860559607741377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.531168392253984,0,5.159153682148587,10.738976217880257,0,0,5.847823023129943,0,2.8666871272167564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5877647654044664,0,0,0,0,0,0,0,0,1.3054980338907205,5.041727268821385,0,0,0,0,0,0,0,0,0,0,0.3131234541415394,0,0.9454209876353641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0.24382041405145982,3.1860559607741377,0,0,0,0,0,0,0,0,0,0.2674678715235255,0,0,0,0,0,0,0,0,0,4.794676745863357,0,13.842952400629226,10.738976217880257,0,0,15.690778128318616,0,7.69184558057815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3091181971794115,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,0.22987092875103848,0,2.536737328774788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0.1466206258955704,2.9999206828432943,0,0,0,0,0,0,0,0,1.0064196426537737,0.7176651912907953,0,0,0,0,0,0,0,0,0,2.8832635207364135,0,10.16242086915238,10.738976217880257,0.3387084104014531,0,11.518951051021226,1.1859096999526832,5.646755821165129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1576376718502391,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,0.13823214754101734,0,1.8622755914646483,0.09106772434117652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,4.164576592488406,0,0,8.049335564853372,0,0,0,0,0,0,0,0,2.7004078704847583,0.5268540630614538,0,0,0,0,0,0,0,0,0,1.591117545696029,0,6.111139275380158,0.7793094631903166,0.9088165795688088,0,6.926884360079523,3.182012504239387,3.395658546474074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88458271078709,0,0,0,0,0,0,0,0,0,0,0,0.6480788690799915,0,0,0,0,0,0,0,0,0,0,0.07628286271786186,0,1.11987346864632,0.2443513512013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,11.174320264594767,1.2736343539511077,0,5.909197211669827,0,0,0,0,0,0,0,0,1.9824297956113932,0.31682200517218,0,0,0,0,0,0,0,0,0,0.8368031161031363,2.0590822511737223,3.372407986754537,2.091029744206167,0.6671825711126435,0,3.822573678424976,2.3359865253539636,1.8738807096992725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.056679906772958,0,0,0,0,0,0,0,0,0,0,0,1.7389140718118197,0,0,0,0,0,0,0,0,0,0,0.040118806684172864,0,0.617997734895744,0.17938379032073468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0,8.203318350668349,3.4173937866120654,0,3.5534768369826826,0,0,0,0,0,0,0,0,1.1921278148810932,0.17483696778548405,0,0,0,0,0,0,0,0,0,0.4267354566090539,5.52489407140661,1.773622269279174,1.5350716881445905,0.4012081045129617,0,2.010374138788451,1.4047380231202844,0.9855143771895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.712221780873652,0,0,0,0,0,0,0,0,0,0,0,1.2765757001548255,0,0,0,0,0,0,0,0,0,0,0.020458954991356425,0,0.32501836945001844,0.10787186837766101,0.5319012631602682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,9.089687635957075,4.933039243964856,2.5087851875875504,0,1.9609721077813544,0,0,0,0,0,0,0,0,0.6578710094750929,0.09195054120839102,0,0,0,0,0,0,0,0,0,0.21300040504079323,4.055948267839647,0.9044750125423177,0.9231104482614265,0.2214051022304662,0,1.02520880905179,0.7751991101812891,0.5025721339365988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.883422083990289,0,0,0,2.232332690813938,0,0,0,0,0,0,0,0,0,0,0,0.767664712932005,0,0,0,0,0,0,0,0,0,0,0.010211866936247031,0,0.165746111151538,0.05952866299881994,1.4271883183552914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,24.389293483643478,2.7222781539839387,1.5086499457916096,0,0,0,0,0,0,0,0,0,4.866655212985758,0.3459885865829326,0,0,0,0,0,0,0,0,0,0,0.1046514397142444,2.4390315140109293,0.45145895668399155,0.5094148419943738,0.11644172988271632,0,0.511721930290588,0.40769397129381435,0.25085346537956305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.419931324441917,5.861004455246167,0,0,1.2319039472596298,2.370929660074587,0,0,4.423103512439049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005017298332572982,0,0.0827303854471063,0.0313074108381321,1.0477308547275683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,17.904725661759446,1.4317049348838307,0.832542492837872,0,0,0,0,0,0,0,0,0,13.058125540385028,0.17644006652909205,0,0,0,0,0,0,0,0,0,0,0.050798408287049394,1.3459698735608976,0.22181098566372223,0.26791227858882305,0.05938053266489603,0,0.2514194126908164,0.20790729581291567,0.12324941966307949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.649504562468182,15.726146320196364,0.16075115661869485,0,0.6478849187447464,6.3616376738721225,0,0.5676741261146644,11.867995248447468,0,0.08029618112959346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002435425350018222,0,0.04064712432587121,0.015965502520441044,0.6300495973148286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,10.76694949120046,0.7301111185654169,0.43785209595576835,0,0,0,0,0,0,0,0,0,9.586261923257684,0.08806815804516337,0,0,0,0,0,0,0,0,0,0,0.0244226040794575,0.7078746554102024,0.10766832298786762,0.13662433412913166,0,0,0.12204042306567396,0.10377468647902244,0.0598259742845642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.600005094337141,11.544915631469127,0.43132473783799896,0,0.3303948817950905,4.670220454995239,0,1.5231734487896513,8.712560666057167,0,0.2154493317722517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011708915907850009,0,0.01973034697695627,0.007969008552877762,0.34769037298758504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,5.941698400393328,0.3644270977972467,0.22328670926207106,0,0,0,0,0,0,0,0,0,5.764667936665333,0.04326968078132458,0,0,0,0,0,0,0,0,0,0,0.01165082590627222,0.3609872005558098,0.05176423657554288,0.06819456423700483,0,0,0.058673982802376734,0.05098661828292825,0.028762832003777824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538494578539793,6.942498077459167,0.316645133951867,0,0.16491304520362693,2.808422128416108,0,1.1181956850920876,5.239270481022223,0,0.15816617164325025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005585749183408622,1.0241286185659375,0.009485857309654556,0.003915336301797482,0.18285788397097874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0.17905045977758383,0.11145115498714786,0,0,0,0,0,0,0,0,0,3.181209151772867,0.0210033509025948,0,0,0,0,0,0,0,0,0,0,0.0055223849300355485,0.18018287147714407,0.02469417702349027,0.0335053791410457,0,0,0.027990477863623724,0.024749196568956414,0.013721335659256786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3350491792885004,3.831190046473757,0.1904135382077188,0,0.08102513985790097,1.5498166199885017,0,0.6724233976049488,2.8912706483632693,0,0.09511272127093136,1.2807207665936924,0.5492116488386813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026475940299483704,2.7479242899828256,0,0.0019005266681748545,0.09325006218225357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,0,0.08691211878786612,0.054758223699089434,0,0,0,0,0,0,0,0,0,1.6730666683804605,0.010097885755344874,0,0,0,0,0,0,0,0,0,0,0,0.0885275166886113,0.011704814075089526,0,0,0,0.013267230527867924,0.011898794656571692,0.006503787617652571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01490567302501,0.10507895632896609,0,0.0393300670039105,0,0,0.3710741867231432,1.520581741174597,0,0.05248757824065357,3.436407927098313,1.4736352473956011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012481600554303397,2.017312661575204,0,0.0009137256840214474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,0,0.04178517277290314,0.026579955441944234,0,0,0,0,0,0,0,0,0,0.853195757675368,0.004817205756363498,0,0,0,0,0,0,0,0,0,0,0,0,0.0055180217282218514,0,0,0,0.006254594550280673,0.005676331016429365,0.0030660923923879263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0275197066743789,0.055263294865169336,0,0.01890891244913127,0,0,0.1951559371558115,0.7754346645520336,3.0613923989262917,0.027604352140603573,2.522743893251933,0,0,1.1482499462073725,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2131045147220088,0,0.0004358936842274625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,0,0.01993365538976606,0.012778977729775074,0,0,0,0,0,0,0,0,0,0,0.002283311474039007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.002690528990408079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128753899387047,0.02818202623077019,0,0,0,0,0.0995215676776815,0.38704985740983416,8.214275415873189,0.01407709362983027,0,0,0,3.0809645008973656,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6694469181381884,0,0.00020660961997376616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,0,0.009448370356791936,0.006096223167085237,0,0,0,0,0,0,0,0,0,0,0.0010764256694055295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0012684009617101952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2519861309221953,0,0.5721863407372216,0,0,0,0,0.19016548260260202,6.030283244161168,0.007026429602961193,0,0,2.036137616607349,2.2618049267881504,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.35207660721170775,0,9.740234786823652e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,0,0.004454262373635044,0.0028895540298066913,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12231551134138147,0,1.535280545435679,0,0,0,0,0.09230741453465072,3.626291535211128,0,0,0,5.4633294226830875,1.3601291561639763,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17954470872373884,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,0,0.0,0.001362227697001875,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588062383645302,0,1.1270837754401295,0,0,0,0,0.044379096014960595,2.001154610387377,0,0,0,4.010752282699835,0.7505818837649978,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08961780674373011,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028053570502098026,0,0.677768222298632,0,0,0,0,0.021171088875938184,1.0524504731319388,0,0,0,2.4118530529499638,0.39474723971468534,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.044031054767093555,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
