time,0.0.0.0,0.0.0.1,0.0.0.2,0.0.0.3,0.0.0.4,0.0.1.0,0.0.1.1,0.0.1.2,0.0.2.0,0.0.2.1,0.0.2.2,0.0.3.0,0.0.3.1,0.0.3.2,0.0.3.3,0.0.4.0,0.0.4.1,0.0.4.2,0.0.4.3,0.0.4.4,0.0.4.5,0.0.4.6,0.0.4.7,0.0.4.8,0.1.0.0,0.1.0.1,0.1.0.2,0.1.0.3,0.1.0.4,0.1.0.5,0.1.0.6,0.1.0.7,0.1.0.8,0.1.1.0,0.1.1.1,0.1.1.2,0.1.1.3,0.1.1.4,0.1.1.5,0.1.2.0,0.1.2.1,0.1.2.2,0.1.2.3,0.1.2.4,0.1.2.5,0.1.2.6,0.1.3.0,0.1.3.1,0.1.4.0,0.1.4.1,0.1.4.2,0.1.4.3,0.1.4.4,0.1.4.5,0.1.4.6,0.1.4.7,1.0.0.0,1.0.0.1,1.0.0.2,1.0.0.3,1.0.0.4,1.0.0.5,1.0.0.6,1.0.0.7,1.0.0.8,1.0.1.0,1.0.1.1,1.0.1.2,1.0.1.3,1.0.1.4,1.0.2.0,1.0.2.1,1.0.3.0,1.0.3.1,1.0.3.2,1.0.4.0,1.0.4.1,1.0.4.2,1.0.4.3,1.0.4.4,1.1.0.0,1.1.0.1,1.1.1.0,1.1.1.1,1.1.1.2,1.1.2.0,1.1.2.1,1.1.2.2,1.1.2.3,1.1.2.4,1.1.3.0,1.1.3.1,1.1.3.2,1.1.3.3,1.1.3.4,1.1.4.0,1.1.4.1,1.1.4.2,1.1.4.3,1.1.4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,4.2520202949048596,3.1860559607741377,0,0,0,0,0,0,6.608242628568127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.738976217880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.412638002939603,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,1.0490456166806736,0,6.2670239778832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,3.1215031685752574,2.3389549172029733,0,0,0,0,0,0,4.8512586660292625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.883722552203299,0,0,0,0.12378024912891653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7711715016566172,0,0,0,0,0,0,0,0,0,3.7012447150303105,0,0,0,0,0,0,0,0,0,0,0.7701278426099276,0,4.600762425320748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,1.8771059432903552,1.406523056061428,0,0,0,0,0,0,2.917288877396448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.740851333092675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4341123543918277,0,1.065088315724381,0,0.4865483022450401,0,0,0,0,0,0,0,2.2257316673897556,0,0,0,0,0,0,0,0,0,0,0.4631139141583164,0,2.7666537644997153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,1.035873474630147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17504777607932584,0,2.6162200171330663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73873052322288,0,6.531168392253984,0,0.5877647654044664,0,1.3054980338907205,0,0,0,0,0,8.771734534694914,4.3000306908251344,1.2282611986470837,0,0,0,0,0,0,0,0,0,0,0.2555675779108315,0,1.5267669139160525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0.9454209876353641,0,0,0.5447882551505029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46968518121230907,0,1.375926667813009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.764428600943837,0,4.794676745863357,0,0.3091181971794115,0,0.9583952960529873,0,0.17831191434901703,0,0,0,23.536167192477926,11.537768370867225,0.6459691184957927,0,0,0,0,0,0,0,0,0,0,0.13440851441127355,2.9999206828432943,0.802959727635483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,2.536737328774788,0,0,0.27781978860155954,0,0,0,0,0,0,0,0,0,0,1.0064196426537737,0,0,0,0,0,0,0,0,0,0,0.34480639312655775,0,0.7016664775151138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.243631303728568,0,0,0,0.1576376718502391,0,0,0,0.47844346086053025,0,0,0,17.27842657653184,8.470133731747694,0.32941790181225283,0,0,0,0,0,0,0,0,0,0,0.0685428599221064,8.049335564853372,0.40947670893827964,0.22580560693430207,1.1859096999526832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,1.8622755914646483,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7004078704847583,0,0,0,0,0,0,0,0,0,0,0.20734822131152603,0.09106772434117652,0.35022926171139945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.166708913070238,0,0,0,0,6.24686488873261,0,0,0.3512360420409692,0.7793094631903166,0,0,10.390326540119284,5.093487819711111,0.16442539617226973,0,0,0,0,0,0,0,0,0,0,0.03421242997260065,5.909197211669827,0.20438588710599795,0.6058777197125392,3.182012504239387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,1.11987346864632,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9824297956113932,0,0,0,0,0,0,0,0,0,0,0.11442429407679279,0.2443513512013699,0.17207477357207543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826874066180635,0,0,0,0.6480788690799915,0,16.76148039689215,0,0,0.21121467011478667,2.091029744206167,1.9104515309266614,0,5.7338605176374635,2.8108210645489087,0.08078554795103575,0,0,0,0,0,0,0,0,0,0,0,3.5534768369826826,0,0.4447883807417623,2.3359865253539636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0.617997734895744,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1921278148810932,0,0,0,0,0,0,0,0,0,0,0.060178210026259296,0.17938379032073468,0.08352608074656125,1.3727215007824816,0,0.5319012631602682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.585019860159437,0,0,0,1.7389140718118197,0,12.304977526002522,0,9.089687635957075,0.11655797852365603,1.5350716881445905,5.126090679918097,0,3.0155612081826764,1.47827156578425,0.03921376771992124,0,0,0,0,0,0,0,0,0,0,0,1.9609721077813544,0,0.2674720696753078,1.4047380231202844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
