time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,90,0,0,10,0,0,0,0,0,0,0
1.0,90,0,0,8,0,0,0,0,2,0,0
2.0,76,19,0,3,0,0,0,0,2,0,0
3.0,72,20,1,3,2,0,0,0,2,0,0
4.0,72,16,4,2,3,0,0,0,3,0,0
5.0,72,15,4,3,2,0,0,0,4,0,0
6.0,72,10,6,5,3,0,0,0,4,0,0
7.0,71,7,9,4,3,0,0,0,6,0,0
8.0,70,6,10,5,3,0,0,0,6,0,0
9.0,65,10,10,6,3,0,0,0,6,0,0
10.0,64,9,10,6,5,0,0,0,6,0,0
11.0,64,5,11,5,6,0,0,0,9,0,0
12.0,62,4,13,6,6,0,0,0,9,0,0
13.0,59,7,13,5,5,1,0,0,10,0,0
14.0,59,6,13,5,6,0,1,0,10,0,0
15.0,59,4,14,5,5,0,1,0,12,0,0
16.0,59,4,14,2,2,1,1,0,17,0,0
17.0,59,2,14,1,3,1,1,0,19,0,0
18.0,59,2,10,1,2,1,1,0,24,0,0
19.0,59,0,10,1,2,1,1,0,26,0,0
20.0,59,0,9,1,2,1,1,0,27,0,0
21.0,59,0,9,1,2,1,1,0,27,0,0
22.0,59,0,7,1,2,1,0,0,29,1,0
23.0,59,0,6,1,1,1,0,0,31,1,0
24.0,59,0,6,1,1,1,0,0,31,1,0
25.0,59,0,6,0,1,1,0,0,32,1,0
26.0,59,0,5,0,1,1,0,0,33,1,0
27.0,59,0,5,0,0,1,0,0,34,1,0
28.0,59,0,5,0,0,1,0,0,34,1,0
29.0,59,0,4,0,0,0,0,0,36,1,0
30.0,59,0,3,0,0,0,0,0,37,1,0
31.0,59,0,3,0,0,0,0,0,37,1,0
32.0,59,0,3,0,0,0,0,0,37,1,0
33.0,59,0,2,0,0,0,0,0,38,1,0
34.0,59,0,2,0,0,0,0,0,38,1,0
35.0,59,0,2,0,0,0,0,0,38,1,0
36.0,59,0,1,0,0,0,0,0,39,1,0
37.0,59,0,1,0,0,0,0,0,39,1,0
38.0,59,0,1,0,0,0,0,0,39,1,0
39.0,59,0,0,0,0,0,0,0,40,1,0
40.0,59,0,0,0,0,0,0,0,40,1,0
41.0,59,0,0,0,0,0,0,0,40,1,0
42.0,59,0,0,0,0,0,0,0,40,1,0
43.0,59,0,0,0,0,0,0,0,40,1,0
44.0,59,0,0,0,0,0,0,0,40,1,0
45.0,59,0,0,0,0,0,0,0,40,1,0
46.0,59,0,0,0,0,0,0,0,40,1,0
47.0,59,0,0,0,0,0,0,0,40,1,0
48.0,59,0,0,0,0,0,0,0,40,1,0
49.0,59,0,0,0,0,0,0,0,40,1,0
50.0,59,0,0,0,0,0,0,0,40,1,0
51.0,59,0,0,0,0,0,0,0,40,1,0
52.0,59,0,0,0,0,0,0,0,40,1,0
53.0,59,0,0,0,0,0,0,0,40,1,0
54.0,59,0,0,0,0,0,0,0,40,1,0
55.0,59,0,0,0,0,0,0,0,40,1,0
56.0,59,0,0,0,0,0,0,0,40,1,0
57.0,59,0,0,0,0,0,0,0,40,1,0
58.0,59,0,0,0,0,0,0,0,40,1,0
59.0,59,0,0,0,0,0,0,0,40,1,0
60.0,59,0,0,0,0,0,0,0,40,1,0
