time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,999,0,0,1,0,0,0,0,0,0,0
1.0,996,3,0,1,0,0,0,0,0,0,0
2.0,996,2,1,1,0,0,0,0,0,0,0
3.0,993,4,1,1,1,0,0,0,0,0,0
4.0,990,7,1,1,1,0,0,0,0,0,0
5.0,990,6,1,1,1,0,0,0,1,0,0
6.0,987,8,1,2,1,0,0,0,1,0,0
7.0,984,7,4,2,1,0,0,0,2,0,0
8.0,972,18,4,2,2,0,0,0,2,0,0
9.0,969,18,5,3,3,0,0,0,2,0,0
10.0,960,23,6,5,4,0,0,0,2,0,0
11.0,948,33,7,4,4,0,0,0,4,0,0
12.0,942,31,10,5,6,1,0,0,5,0,0
13.0,918,49,14,5,7,1,0,0,6,0,0
14.0,900,60,14,8,9,1,0,0,8,0,0
15.0,882,65,18,15,9,1,0,0,10,0,0
16.0,843,95,20,16,8,1,0,0,17,0,0
17.0,816,105,23,22,13,0,0,0,21,0,0
18.0,766,139,24,31,16,0,0,0,24,0,0
19.0,721,147,39,39,22,0,0,0,32,0,0
20.0,618,224,49,48,24,2,0,0,35,0,0
