time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,990,0,0,10,0,0,0,0,0,0,0
1.0,990,0,0,10,0,0,0,0,0,0,0
2.0,355,603,10,22,9,0,0,0,1,0,0
3.0,241,597,45,71,43,0,0,0,3,0,0
4.0,207,522,85,114,65,0,0,0,7,0,0
5.0,207,411,124,150,89,2,0,0,17,0,0
6.0,207,313,151,185,108,1,0,0,35,0,0
7.0,207,239,173,199,113,2,0,0,67,0,0
8.0,207,183,186,207,110,6,0,0,101,0,0
9.0,207,139,196,196,108,6,0,0,148,0,0
10.0,207,116,198,180,102,7,0,0,190,0,0
11.0,207,88,196,159,96,7,0,0,246,1,0
12.0,207,67,186,144,92,8,0,0,295,1,0
13.0,207,53,178,124,71,12,0,0,353,2,0
14.0,207,35,175,104,68,9,0,0,399,3,0
15.0,207,30,167,89,56,11,0,0,437,3,0
16.0,207,23,155,76,49,11,0,0,474,5,0
17.0,207,13,145,65,39,13,0,0,513,5,0
18.0,207,9,134,53,34,12,1,0,545,5,0
19.0,207,7,126,40,25,14,1,0,575,5,0
20.0,207,3,113,35,22,11,2,0,602,5,0
21.0,207,1,104,23,15,8,2,0,633,7,0
22.0,207,0,94,15,13,6,2,0,656,7,0
23.0,207,0,86,12,12,5,2,0,669,7,0
24.0,207,0,74,11,5,5,2,0,689,7,0
25.0,207,0,66,8,3,5,2,0,702,7,0
26.0,207,0,62,6,1,5,1,1,710,7,0
27.0,207,0,57,4,1,3,0,0,719,9,0
28.0,207,0,50,1,1,1,1,0,729,10,0
29.0,207,0,45,0,0,1,1,0,736,10,0
30.0,207,0,42,0,0,1,1,0,739,10,0
31.0,207,0,35,0,0,1,1,0,746,10,0
32.0,207,0,32,0,0,1,0,0,750,10,0
33.0,207,0,28,0,0,1,0,0,754,10,0
34.0,207,0,19,0,0,1,0,0,763,10,0
35.0,207,0,17,0,0,1,0,0,765,10,0
36.0,207,0,15,0,0,1,0,0,767,10,0
37.0,207,0,14,0,0,1,0,0,768,10,0
38.0,207,0,11,0,0,1,0,0,771,10,0
39.0,207,0,9,0,0,1,0,0,773,10,0
40.0,207,0,7,0,0,1,0,0,775,10,0
41.0,207,0,7,0,0,1,0,0,775,10,0
42.0,207,0,6,0,0,1,0,0,776,10,0
43.0,207,0,4,0,0,1,0,0,778,10,0
44.0,207,0,3,0,0,1,0,0,779,10,0
45.0,207,0,2,0,0,1,0,0,780,10,0
46.0,207,0,2,0,0,1,0,0,780,10,0
47.0,207,0,0,0,0,1,0,0,782,10,0
48.0,207,0,0,0,0,1,0,0,782,10,0
49.0,207,0,0,0,0,1,0,0,782,10,0
50.0,207,0,0,0,0,0,0,0,783,10,0
51.0,207,0,0,0,0,0,0,0,783,10,0
52.0,207,0,0,0,0,0,0,0,783,10,0
53.0,207,0,0,0,0,0,0,0,783,10,0
54.0,207,0,0,0,0,0,0,0,783,10,0
55.0,207,0,0,0,0,0,0,0,783,10,0
56.0,207,0,0,0,0,0,0,0,783,10,0
57.0,207,0,0,0,0,0,0,0,783,10,0
58.0,207,0,0,0,0,0,0,0,783,10,0
59.0,207,0,0,0,0,0,0,0,783,10,0
60.0,207,0,0,0,0,0,0,0,783,10,0
