cell,microcell,location_x,location_y,household_number,place_number,Susceptible
0,0,-64.6916666666667,32.3833333333333,30,4,74
0,1,-64.6916666666667,32.3833333333333,32,4,79
0,2,-64.6916666666667,32.3833333333333,27,3,67
0,3,-64.6916666666667,32.3833333333333,27,6,66
0,4,-64.6916666666667,32.3833333333333,37,3,91
0,5,-64.6916666666667,32.3833333333333,33,9,81
0,6,-64.6916666666667,32.3833333333333,32,3,79
0,7,-64.6916666666667,32.3833333333333,29,5,72
0,8,-64.6916666666667,32.3833333333333,34,3,84
1,0,-64.6833333333333,32.3833333333333,26,1,63
1,1,-64.6833333333333,32.3833333333333,23,7,56
1,2,-64.6833333333333,32.3833333333333,21,2,51
1,3,-64.6833333333333,32.3833333333333,24,11,58
1,4,-64.6833333333333,32.3833333333333,24,4,58
1,5,-64.6833333333333,32.3833333333333,25,3,60
1,6,-64.6833333333333,32.3833333333333,29,8,70
1,7,-64.6833333333333,32.3833333333333,20,3,49
1,8,-64.6833333333333,32.3833333333333,26,3,64
2,0,-64.675,32.3833333333333,25,5,62
2,1,-64.675,32.3833333333333,18,3,43
2,2,-64.675,32.3833333333333,17,8,42
2,3,-64.675,32.3833333333333,19,10,46
2,4,-64.675,32.3833333333333,16,3,38
2,5,-64.675,32.3833333333333,21,2,51
2,6,-64.675,32.3833333333333,17,5,40
2,7,-64.675,32.3833333333333,19,7,46
2,8,-64.675,32.3833333333333,19,6,47
3,0,-64.7,32.375,18,7,44
3,1,-64.7,32.375,14,7,33
3,2,-64.7,32.375,17,11,42
3,3,-64.7,32.375,15,8,36
3,4,-64.7,32.375,18,3,43
3,5,-64.7,32.375,18,2,44
3,6,-64.7,32.375,9,3,20
3,7,-64.7,32.375,11,4,25
3,8,-64.7,32.375,17,5,42
4,0,-64.6916666666667,32.375,7,4,15
4,1,-64.6916666666667,32.375,6,8,13
4,2,-64.6916666666667,32.375,8,4,19
4,3,-64.6916666666667,32.375,6,1,13
4,4,-64.6916666666667,32.375,7,4,15
4,5,-64.6916666666667,32.375,5,5,11
4,6,-64.6916666666667,32.375,5,4,11
4,7,-64.6916666666667,32.375,6,3,14
4,8,-64.6916666666667,32.375,11,4,26
5,0,-64.6833333333333,32.375,17,2,41
5,1,-64.6833333333333,32.375,16,7,38
5,2,-64.6833333333333,32.375,15,6,35
5,3,-64.6833333333333,32.375,10,7,23
5,4,-64.6833333333333,32.375,9,6,21
5,5,-64.6833333333333,32.375,10,7,23
5,6,-64.6833333333333,32.375,13,6,31
5,7,-64.6833333333333,32.375,13,4,30
5,8,-64.6833333333333,32.375,14,2,33
6,0,-64.675,32.375,19,2,45
6,1,-64.675,32.375,19,6,47
6,2,-64.675,32.375,18,3,44
6,3,-64.675,32.375,18,5,43
6,4,-64.675,32.375,21,9,52
6,5,-64.675,32.375,19,6,46
6,6,-64.675,32.375,14,6,33
6,7,-64.675,32.375,19,9,46
6,8,-64.675,32.375,15,4,36
7,0,-64.6666666666667,32.375,8,4,19
7,1,-64.6666666666667,32.375,11,10,25
7,2,-64.6666666666667,32.375,13,6,30
7,3,-64.6666666666667,32.375,7,9,15
7,4,-64.6666666666667,32.375,9,4,20
7,5,-64.6666666666667,32.375,8,1,18
7,6,-64.6666666666667,32.375,11,6,27
7,7,-64.6666666666667,32.375,6,8,14
7,8,-64.6666666666667,32.375,8,6,19
8,0,-64.6583333333333,32.375,19,3,46
8,1,-64.6583333333333,32.375,19,5,46
8,2,-64.6583333333333,32.375,18,4,43
8,3,-64.6583333333333,32.375,19,6,46
8,4,-64.6583333333333,32.375,18,5,43
8,5,-64.6583333333333,32.375,20,4,49
8,6,-64.6583333333333,32.375,18,1,44
8,7,-64.6583333333333,32.375,20,4,49
8,8,-64.6583333333333,32.375,15,6,37
9,0,-64.7166666666667,32.3666666666667,0,3,0
9,1,-64.7166666666667,32.3666666666667,0,3,0
9,2,-64.7166666666667,32.3666666666667,0,3,0
9,3,-64.7166666666667,32.3666666666667,0,7,0
9,4,-64.7166666666667,32.3666666666667,1,7,1
9,5,-64.7166666666667,32.3666666666667,0,4,0
9,6,-64.7166666666667,32.3666666666667,0,5,0
9,7,-64.7166666666667,32.3666666666667,0,2,0
9,8,-64.7166666666667,32.3666666666667,1,4,1
10,0,-64.7083333333333,32.3666666666667,4,5,8
10,1,-64.7083333333333,32.3666666666667,4,6,9
10,2,-64.7083333333333,32.3666666666667,3,6,7
10,3,-64.7083333333333,32.3666666666667,3,7,7
10,4,-64.7083333333333,32.3666666666667,3,8,6
10,5,-64.7083333333333,32.3666666666667,3,6,6
10,6,-64.7083333333333,32.3666666666667,5,3,11
10,7,-64.7083333333333,32.3666666666667,2,7,4
10,8,-64.7083333333333,32.3666666666667,3,5,7
11,0,-64.7,32.3666666666667,0,6,0
11,1,-64.7,32.3666666666667,0,4,0
11,2,-64.7,32.3666666666667,0,9,0
11,3,-64.7,32.3666666666667,0,4,0
11,4,-64.7,32.3666666666667,0,5,0
11,5,-64.7,32.3666666666667,0,2,0
11,6,-64.7,32.3666666666667,1,6,1
11,7,-64.7,32.3666666666667,0,3,0
11,8,-64.7,32.3666666666667,0,6,0
12,0,-64.6916666666667,32.3666666666667,0,2,0
12,1,-64.6916666666667,32.3666666666667,0,3,0
12,2,-64.6916666666667,32.3666666666667,0,5,0
12,3,-64.6916666666667,32.3666666666667,0,3,0
12,4,-64.6916666666667,32.3666666666667,0,4,0
12,5,-64.6916666666667,32.3666666666667,0,5,0
12,6,-64.6916666666667,32.3666666666667,0,6,0
12,7,-64.6916666666667,32.3666666666667,0,3,0
12,8,-64.6916666666667,32.3666666666667,0,3,0
13,0,-64.6833333333333,32.3666666666667,2,7,3
13,1,-64.6833333333333,32.3666666666667,4,2,8
13,2,-64.6833333333333,32.3666666666667,2,6,3
13,3,-64.6833333333333,32.3666666666667,3,6,7
13,4,-64.6833333333333,32.3666666666667,2,8,4
13,5,-64.6833333333333,32.3666666666667,2,1,3
13,6,-64.6833333333333,32.3666666666667,3,6,5
13,7,-64.6833333333333,32.3666666666667,3,2,7
13,8,-64.6833333333333,32.3666666666667,4,5,9
14,0,-64.675,32.3666666666667,8,6,19
14,1,-64.675,32.3666666666667,5,3,12
14,2,-64.675,32.3666666666667,3,5,7
14,3,-64.675,32.3666666666667,5,6,12
14,4,-64.675,32.3666666666667,9,3,22
14,5,-64.675,32.3666666666667,9,4,20
14,6,-64.675,32.3666666666667,7,8,15
14,7,-64.675,32.3666666666667,6,4,14
14,8,-64.675,32.3666666666667,7,10,15
15,0,-64.6666666666667,32.3666666666667,12,4,29
15,1,-64.6666666666667,32.3666666666667,11,8,25
15,2,-64.6666666666667,32.3666666666667,17,3,41
15,3,-64.6666666666667,32.3666666666667,15,4,35
15,4,-64.6666666666667,32.3666666666667,8,7,18
15,5,-64.6666666666667,32.3666666666667,13,5,31
15,6,-64.6666666666667,32.3666666666667,14,10,34
15,7,-64.6666666666667,32.3666666666667,11,4,27
