dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,0.862268031991621,1.4541973028152482,4.556376923336403,5.903269430781732,8.786362038622533,8.714609491335686,6.627805494764974,3.8673932068403847,8.194432568990603
03-25,3.8369660342019247,10.092577023731874,28.292458842833664,56.56889371238374,66.29920300233644,51.53301748844239,60.237376928293,43.766832073952486,56.85395855531921
04-01,1.6428571428571428,8.117555145067445,39.09387252954837,59.07882058324375,108.09004176707043,74.90585934896906,112.8142530599622,67.44011619063978,64.79278073120477
04-08,10.245684516286545,23.781560740227892,70.00771618648174,117.75404845567654,213.92031909852867,180.70026145052745,159.35272059374898,97.39722798392555,117.44783038903851
04-15,34.53717172975784,92.86550679653286,193.73328072824458,393.8525103147251,592.9368362012641,571.503787251348,462.2893842616784,313.29003459909455,357.0638725921667
04-22,46.24600839274066,149.8777004049551,325.2426162969969,657.8814290186111,997.4827495137546,960.3075760046352,763.9778319340176,592.5066370404734,701.7910403133236
04-29,65.73737742531375,167.18423926651857,401.5904804338046,743.0569797734565,1190.9552914931126,1086.0660428469437,905.9781496474143,687.4284629178838,835.3823154693732
05-06,82.04424016333134,194.705711595276,495.155545073581,881.3017487135647,1391.610072532443,1331.5889202033777,1081.5935492666501,897.102120801152,1009.7910849350302
05-13,80.51316523778463,193.7015580497896,457.4393161999747,839.6450794746521,1338.3553746339876,1295.9719545711432,1106.116315709566,888.0569072191835,1049.0399455025959
05-20,67.36421129071636,183.51160270393123,427.10267354520613,827.1847852682215,1246.973845057021,1314.3976086265238,1161.9606135274248,815.7785291903128,1079.683770696266
05-27,75.22167802431333,171.86809780816583,478.0447332927831,828.2680822793643,1279.6820317802042,1353.61124320816,1137.3891870434834,766.0914881361166,1046.222828637523
06-03,56.29310659574191,143.76397492891994,397.1942780449383,679.138600255699,1112.0675985219107,1152.5605248199172,937.3868643521412,691.0703399820258,1020.5527251447057
06-10,31.505772927757008,89.5224439581198,254.7643549579622,458.5283271035659,703.9018670047441,771.980626365788,705.2852192847147,544.7211264731089,792.761451987616
