time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,0.0,-64.6912037037037,32.3837962962963,10,0,0,0,0,0,0,0,0,0
0,2,0.0,-64.6912037037037,32.3837962962963,9,0,0,0,0,0,0,0,0,0
0,3,0.0,-64.6912037037037,32.3837962962963,9,0,0,0,0,0,0,0,0,0
0,4,0.0,-64.6912037037037,32.3837962962963,10,0,0,0,0,0,0,0,0,0
0,5,0.0,-64.6912037037037,32.3837962962963,38,0,0,0,0,0,0,0,0,0
0,6,0.0,-64.6912037037037,32.3837962962963,46,0,0,0,0,0,0,0,0,0
0,7,0.0,-64.6912037037037,32.3837962962963,47,0,0,0,0,0,0,0,0,0
0,8,0.0,-64.6912037037037,32.3837962962963,64,0,0,0,0,0,0,0,0,0
0,9,0.0,-64.6912037037037,32.3837962962963,80,0,0,0,0,0,0,0,0,0
0,10,0.0,-64.6912037037037,32.3837962962963,57,0,0,0,0,0,0,0,0,0
0,11,0.0,-64.6912037037037,32.3837962962963,75,0,0,0,0,0,0,0,0,0
0,12,0.0,-64.6912037037037,32.3837962962963,60,0,0,0,0,0,0,0,0,0
0,13,0.0,-64.6912037037037,32.3837962962963,45,0,0,0,0,0,0,0,0,0
0,14,0.0,-64.6912037037037,32.3837962962963,32,0,0,0,0,0,0,0,0,0
0,15,0.0,-64.6912037037037,32.3837962962963,41,0,0,0,0,0,0,0,0,0
0,16,0.0,-64.6912037037037,32.3837962962963,29,0,0,0,0,0,0,0,0,0
0,17,0.0,-64.6912037037037,32.3837962962963,41,0,0,0,0,0,0,0,0,0
0,1,1.0,-64.6828703703704,32.3837962962963,5,0,0,0,0,0,0,0,0,0
0,2,1.0,-64.6828703703704,32.3837962962963,6,0,0,0,0,0,0,0,0,0
0,3,1.0,-64.6828703703704,32.3837962962963,8,0,0,0,0,0,0,0,0,0
0,4,1.0,-64.6828703703704,32.3837962962963,13,0,0,0,0,0,0,0,0,0
0,5,1.0,-64.6828703703704,32.3837962962963,31,0,0,0,0,0,0,0,0,0
0,6,1.0,-64.6828703703704,32.3837962962963,38,0,0,0,0,0,0,0,0,0
0,7,1.0,-64.6828703703704,32.3837962962963,39,0,0,0,0,0,0,0,0,0
0,8,1.0,-64.6828703703704,32.3837962962963,54,0,0,0,0,0,0,0,0,0
0,9,1.0,-64.6828703703704,32.3837962962963,56,0,0,0,0,0,0,0,0,0
0,10,1.0,-64.6828703703704,32.3837962962963,47,0,0,1,0,0,0,0,0,0
0,11,1.0,-64.6828703703704,32.3837962962963,44,0,0,0,0,0,0,0,0,0
0,12,1.0,-64.6828703703704,32.3837962962963,40,0,0,0,0,0,0,0,0,0
0,13,1.0,-64.6828703703704,32.3837962962963,29,0,0,0,0,0,0,0,0,0
0,14,1.0,-64.6828703703704,32.3837962962963,25,0,0,0,0,0,0,0,0,0
0,15,1.0,-64.6828703703704,32.3837962962963,28,0,0,0,0,0,0,0,0,0
0,16,1.0,-64.6828703703704,32.3837962962963,23,0,0,0,0,0,0,0,0,0
0,17,1.0,-64.6828703703704,32.3837962962963,42,0,0,0,0,0,0,0,0,0
0,1,2.0,-64.674537037037,32.3837962962963,6,0,0,0,0,0,0,0,0,0
0,2,2.0,-64.674537037037,32.3837962962963,4,0,0,0,0,0,0,0,0,0
0,3,2.0,-64.674537037037,32.3837962962963,3,0,0,0,0,0,0,0,0,0
0,4,2.0,-64.674537037037,32.3837962962963,7,0,0,0,0,0,0,0,0,0
0,5,2.0,-64.674537037037,32.3837962962963,24,0,0,0,0,0,0,0,0,0
0,6,2.0,-64.674537037037,32.3837962962963,38,0,0,0,0,0,0,0,0,0
0,7,2.0,-64.674537037037,32.3837962962963,31,0,0,0,0,0,0,0,0,0
0,8,2.0,-64.674537037037,32.3837962962963,36,0,0,0,0,0,0,0,0,0
0,9,2.0,-64.674537037037,32.3837962962963,46,0,0,0,0,0,0,0,0,0
0,10,2.0,-64.674537037037,32.3837962962963,45,0,0,0,0,0,0,0,0,0
0,11,2.0,-64.674537037037,32.3837962962963,37,0,0,0,0,0,0,0,0,0
0,12,2.0,-64.674537037037,32.3837962962963,30,0,0,0,0,0,0,0,0,0
