timestep,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
0,99992,8,0,0,0,0,0,0,0,0
1,99992,8,0,0,0,0,0,0,0,0
2,99992,8,0,0,0,0,0,0,0,0
3,99992,8,0,0,0,0,0,0,0,0
4,99992,8,0,0,0,0,0,0,0,0
5,99992,8,0,0,0,0,0,0,0,0
6,99992,8,0,0,0,0,0,0,0,0
7,99992,8,0,0,0,0,0,0,0,0
8,99992,8,0,0,0,0,0,0,0,0
9,99992,8,0,0,0,0,0,0,0,0
10,99992,0,3,3,2,0,0,0,0,0
11,99956,0,18,15,8,1,0,0,2,0
12,99813,143,9,12,6,1,0,0,16,0
13,99735,0,74,104,68,0,0,0,19,0
14,98906,829,43,47,33,3,0,0,139,0
15,98616,290,320,390,214,1,0,0,169,0
16,96354,2552,193,216,122,8,0,0,555,0
17,95211,1433,928,1118,646,3,2,0,659,0
18,88165,8189,656,711,448,41,3,0,1786,1
19,84438,4870,2994,3544,1923,24,6,2,2189,10
20,65772,22393,2247,2490,1296,103,3,2,5677,17
21,61016,27149,1897,1781,938,54,15,4,7113,33
22,56193,27216,3337,3396,1816,33,15,10,7932,52
23,44330,35352,3649,3685,1969,87,5,10,10849,64
24,35464,16686,12184,13945,7907,101,13,8,13611,81
25,13569,38581,7733,7646,4298,426,23,11,27608,105
26,9809,21895,13873,14685,8118,164,70,15,31187,184
27,4242,27462,9992,9017,4934,375,36,34,43666,242
28,2823,27462,9568,7503,4067,196,57,28,47980,316
29,2032,28253,8483,5454,2868,158,36,33,52308,375
30,1631,28253,7787,4126,2200,105,35,31,55427,405
31,1369,6358,14429,12306,6822,44,26,20,58191,435
32,618,7109,10312,6833,3805,294,15,16,70542,456
33,494,6358,9471,5697,3167,132,42,8,74103,528
34,379,906,10034,6547,3706,85,32,15,77724,572
35,278,906,8200,4467,2465,157,15,14,82897,601
36,233,906,7092,3444,1876,74,25,13,85697,640
37,197,942,6199,2566,1404,77,12,13,87927,663
38,177,827,5510,2024,1090,33,14,6,89640,679
39,156,791,4906,1511,827,27,4,6,91081,691
40,148,791,4384,1248,653,21,6,5,92046,698
41,138,10,4213,1365,716,7,6,4,92837,704
42,121,10,3603,989,540,11,2,3,94014,707
43,113,10,3092,861,458,9,3,2,94744,708
44,111,0,2735,728,381,9,0,1,95325,710
45,110,1,2542,611,321,9,0,0,95695,711
46,106,5,2364,535,277,7,3,0,95991,712
47,105,5,2210,439,230,4,2,0,96289,716
48,104,2,2074,387,201,2,1,0,96511,718
49,101,2,1937,334,169,3,0,0,96735,719
50,96,2,1821,301,153,1,1,0,96906,719
51,95,2,1724,252,126,0,0,0,97081,720
52,94,2,1613,207,113,0,0,0,97251,720
53,90,5,1517,180,104,1,0,0,97383,720
54,88,1,1427,164,84,0,0,0,97516,720
55,86,2,1342,137,75,0,0,0,97638,720
56,85,3,1275,123,65,1,0,0,97728,720
57,85,1,1195,106,60,2,0,0,97831,720
58,84,1,1132,92,54,0,2,0,97915,720
59,81,4,1046,79,47,0,0,0,98021,722
60,81,4,986,69,35,1,0,0,98102,722
61,81,4,919,56,33,0,0,0,98184,723
62,80,3,860,53,30,1,0,0,98250,723
63,78,3,785,48,26,1,0,0,98336,723
64,77,4,725,43,20,0,0,0,98408,723
65,77,4,685,38,16,0,0,0,98457,723
66,76,4,644,34,16,0,0,0,98503,723
67,75,4,610,31,15,0,0,0,98542,723
68,75,3,564,26,9,0,0,0,98600,723
69,75,0,524,20,9,0,0,0,98649,723
70,75,0,490,14,7,0,0,0,98691,723
71,74,0,463,14,7,0,0,0,98719,723
72,73,1,426,12,7,0,0,0,98758,723
73,73,1,394,12,7,0,0,0,98790,723
74,73,1,370,7,7,0,0,0,98819,723
75,72,1,348,7,5,0,0,0,98844,723
76,72,1,327,5,2,0,0,0,98870,723
77,72,1,300,5,2,0,0,0,98897,723
78,72,0,275,5,2,0,0,0,98923,723
79,71,1,255,4,2,0,0,0,98944,723
80,70,1,241,3,3,0,0,0,98959,723
81,70,0,216,3,1,0,0,0,98987,723
82,70,0,202,3,1,0,0,0,99001,723
83,70,0,188,2,1,0,0,0,99016,723
84,70,0,181,2,1,0,0,0,99023,723
85,70,0,172,2,1,0,0,0,99032,723
86,70,0,157,1,1,0,0,0,99048,723
87,70,0,140,1,1,0,0,0,99065,723
88,70,0,134,1,1,0,0,0,99071,723
89,70,0,120,0,1,0,0,0,99086,723
90,70,0,114,0,1,0,0,0,99092,723
91,70,0,106,0,1,0,0,0,99100,723
92,69,0,96,1,1,0,0,0,99110,723
93,69,0,87,0,1,0,0,0,99120,723
94,69,0,83,0,1,0,0,0,99124,723
95,69,0,79,0,1,0,0,0,99128,723
96,69,0,77,0,1,0,0,0,99130,723
97,69,0,72,0,1,0,0,0,99135,723
98,69,0,66,0,1,0,0,0,99141,723
99,69,0,60,0,1,0,0,0,99147,723
100,69,0,58,0,1,0,0,0,99149,723
