timestep,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
0,999892,108,0,0,0,0,0,0,0,0
1,999892,0,38,50,20,0,0,0,0,0
2,999586,293,42,54,25,0,0,0,0,0
3,999126,664,70,88,49,0,0,0,3,0
4,998641,1021,110,147,74,0,0,0,7,0
5,997794,1639,198,236,114,0,0,0,19,0
6,996285,2767,338,389,184,0,0,0,37,0
7,994453,4007,522,635,319,0,0,0,64,0
8,989518,7887,860,1074,546,0,0,0,115,0
9,982191,13276,1471,1887,981,0,0,0,194,0
10,968208,24133,2474,3165,1691,0,0,0,329,0
11,954371,32652,4169,5439,2828,0,0,0,541,0
12,919889,59082,6895,8756,4485,2,0,0,891,0
13,867589,97346,11564,14642,7332,2,0,0,1525,0
14,784267,157922,19148,23946,12148,5,0,0,2564,0
15,690312,217256,30542,38212,19378,7,0,0,4293,0
16,553406,305188,46684,58207,29500,8,1,0,7006,0
17,395643,396061,68613,85174,43074,14,1,0,11420,0
18,248159,459829,95683,118303,59698,16,1,0,18311,0
19,118690,492878,126681,154979,78026,26,1,0,28719,0
20,57303,453340,158242,191198,95838,39,2,0,44038,0
21,21231,395358,186563,220837,110507,52,2,0,65450,0
22,7801,325388,210108,241652,120939,70,2,0,94039,1
23,1484,261122,228367,252309,126414,83,4,1,130214,2
24,261,205004,240855,253104,126914,109,5,1,173743,4
25,139,159260,247857,245553,123135,130,9,0,223911,6
26,91,123466,249565,230704,115681,141,14,0,280329,9
27,18,95531,246882,211244,106130,159,18,0,340006,12
28,7,73652,241152,189021,95174,167,22,0,400791,14
29,4,56539,232504,166273,83648,180,25,0,460810,17
30,4,42839,222403,143575,72309,185,24,3,518638,20
31,4,32010,210875,122540,61462,181,21,6,572879,22
32,4,23496,198123,103085,51430,187,19,7,623623,26
33,4,16336,185297,85817,42876,184,19,8,669429,30
34,4,10642,172021,70823,35337,168,24,9,710935,37
35,3,6208,158879,57780,29045,163,21,7,747853,41
36,3,3256,145803,46616,23313,149,17,8,780788,47
37,3,1486,133365,37103,18514,137,16,10,809318,48
38,3,623,121347,29043,14531,126,15,6,834253,53
39,3,235,110260,22365,11249,112,15,5,855701,55
40,3,80,99822,16857,8543,99,15,3,874520,58
41,3,16,90028,12550,6370,87,14,2,890868,62
42,3,1,80895,9165,4656,83,11,4,905120,62
43,3,1,72534,6714,3365,75,10,4,917230,64
44,3,0,64586,4772,2444,70,10,3,928048,64
45,3,0,57364,3308,1711,63,9,3,937475,64
46,3,0,50508,2242,1184,53,8,2,945935,65
47,3,0,44275,1523,782,52,7,2,953291,65
48,3,0,38458,1008,499,47,5,3,959911,66
49,3,0,33017,649,318,44,4,1,965896,68
50,3,0,28158,395,201,39,4,1,971130,69
51,3,0,23677,258,118,32,3,1,975838,70
52,3,0,19786,137,70,30,2,0,979901,71
53,3,0,16195,74,44,26,2,0,983585,71
54,3,0,13097,38,20,24,1,0,986744,73
55,3,0,10329,22,8,23,1,0,989541,73
56,3,0,8099,6,3,20,0,1,991795,73
57,3,0,6313,1,0,15,0,1,993593,74
58,3,0,4892,1,0,11,0,1,995018,74
59,3,0,3713,1,0,10,0,1,996197,75
60,3,0,2774,0,0,9,0,1,997138,75
61,3,0,2041,0,0,7,0,0,997874,75
62,3,0,1505,0,0,7,0,0,998410,75
63,3,0,1124,0,0,7,0,0,998791,75
64,3,0,804,0,0,5,0,0,999113,75
65,3,0,569,0,0,5,0,0,999348,75
66,3,0,391,0,0,4,0,0,999527,75
67,3,0,284,0,0,3,0,0,999635,75
68,3,0,167,0,0,2,0,0,999753,75
69,3,0,96,0,0,2,0,0,999824,75
70,3,0,62,0,0,1,0,0,999859,75
71,3,0,34,0,0,1,0,0,999887,75
72,3,0,19,0,0,1,0,0,999902,75
73,3,0,10,0,0,1,0,0,999911,75
74,3,0,3,0,0,1,0,0,999918,75
75,3,0,3,0,0,0,0,0,999919,75
76,3,0,0,0,0,0,0,0,999922,75
77,3,0,0,0,0,0,0,0,999922,75
78,3,0,0,0,0,0,0,0,999922,75
79,3,0,0,0,0,0,0,0,999922,75
80,3,0,0,0,0,0,0,0,999922,75
81,3,0,0,0,0,0,0,0,999922,75
82,3,0,0,0,0,0,0,0,999922,75
83,3,0,0,0,0,0,0,0,999922,75
84,3,0,0,0,0,0,0,0,999922,75
85,3,0,0,0,0,0,0,0,999922,75
86,3,0,0,0,0,0,0,0,999922,75
87,3,0,0,0,0,0,0,0,999922,75
88,3,0,0,0,0,0,0,0,999922,75
89,3,0,0,0,0,0,0,0,999922,75
90,3,0,0,0,0,0,0,0,999922,75
91,3,0,0,0,0,0,0,0,999922,75
92,3,0,0,0,0,0,0,0,999922,75
93,3,0,0,0,0,0,0,0,999922,75
94,3,0,0,0,0,0,0,0,999922,75
95,3,0,0,0,0,0,0,0,999922,75
96,3,0,0,0,0,0,0,0,999922,75
97,3,0,0,0,0,0,0,0,999922,75
98,3,0,0,0,0,0,0,0,999922,75
99,3,0,0,0,0,0,0,0,999922,75
100,3,0,0,0,0,0,0,0,999922,75
