cell,microcell,location_x,location_y,household_number,place_number,Susceptible
0,0,-97.075,49.98333333333333,6,5,13
0,1,-97.075,49.98333333333333,9,3,20
0,2,-97.075,49.98333333333333,7,4,15
0,3,-97.075,49.98333333333333,6,6,14
0,4,-97.075,49.98333333333333,5,3,10
0,5,-97.075,49.98333333333333,5,6,10
0,6,-97.075,49.98333333333333,5,3,10
0,7,-97.075,49.98333333333333,6,9,14
0,8,-97.075,49.98333333333333,9,3,20
1,0,-97.09166666666668,49.975,8,5,18
1,1,-97.09166666666668,49.975,8,6,19
1,2,-97.09166666666668,49.975,8,4,18
1,3,-97.09166666666668,49.975,11,6,26
1,4,-97.09166666666668,49.975,8,6,19
1,5,-97.09166666666668,49.975,8,1,19
1,6,-97.09166666666668,49.975,9,7,22
1,7,-97.09166666666668,49.975,11,2,25
1,8,-97.09166666666668,49.975,8,11,18
2,0,-97.08333333333331,49.975,8,4,19
2,1,-97.08333333333331,49.975,9,7,22
2,2,-97.08333333333331,49.975,11,3,27
2,3,-97.08333333333331,49.975,12,4,28
2,4,-97.08333333333331,49.975,5,7,12
2,5,-97.08333333333331,49.975,10,5,24
2,6,-97.08333333333331,49.975,10,3,23
2,7,-97.08333333333331,49.975,12,5,28
2,8,-97.08333333333331,49.975,9,3,22
3,0,-97.075,49.975,14,5,34
3,1,-97.075,49.975,13,6,32
3,2,-97.075,49.975,9,2,22
3,3,-97.075,49.975,12,2,28
3,4,-97.075,49.975,13,5,30
3,5,-97.075,49.975,11,7,25
3,6,-97.075,49.975,11,6,25
3,7,-97.075,49.975,11,6,26
3,8,-97.075,49.975,9,2,22
4,0,-97.2,49.96666666666667,40,8,99
4,1,-97.2,49.96666666666667,28,12,69
4,2,-97.2,49.96666666666667,33,3,82
4,3,-97.2,49.96666666666667,40,4,99
4,4,-97.2,49.96666666666667,34,3,84
4,5,-97.2,49.96666666666667,37,4,92
4,6,-97.2,49.96666666666667,30,5,74
4,7,-97.2,49.96666666666667,35,5,87
4,8,-97.2,49.96666666666667,29,4,70
5,0,-97.19166666666666,49.96666666666667,99,4,246
5,1,-97.19166666666666,49.96666666666667,96,5,239
5,2,-97.19166666666666,49.96666666666667,92,4,229
5,3,-97.19166666666666,49.96666666666667,95,3,236
5,4,-97.19166666666666,49.96666666666667,106,4,262
5,5,-97.19166666666666,49.96666666666667,99,8,245
5,6,-97.19166666666666,49.96666666666667,96,2,239
5,7,-97.19166666666666,49.96666666666667,98,2,244
5,8,-97.19166666666666,49.96666666666667,100,2,249
6,0,-97.18333333333334,49.96666666666667,94,5,232
6,1,-97.18333333333334,49.96666666666667,85,7,210
6,2,-97.18333333333334,49.96666666666667,92,6,229
6,3,-97.18333333333334,49.96666666666667,94,4,233
6,4,-97.18333333333334,49.96666666666667,89,2,220
6,5,-97.18333333333334,49.96666666666667,87,3,216
6,6,-97.18333333333334,49.96666666666667,98,4,242
6,7,-97.18333333333334,49.96666666666667,96,7,239
6,8,-97.18333333333334,49.96666666666667,84,4,208
7,0,-97.175,49.96666666666667,112,7,278
7,1,-97.175,49.96666666666667,109,5,270
7,2,-97.175,49.96666666666667,107,6,265
7,3,-97.175,49.96666666666667,99,6,246
7,4,-97.175,49.96666666666667,97,9,241
7,5,-97.175,49.96666666666667,102,4,252
7,6,-97.175,49.96666666666667,103,9,255
7,7,-97.175,49.96666666666667,79,2,196
7,8,-97.175,49.96666666666667,110,10,273
8,0,-97.16666666666669,49.96666666666667,57,5,140
8,1,-97.16666666666669,49.96666666666667,45,6,111
8,2,-97.16666666666669,49.96666666666667,42,8,104
8,3,-97.16666666666669,49.96666666666667,45,6,110
8,4,-97.16666666666669,49.96666666666667,50,2,123
8,5,-97.16666666666669,49.96666666666667,49,3,121
8,6,-97.16666666666669,49.96666666666667,51,5,127
8,7,-97.16666666666669,49.96666666666667,46,3,114
8,8,-97.16666666666669,49.96666666666667,49,3,120
9,0,-97.15833333333332,49.96666666666667,2,4,4
9,1,-97.15833333333332,49.96666666666667,3,5,5
9,2,-97.15833333333332,49.96666666666667,1,3,1
9,3,-97.15833333333332,49.96666666666667,3,5,6
9,4,-97.15833333333332,49.96666666666667,3,3,5
9,5,-97.15833333333332,49.96666666666667,1,3,2
9,6,-97.15833333333332,49.96666666666667,4,6,8
9,7,-97.15833333333332,49.96666666666667,1,5,2
9,8,-97.15833333333332,49.96666666666667,3,6,6
10,0,-97.15,49.96666666666667,5,7,10
10,1,-97.15,49.96666666666667,5,6,12
10,2,-97.15,49.96666666666667,5,5,11
10,3,-97.15,49.96666666666667,5,4,12
10,4,-97.15,49.96666666666667,6,3,14
10,5,-97.15,49.96666666666667,6,3,13
10,6,-97.15,49.96666666666667,9,7,21
10,7,-97.15,49.96666666666667,8,7,19
10,8,-97.15,49.96666666666667,5,6,11
11,0,-97.14166666666668,49.96666666666667,15,7,36
11,1,-97.14166666666668,49.96666666666667,17,4,40
11,2,-97.14166666666668,49.96666666666667,17,7,41
11,3,-97.14166666666668,49.96666666666667,14,5,33
11,4,-97.14166666666668,49.96666666666667,14,5,34
11,5,-97.14166666666668,49.96666666666667,17,7,41
11,6,-97.14166666666668,49.96666666666667,20,4,48
11,7,-97.14166666666668,49.96666666666667,20,9,49
11,8,-97.14166666666668,49.96666666666667,16,4,39
12,0,-97.11666666666667,49.96666666666667,4,0,9
12,1,-97.11666666666667,49.96666666666667,4,6,8
12,2,-97.11666666666667,49.96666666666667,3,3,5
12,3,-97.11666666666667,49.96666666666667,3,6,5
12,4,-97.11666666666667,49.96666666666667,2,2,4
12,5,-97.11666666666667,49.96666666666667,1,3,2
12,6,-97.11666666666667,49.96666666666667,3,5,5
12,7,-97.11666666666667,49.96666666666667,3,3,5
12,8,-97.11666666666667,49.96666666666667,3,4,7
13,0,-97.10833333333332,49.96666666666667,41,1,101
13,1,-97.10833333333332,49.96666666666667,39,4,95
13,2,-97.10833333333332,49.96666666666667,38,7,93
13,3,-97.10833333333332,49.96666666666667,40,2,98
13,4,-97.10833333333332,49.96666666666667,35,1,85
13,5,-97.10833333333332,49.96666666666667,36,6,89
13,6,-97.10833333333332,49.96666666666667,37,6,90
13,7,-97.10833333333332,49.96666666666667,39,8,96
13,8,-97.10833333333332,49.96666666666667,36,1,89
14,0,-97.1,49.96666666666667,72,1,179
14,1,-97.1,49.96666666666667,72,8,178
14,2,-97.1,49.96666666666667,75,2,187
14,3,-97.1,49.96666666666667,72,4,179
14,4,-97.1,49.96666666666667,54,5,133
14,5,-97.1,49.96666666666667,77,4,190
14,6,-97.1,49.96666666666667,71,3,176
14,7,-97.1,49.96666666666667,65,4,162
14,8,-97.1,49.96666666666667,71,8,176
15,0,-97.09166666666668,49.96666666666667,82,4,203
15,1,-97.09166666666668,49.96666666666667,68,10,169
15,2,-97.09166666666668,49.96666666666667,69,3,172
15,3,-97.09166666666668,49.96666666666667,83,4,206
15,4,-97.09166666666668,49.96666666666667,77,7,191
15,5,-97.09166666666668,49.96666666666667,82,5,203
15,6,-97.09166666666668,49.96666666666667,80,10,199
15,7,-97.09166666666668,49.96666666666667,78,4,194
15,8,-97.09166666666668,49.96666666666667,68,2,169
16,0,-97.08333333333331,49.96666666666667,13,3,30
16,1,-97.08333333333331,49.96666666666667,13,6,32
16,2,-97.08333333333331,49.96666666666667,18,5,43
16,3,-97.08333333333331,49.96666666666667,20,4,49
16,4,-97.08333333333331,49.96666666666667,15,8,36
16,5,-97.08333333333331,49.96666666666667,14,3,33
16,6,-97.08333333333331,49.96666666666667,15,3,37
16,7,-97.08333333333331,49.96666666666667,19,5,46
16,8,-97.08333333333331,49.96666666666667,15,11,37
17,0,-97.075,49.96666666666667,13,4,31
17,1,-97.075,49.96666666666667,9,3,20
17,2,-97.075,49.96666666666667,16,6,39
17,3,-97.075,49.96666666666667,14,2,34
