dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,0.0,0.14285714285714285,0.7142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
03-25,2.0134513735293242,3.2367046701679216,12.482689010083218,15.411260438654647,20.474033515124827,18.375701980762063,20.719393464375596,16.30875709257216,4.0672568676466225
04-01,86.07872114915544,184.15837856049436,451.2977711264459,860.351855905076,1018.6870869309034,873.1977316766378,817.4277652454235,663.4167271872116,334.91383642001375
04-08,430.48807744787695,952.4610285175986,2331.3812427011153,4629.94403805739,5372.6992352739735,4760.617833280004,4646.514498417055,3750.3000750680894,2024.6288883273585
04-15,823.7830397877725,1780.8120639154602,4529.523315540535,9034.652344503374,10541.980576549853,9432.388777824366,9831.389167672633,7915.069281495886,4615.5589787792205
04-22,1164.9887529591872,2642.299485465044,6778.0582848401,13420.619060216703,15966.112178893343,14402.147960453283,15131.77344238325,12504.548295341416,7492.595945460372
04-29,1380.9489084457346,3064.143571340513,7918.6590449852865,15521.964082430635,18704.944426853923,17163.753514492302,18656.138912913262,15367.376703633694,9368.398172693865
05-06,1398.4246169654855,2942.7280564618645,7594.181297173492,15070.46081766162,18506.014669757016,16879.148788464085,18698.380568270044,15814.571384565335,9645.043740549696
05-13,1400.810222251095,3092.5885167412534,7923.634158571183,15453.077486739938,18688.761055720617,17260.070336021538,19100.028927015155,16185.222651877179,9687.733728199528
05-20,1442.2262782445073,3153.7092675553117,8232.972907453317,16120.269084004509,19366.44326015098,17821.80487288658,19959.06355673485,16837.43677025244,10212.85848078784
05-27,1233.2396474215136,2522.731324058718,6720.49357926772,13231.272880356397,16096.861997927277,15127.330971252066,17169.95830615946,14759.43397425566,9263.377127958078
06-03,790.2650216709793,1666.4857147135162,4411.562901051575,8974.666131711661,10846.859414506702,10289.585821351828,11941.012023333495,10315.860924743463,6702.5224327060405
06-10,584.3814027218258,1229.3578998094117,3120.052670363826,6429.078829016177,7773.906241948432,7474.1510768452445,8490.27471118447,7214.737983033031,4726.169957653574
