time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,8730986250623,0.6724354047312854,0.24828321183968183,4741,0,0,13,0,0,0,0,0,0
0,8730986224125,0.629028022831535,0.2748650776569722,4694,0,0,13,0,0,0,0,0,0
0,8730986229538,0.17031764792621706,0.4687942992573725,4800,0,0,14,0,0,0,0,0,0
0,8730986229571,0.9389215519989197,0.10791443056624028,4704,0,0,16,0,0,0,0,0,0
0,8730986229604,0.14046963109556754,0.8337599139019943,4745,0,0,17,0,0,0,0,0,0
0,8730986229637,0.43814945488742074,0.9116226790930436,4615,0,0,11,0,0,0,0,0,0
0,8730986229670,0.8467976790275037,0.425615265214516,4679,0,0,16,0,0,0,0,0,0
1.0,8730986250623,0.6724354047312854,0.24828321183968183,4741,0,0,13,0,0,0,0,0,0
1.0,8730986224125,0.629028022831535,0.2748650776569722,4694,0,0,12,0,0,0,0,1,0
1.0,8730986229538,0.17031764792621706,0.4687942992573725,4800,0,0,13,0,0,0,0,1,0
1.0,8730986229571,0.9389215519989197,0.10791443056624028,4704,0,0,16,0,0,0,0,0,0
1.0,8730986229604,0.14046963109556754,0.8337599139019943,4745,0,0,17,0,0,0,0,0,0
1.0,8730986229637,0.43814945488742074,0.9116226790930436,4615,0,0,11,0,0,0,0,0,0
1.0,8730986229670,0.8467976790275037,0.425615265214516,4679,0,0,16,0,0,0,0,0,0
2.0,8730986250623,0.6724354047312854,0.24828321183968183,4728,11,0,15,0,0,0,0,0,0
2.0,8730986224125,0.629028022831535,0.2748650776569722,4682,12,0,12,0,0,0,0,1,0
2.0,8730986229538,0.17031764792621706,0.4687942992573725,4795,5,0,13,0,0,0,0,1,0
2.0,8730986229571,0.9389215519989197,0.10791443056624028,4691,12,0,17,0,0,0,0,0,0
