,time,age,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.InfectGP,InfectionStatus.InfectMild
0,0,1,0.0,0.0,0.0,0.0,1.0
1,0,5,0.0,0.0,0.0,1.0,0.0
2,0,8,0.0,0.0,0.0,0.0,1.0
3,0,9,0.0,0.0,0.0,1.0,0.0
4,0,10,0.0,0.0,0.0,0.0,2.0
5,1,0,0.0,0.0,0.0,0.0,1.0
6,1,1,0.0,0.0,0.0,1.0,2.0
7,1,5,0.0,0.0,0.0,1.0,0.0
8,1,6,0.0,0.0,0.0,1.0,0.0
9,1,8,0.0,0.0,0.0,0.0,2.0
10,1,9,0.0,0.0,0.0,2.0,1.0
11,1,10,0.0,0.0,0.0,0.0,2.0
12,1,11,0.0,0.0,0.0,0.0,1.0
13,1,13,0.0,0.0,0.0,0.0,1.0
14,1,15,0.0,0.0,0.0,0.0,1.0
15,1,16,0.0,0.0,0.0,1.0,0.0
16,2,0,0.0,0.0,0.0,0.0,2.0
17,2,1,0.0,0.0,0.0,1.0,3.0
18,2,2,0.0,0.0,0.0,1.0,0.0
19,2,3,0.0,0.0,0.0,0.0,1.0
20,2,5,0.0,0.0,0.0,2.0,1.0
21,2,6,0.0,0.0,0.0,1.0,0.0
22,2,8,0.0,0.0,0.0,0.0,4.0
23,2,9,0.0,0.0,0.0,3.0,4.0
24,2,10,0.0,0.0,0.0,0.0,2.0
25,2,11,0.0,0.0,0.0,0.0,3.0
26,2,13,0.0,0.0,0.0,0.0,1.0
27,2,15,0.0,0.0,0.0,0.0,1.0
28,2,16,0.0,0.0,0.0,3.0,1.0
29,3,0,0.0,0.0,0.0,2.0,2.0
30,3,1,0.0,0.0,0.0,1.0,4.0
31,3,2,0.0,0.0,0.0,1.0,0.0
32,3,3,0.0,0.0,0.0,0.0,1.0
33,3,4,0.0,0.0,0.0,1.0,0.0
34,3,5,0.0,0.0,0.0,1.0,1.0
35,3,6,0.0,0.0,0.0,2.0,0.0
36,3,7,0.0,0.0,0.0,1.0,0.0
37,3,8,0.0,0.0,0.0,1.0,5.0
38,3,9,0.0,0.0,0.0,4.0,5.0
39,3,10,0.0,0.0,0.0,1.0,3.0
40,3,11,0.0,0.0,0.0,0.0,2.0
41,3,12,0.0,0.0,0.0,1.0,1.0
42,3,13,0.0,0.0,0.0,1.0,2.0
43,3,14,0.0,0.0,0.0,1.0,0.0
44,3,15,0.0,0.0,0.0,0.0,1.0
45,3,16,0.0,0.0,0.0,3.0,2.0
46,4,0,0.0,0.0,0.0,2.0,4.0
47,4,1,0.0,0.0,0.0,1.0,6.0
48,4,2,0.0,0.0,0.0,2.0,1.0
49,4,3,0.0,0.0,0.0,0.0,3.0
50,4,4,0.0,0.0,0.0,1.0,1.0
51,4,5,0.0,0.0,0.0,1.0,2.0
52,4,6,0.0,0.0,0.0,2.0,0.0
53,4,7,0.0,0.0,0.0,1.0,0.0
54,4,8,0.0,0.0,0.0,2.0,5.0
55,4,9,0.0,0.0,0.0,5.0,6.0
56,4,10,0.0,0.0,0.0,1.0,3.0
57,4,11,0.0,0.0,0.0,1.0,3.0
58,4,12,0.0,0.0,0.0,3.0,1.0
59,4,13,0.0,0.0,0.0,1.0,2.0
60,4,14,0.0,0.0,0.0,2.0,0.0
61,4,15,0.0,0.0,0.0,0.0,2.0
62,4,16,0.0,0.0,0.0,3.0,2.0
63,5,0,0.0,0.0,0.0,2.0,8.0
64,5,1,0.0,0.0,0.0,1.0,6.0
65,5,2,0.0,0.0,0.0,2.0,1.0
66,5,3,0.0,0.0,0.0,1.0,3.0
67,5,4,0.0,0.0,0.0,1.0,3.0
68,5,5,0.0,0.0,0.0,1.0,3.0
69,5,6,0.0,0.0,0.0,2.0,0.0
70,5,7,0.0,0.0,0.0,1.0,0.0
71,5,8,0.0,0.0,0.0,2.0,7.0
72,5,9,0.0,0.0,0.0,6.0,8.0
73,5,10,0.0,0.0,0.0,2.0,6.0
74,5,11,0.0,0.0,0.0,1.0,4.0
75,5,12,0.0,0.0,0.0,4.0,2.0
76,5,13,0.0,0.0,0.0,2.0,2.0
77,5,14,0.0,0.0,0.0,2.0,0.0
78,5,15,0.0,0.0,0.0,1.0,2.0
79,5,16,0.0,0.0,0.0,3.0,2.0
80,6,0,0.0,0.0,0.0,2.0,9.0
81,6,1,0.0,0.0,0.0,2.0,7.0
82,6,2,0.0,0.0,0.0,3.0,3.0
83,6,3,0.0,0.0,0.0,3.0,3.0
84,6,4,0.0,0.0,0.0,1.0,7.0
85,6,5,0.0,0.0,0.0,1.0,3.0
86,6,6,0.0,0.0,0.0,2.0,1.0
87,6,7,0.0,0.0,0.0,1.0,1.0
88,6,8,0.0,0.0,0.0,2.0,8.0
89,6,9,0.0,0.0,0.0,7.0,10.0
90,6,10,0.0,0.0,0.0,3.0,7.0
91,6,11,0.0,0.0,0.0,1.0,3.0
92,6,12,0.0,0.0,0.0,5.0,3.0
93,6,13,0.0,0.0,0.0,2.0,2.0
94,6,14,0.0,0.0,0.0,2.0,0.0
95,6,15,0.0,0.0,0.0,1.0,2.0
96,6,16,1.0,0.0,0.0,2.0,4.0
97,7,0,0.0,0.0,0.0,2.0,11.0
98,7,1,0.0,0.0,0.0,4.0,9.0
99,7,2,0.0,0.0,0.0,4.0,7.0
100,7,3,0.0,0.0,0.0,7.0,3.0
101,7,4,0.0,0.0,0.0,1.0,7.0
102,7,5,0.0,0.0,0.0,2.0,4.0
103,7,6,0.0,0.0,0.0,2.0,1.0
104,7,7,0.0,0.0,0.0,1.0,2.0
105,7,8,0.0,0.0,0.0,2.0,8.0
106,7,9,0.0,0.0,0.0,5.0,11.0
107,7,10,0.0,0.0,0.0,3.0,8.0
108,7,11,0.0,0.0,0.0,1.0,5.0
109,7,12,0.0,0.0,0.0,4.0,5.0
110,7,13,0.0,0.0,0.0,2.0,2.0
111,7,14,0.0,0.0,0.0,2.0,1.0
112,7,15,0.0,0.0,0.0,2.0,3.0
113,7,16,1.0,0.0,0.0,2.0,7.0
114,8,0,0.0,0.0,0.0,2.0,11.0
115,8,1,0.0,0.0,0.0,4.0,12.0
116,8,2,0.0,0.0,0.0,5.0,10.0
117,8,3,0.0,0.0,0.0,8.0,10.0
118,8,4,0.0,0.0,0.0,2.0,13.0
119,8,5,0.0,0.0,0.0,2.0,4.0
120,8,6,0.0,0.0,0.0,2.0,1.0
121,8,7,0.0,0.0,0.0,3.0,5.0
122,8,8,0.0,0.0,0.0,2.0,9.0
123,8,9,0.0,0.0,0.0,7.0,14.0
124,8,10,0.0,0.0,0.0,5.0,13.0
125,8,11,0.0,0.0,0.0,1.0,7.0
126,8,12,0.0,0.0,0.0,4.0,5.0
127,8,13,0.0,0.0,0.0,2.0,2.0
128,8,14,0.0,0.0,0.0,2.0,1.0
129,8,15,0.0,0.0,0.0,2.0,3.0
130,8,16,2.0,0.0,0.0,2.0,6.0
131,9,0,0.0,0.0,0.0,5.0,9.0
132,9,1,0.0,0.0,0.0,5.0,15.0
133,9,2,0.0,0.0,0.0,8.0,11.0
134,9,3,0.0,0.0,0.0,9.0,16.0
135,9,4,0.0,0.0,0.0,4.0,15.0
136,9,5,0.0,0.0,0.0,1.0,4.0
137,9,6,0.0,0.0,0.0,1.0,2.0
138,9,7,0.0,0.0,0.0,3.0,6.0
139,9,8,0.0,0.0,0.0,4.0,9.0
140,9,9,1.0,0.0,0.0,8.0,14.0
141,9,10,0.0,0.0,0.0,7.0,13.0
142,9,11,0.0,0.0,0.0,2.0,8.0
143,9,12,0.0,0.0,0.0,4.0,5.0
144,9,13,0.0,0.0,0.0,3.0,3.0
145,9,14,0.0,0.0,0.0,1.0,1.0
146,9,15,0.0,0.0,0.0,2.0,7.0
147,9,16,2.0,0.0,0.0,3.0,7.0
148,10,0,0.0,0.0,0.0,7.0,12.0
149,10,1,0.0,0.0,0.0,5.0,17.0
150,10,2,0.0,0.0,0.0,9.0,12.0
151,10,3,0.0,0.0,0.0,5.0,19.0
152,10,4,0.0,0.0,0.0,6.0,20.0
153,10,5,0.0,0.0,0.0,2.0,6.0
154,10,6,0.0,0.0,0.0,1.0,3.0
155,10,7,0.0,0.0,0.0,4.0,6.0
156,10,8,0.0,0.0,0.0,5.0,9.0
157,10,9,1.0,0.0,0.0,10.0,18.0
158,10,10,0.0,0.0,0.0,9.0,13.0
159,10,11,0.0,0.0,0.0,3.0,12.0
160,10,12,0.0,0.0,0.0,6.0,9.0
161,10,13,0.0,0.0,0.0,3.0,4.0
162,10,14,0.0,0.0,0.0,2.0,0.0
163,10,15,0.0,0.0,0.0,2.0,9.0
164,10,16,2.0,0.0,0.0,4.0,7.0
165,11,0,0.0,0.0,0.0,7.0,13.0
166,11,1,0.0,0.0,0.0,9.0,24.0
167,11,2,0.0,0.0,0.0,9.0,15.0
168,11,3,0.0,0.0,0.0,6.0,22.0
169,11,4,0.0,0.0,0.0,6.0,25.0
170,11,5,0.0,0.0,0.0,3.0,7.0
171,11,6,0.0,0.0,0.0,3.0,3.0
172,11,7,0.0,0.0,0.0,5.0,7.0
173,11,8,0.0,0.0,0.0,7.0,12.0
174,11,9,1.0,0.0,0.0,9.0,20.0
175,11,10,0.0,0.0,0.0,11.0,13.0
176,11,11,0.0,0.0,0.0,3.0,14.0
177,11,12,1.0,0.0,0.0,7.0,11.0
178,11,13,0.0,0.0,0.0,1.0,5.0
179,11,14,0.0,0.0,0.0,2.0,2.0
180,11,15,0.0,0.0,0.0,3.0,8.0
181,11,16,2.0,0.0,0.0,4.0,9.0
182,12,0,0.0,0.0,0.0,12.0,11.0
183,12,1,0.0,0.0,0.0,12.0,22.0
184,12,2,0.0,0.0,0.0,15.0,22.0
185,12,3,0.0,0.0,0.0,9.0,27.0
186,12,4,0.0,0.0,0.0,10.0,26.0
187,12,5,0.0,0.0,0.0,4.0,9.0
188,12,6,0.0,0.0,0.0,6.0,4.0
189,12,7,0.0,0.0,0.0,7.0,9.0
190,12,8,0.0,0.0,0.0,9.0,14.0
191,12,9,0.0,0.0,0.0,13.0,27.0
192,12,10,0.0,0.0,0.0,14.0,22.0
193,12,11,0.0,0.0,0.0,5.0,18.0
194,12,12,1.0,0.0,0.0,9.0,14.0
195,12,13,0.0,0.0,0.0,1.0,4.0
196,12,14,0.0,0.0,0.0,2.0,3.0
197,12,15,0.0,0.0,0.0,5.0,10.0
198,12,16,4.0,0.0,0.0,2.0,9.0
