cell,microcell,location_x,location_y,household_number,place_number,Susceptible
<<<<<<< HEAD
99316356322.0,99316356063.0,0.2626954770019353,0.8747660625539935,11,1,34
99316356322.0,99316356060.0,0.2626954770019353,0.8747660625539935,9,0,36
99316356322.0,99316356048.0,0.2626954770019353,0.8747660625539935,10,0,28
99316356322.0,99316356039.0,0.2626954770019353,0.8747660625539935,8,1,26
99316356322.0,99316356030.0,0.2626954770019353,0.8747660625539935,7,0,20
99316356322.0,99316356021.0,0.2626954770019353,0.8747660625539935,9,0,36
99316356322.0,99316356012.0,0.2626954770019353,0.8747660625539935,9,1,36
99316356322.0,99316356003.0,0.2626954770019353,0.8747660625539935,9,0,28
99316356322.0,99316355994.0,0.2626954770019353,0.8747660625539935,9,0,37
99316356322.0,99316355985.0,0.2626954770019353,0.8747660625539935,7,0,34
99316356322.0,99316355976.0,0.2626954770019353,0.8747660625539935,8,0,27
99316356322.0,99316355967.0,0.2626954770019353,0.8747660625539935,11,1,40
99316356322.0,99316355958.0,0.2626954770019353,0.8747660625539935,9,1,33
99316356322.0,99316355949.0,0.2626954770019353,0.8747660625539935,9,1,27
99316356322.0,99316355940.0,0.2626954770019353,0.8747660625539935,9,0,34
99316356322.0,99316355931.0,0.2626954770019353,0.8747660625539935,8,0,37
99316356322.0,99316355922.0,0.2626954770019353,0.8747660625539935,6,0,32
99316356322.0,99316355913.0,0.2626954770019353,0.8747660625539935,11,1,43
99316356322.0,99316355904.0,0.2626954770019353,0.8747660625539935,10,0,34
99316356322.0,99316355895.0,0.2626954770019353,0.8747660625539935,9,0,32
99316356322.0,99316355886.0,0.2626954770019353,0.8747660625539935,7,0,26
99316356322.0,99316355877.0,0.2626954770019353,0.8747660625539935,6,0,22
99316356322.0,99316355868.0,0.2626954770019353,0.8747660625539935,9,0,36
99316356322.0,99316355859.0,0.2626954770019353,0.8747660625539935,9,0,30
99316356322.0,99316355850.0,0.2626954770019353,0.8747660625539935,6,1,27
99316356322.0,99316355841.0,0.2626954770019353,0.8747660625539935,9,0,41
99316356322.0,99316355832.0,0.2626954770019353,0.8747660625539935,6,0,27
99316356322.0,99316355823.0,0.2626954770019353,0.8747660625539935,8,0,41
99316356322.0,99316355814.0,0.2626954770019353,0.8747660625539935,9,0,41
99316356322.0,99316355805.0,0.2626954770019353,0.8747660625539935,9,0,41
99316356322.0,99316355796.0,0.2626954770019353,0.8747660625539935,9,0,38
99316356322.0,99316355787.0,0.2626954770019353,0.8747660625539935,7,0,31
99316356322.0,99316355778.0,0.2626954770019353,0.8747660625539935,7,0,41
99316356322.0,99316355769.0,0.2626954770019353,0.8747660625539935,10,0,34
99316356322.0,99316355760.0,0.2626954770019353,0.8747660625539935,8,0,29
99316356322.0,99316355751.0,0.2626954770019353,0.8747660625539935,10,0,37
99316356322.0,99316355742.0,0.2626954770019353,0.8747660625539935,13,0,49
99316356322.0,99316355733.0,0.2626954770019353,0.8747660625539935,10,0,38
99316356322.0,99316355724.0,0.2626954770019353,0.8747660625539935,10,0,39
99316356322.0,99316355715.0,0.2626954770019353,0.8747660625539935,10,0,43
99316356322.0,99316355706.0,0.2626954770019353,0.8747660625539935,4,0,19
99316356322.0,99316355697.0,0.2626954770019353,0.8747660625539935,7,0,25
99316356322.0,99316355688.0,0.2626954770019353,0.8747660625539935,10,0,40
99316356322.0,99316355679.0,0.2626954770019353,0.8747660625539935,8,0,35
99316356322.0,99316355670.0,0.2626954770019353,0.8747660625539935,6,0,25
99316356322.0,99316355661.0,0.2626954770019353,0.8747660625539935,8,1,30
99316356322.0,99316355652.0,0.2626954770019353,0.8747660625539935,7,0,27
99316356322.0,99316355643.0,0.2626954770019353,0.8747660625539935,9,0,34
99316356322.0,99316355634.0,0.2626954770019353,0.8747660625539935,10,0,47
