Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
0,1,0,1,1,3,7,4,6,1,7,8,13,7,6,5,4,7
1,19,19,21,34,91,100,126,151,165,129,127,115,87,66,63,72,109
2,96,94,144,162,399,447,542,680,827,761,605,544,480,349,321,277,462
3,19,25,25,36,95,114,115,149,202,142,158,138,100,112,100,82,114
4,87,99,123,147,350,455,506,667,778,720,601,526,392,316,315,283,412
5,48,54,58,76,178,231,274,288,388,353,343,306,236,188,177,149,222
6,79,79,69,101,263,299,369,471,536,515,431,352,313,238,234,204,356
7,9,10,20,28,57,63,81,84,106,91,75,76,65,49,33,40,51
8,34,46,42,63,172,174,227,264,339,278,259,208,179,142,109,112,168
9,9,16,11,28,47,72,86,89,113,109,85,101,66,46,39,45,70
10,9,17,7,19,44,58,45,60,81,72,72,43,40,46,57,32,59
11,26,25,29,40,135,117,135,154,193,161,157,142,113,98,90,78,92
