dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,4.96957282736154,19.883092607840798,20.979823177059068,21.40904235853874,30.6028273734294,28.128129371219096,25.383092607840798,16.168806893555086,22.204683117496433
03-25,61.027569033564404,157.3786720343175,150.57213317275404,195.9155192911963,242.50459072115834,252.39345615735198,242.11286545602005,181.22653477946707,179.09969962181052
04-01,166.94562318380554,415.245531185084,380.9623504661606,474.51910751794344,689.1136836547757,738.614327431518,642.7734722953586,511.3400430181878,546.8515827106445
04-08,231.4325147944381,502.2183427769868,480.14049282906393,553.6975157160339,897.3078442255219,966.3068698128433,905.4112564397891,758.6690157980519,857.9672319621908
04-15,215.09937842926846,469.6600225949257,471.36853518264604,529.0024354935391,907.5160293582388,998.3398249856402,981.7658034144956,819.4319606587258,935.7359428917354
04-22,170.89820110435016,401.0084776362244,385.64620930602035,452.46461531504406,787.6479312518604,906.244005817626,897.2420622606887,742.9546702532243,789.1006898289919
04-29,133.41675854502049,319.4652091022554,290.93763986988273,323.785177943345,532.4431379166749,689.2551155909138,648.4502022746782,618.6179739309714,584.9222340270703
05-06,102.55864405851527,200.85304616007366,211.62338372839184,236.28291210042008,355.17339324093075,487.1224570189486,461.3223411243458,426.85017639071395,444.5490762424217
05-13,65.94108891344781,131.9366114915073,160.6733401698713,161.71369361694485,253.074396431171,294.8604315118107,293.90013859763417,276.50101992902256,284.26557850593053
05-20,43.726155446253856,96.46223736575112,109.70727363210867,114.13136704231466,137.00868712001505,183.14771210873616,215.56155308175747,190.74762171135808,186.6368076442647
05-27,26.41929270823627,68.9718399625404,76.12462357864095,64.19637582771534,96.09996873733459,136.58523818238032,154.98753608320382,122.37381199882677,148.8142470957131
06-03,14.087127972428986,41.02724525651443,47.55157562494176,47.940116588256394,66.42538871721419,82.27772938132505,77.66465304985624,69.0422961093734,99.6796992307201
06-10,8.158232667403434,23.19988181910179,34.2860375657435,24.490396906189964,47.873813390484884,53.45004166984168,55.18995504764594,54.98591839080378,52.66880371262225
