dates,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85
03-18,1.2727272727272727,4.909090909090909,5.636363636363637,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-25,0.36363636363636365,2.319962007942976,2.560693079875951,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-01,3.400712075904463,1.6363636363636365,0.9781628221533061,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-08,3.9512461328328103,3.538855902029257,3.336719674315868,6.517018724182563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-15,10.158461872020002,11.210776118709507,7.490102034862067,12.222454273608596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-22,16.621647217561573,19.60488955118868,25.46370746116091,29.10007109752455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-29,32.30372645718943,29.094991586050746,39.94009009355306,56.5157427705282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-06,36.787229848626204,40.080275167248686,42.86441953706538,76.55922116283101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-13,43.65264640202373,53.2473769302648,39.445430662836536,72.31697095894654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-20,41.83446458384191,49.23517665974637,48.65620678154604,84.61357665709133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-27,35.57849497748752,43.263612481018356,48.59221437995745,58.97313052558604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-03,32.67752184377339,27.286968790816534,30.500783173429014,30.894896605908187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-10,22.956847759925953,21.768430934682485,30.01424151808926,28.736434733888185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
