time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,1,0,-5.366204166666666,36.15046283333333,1,0,0,0,0,0,0,0,0,0,0
0,2,0,-5.366204166666666,36.15046283333333,0,0,0,0,0,0,0,0,0,0,0
0,3,0,-5.366204166666666,36.15046283333333,1,0,0,0,0,0,0,0,0,0,0
0,4,0,-5.366204166666666,36.15046283333333,1,0,0,0,0,0,0,0,0,0,0
0,5,0,-5.366204166666666,36.15046283333333,3,0,0,0,0,0,0,0,0,0,0
0,6,0,-5.366204166666666,36.15046283333333,7,0,0,0,0,0,0,0,0,0,0
0,7,0,-5.366204166666666,36.15046283333333,4,0,0,0,0,0,0,0,0,0,0
0,8,0,-5.366204166666666,36.15046283333333,6,0,0,0,0,0,0,0,0,0,0
0,9,0,-5.366204166666666,36.15046283333333,1,0,0,0,0,0,0,0,0,0,0
0,10,0,-5.366204166666666,36.15046283333333,7,0,0,0,0,0,0,0,0,0,0
0,11,0,-5.366204166666666,36.15046283333333,8,0,0,0,0,0,0,0,0,0,0
0,12,0,-5.366204166666666,36.15046283333333,13,0,0,0,0,0,0,0,0,0,0
0,13,0,-5.366204166666666,36.15046283333333,7,0,0,0,0,0,0,0,0,0,0
0,14,0,-5.366204166666666,36.15046283333333,6,0,0,0,0,0,0,0,0,0,0
0,15,0,-5.366204166666666,36.15046283333333,5,0,0,0,0,0,0,0,0,0,0
0,16,0,-5.366204166666666,36.15046283333333,4,0,0,0,0,0,0,0,0,0,0
0,17,0,-5.366204166666666,36.15046283333333,7,0,0,0,0,0,0,0,0,0,0
0,1,1,-5.357870166666666,36.15046283333333,19,0,0,0,0,0,0,0,0,0,0
0,2,1,-5.357870166666666,36.15046283333333,19,0,0,0,0,0,0,0,0,0,0
0,3,1,-5.357870166666666,36.15046283333333,21,0,0,0,0,0,0,0,0,0,0
0,4,1,-5.357870166666666,36.15046283333333,34,0,0,0,0,0,0,0,0,0,0
0,5,1,-5.357870166666666,36.15046283333333,91,0,0,0,0,0,0,0,0,0,0
0,6,1,-5.357870166666666,36.15046283333333,100,0,0,0,0,0,0,0,0,0,0
0,7,1,-5.357870166666666,36.15046283333333,126,0,0,0,0,0,0,0,0,0,0
0,8,1,-5.357870166666666,36.15046283333333,151,0,0,0,0,0,0,0,0,0,0
0,9,1,-5.357870166666666,36.15046283333333,165,0,0,0,0,0,0,0,0,0,0
0,10,1,-5.357870166666666,36.15046283333333,129,0,0,0,0,0,0,0,0,0,0
0,11,1,-5.357870166666666,36.15046283333333,127,0,0,0,0,0,0,0,0,0,0
0,12,1,-5.357870166666666,36.15046283333333,115,0,0,0,0,0,0,0,0,0,0
0,13,1,-5.357870166666666,36.15046283333333,87,0,0,0,0,0,0,0,0,0,0
0,14,1,-5.357870166666666,36.15046283333333,66,0,0,0,0,0,0,0,0,0,0
0,15,1,-5.357870166666666,36.15046283333333,63,0,0,0,0,0,0,0,0,0,0
0,16,1,-5.357870166666666,36.15046283333333,72,0,0,0,0,0,0,0,0,0,0
0,17,1,-5.357870166666666,36.15046283333333,109,0,0,0,0,0,0,0,0,0,0
0,1,2,-5.349537166666666,36.15046283333333,96,0,0,0,0,0,0,0,0,0,0
0,2,2,-5.349537166666666,36.15046283333333,93,0,0,1,0,0,0,0,0,0,0
0,3,2,-5.349537166666666,36.15046283333333,142,0,0,2,0,0,0,0,0,0,0
0,4,2,-5.349537166666666,36.15046283333333,161,0,0,1,0,0,0,0,0,0,0
0,5,2,-5.349537166666666,36.15046283333333,399,0,0,0,0,0,0,0,0,0,0
0,6,2,-5.349537166666666,36.15046283333333,447,0,0,0,0,0,0,0,0,0,0
0,7,2,-5.349537166666666,36.15046283333333,542,0,0,0,0,0,0,0,0,0,0
0,8,2,-5.349537166666666,36.15046283333333,680,0,0,0,0,0,0,0,0,0,0
0,9,2,-5.349537166666666,36.15046283333333,827,0,0,0,0,0,0,0,0,0,0
0,10,2,-5.349537166666666,36.15046283333333,761,0,0,0,0,0,0,0,0,0,0
0,11,2,-5.349537166666666,36.15046283333333,605,0,0,0,0,0,0,0,0,0,0
0,12,2,-5.349537166666666,36.15046283333333,544,0,0,0,0,0,0,0,0,0,0
0,13,2,-5.349537166666666,36.15046283333333,480,0,0,0,0,0,0,0,0,0,0
0,14,2,-5.349537166666666,36.15046283333333,349,0,0,0,0,0,0,0,0,0,0
0,15,2,-5.349537166666666,36.15046283333333,321,0,0,0,0,0,0,0,0,0,0
0,16,2,-5.349537166666666,36.15046283333333,277,0,0,0,0,0,0,0,0,0,0
0,17,2,-5.349537166666666,36.15046283333333,462,0,0,0,0,0,0,0,0,0,0
0,1,3,-5.366204166666666,36.14212883333333,19,0,0,0,0,0,0,0,0,0,0
0,2,3,-5.366204166666666,36.14212883333333,25,0,0,0,0,0,0,0,0,0,0
0,3,3,-5.366204166666666,36.14212883333333,25,0,0,0,0,0,0,0,0,0,0
0,4,3,-5.366204166666666,36.14212883333333,36,0,0,0,0,0,0,0,0,0,0
0,5,3,-5.366204166666666,36.14212883333333,95,0,0,0,0,0,0,0,0,0,0
0,6,3,-5.366204166666666,36.14212883333333,114,0,0,0,0,0,0,0,0,0,0
0,7,3,-5.366204166666666,36.14212883333333,115,0,0,0,0,0,0,0,0,0,0
0,8,3,-5.366204166666666,36.14212883333333,149,0,0,0,0,0,0,0,0,0,0
0,9,3,-5.366204166666666,36.14212883333333,202,0,0,0,0,0,0,0,0,0,0
0,10,3,-5.366204166666666,36.14212883333333,142,0,0,0,0,0,0,0,0,0,0
0,11,3,-5.366204166666666,36.14212883333333,158,0,0,0,0,0,0,0,0,0,0
0,12,3,-5.366204166666666,36.14212883333333,138,0,0,0,0,0,0,0,0,0,0
0,13,3,-5.366204166666666,36.14212883333333,100,0,0,0,0,0,0,0,0,0,0
0,14,3,-5.366204166666666,36.14212883333333,112,0,0,0,0,0,0,0,0,0,0
0,15,3,-5.366204166666666,36.14212883333333,100,0,0,0,0,0,0,0,0,0,0
0,16,3,-5.366204166666666,36.14212883333333,82,0,0,0,0,0,0,0,0,0,0
0,17,3,-5.366204166666666,36.14212883333333,114,0,0,0,0,0,0,0,0,0,0
0,1,4,-5.357870166666666,36.14212883333333,87,0,0,0,0,0,0,0,0,0,0
0,2,4,-5.357870166666666,36.14212883333333,99,0,0,0,0,0,0,0,0,0,0
0,3,4,-5.357870166666666,36.14212883333333,123,0,0,0,0,0,0,0,0,0,0
0,4,4,-5.357870166666666,36.14212883333333,146,0,0,1,0,0,0,0,0,0,0
0,5,4,-5.357870166666666,36.14212883333333,350,0,0,0,0,0,0,0,0,0,0
0,6,4,-5.357870166666666,36.14212883333333,455,0,0,0,0,0,0,0,0,0,0
0,7,4,-5.357870166666666,36.14212883333333,506,0,0,0,0,0,0,0,0,0,0
0,8,4,-5.357870166666666,36.14212883333333,667,0,0,0,0,0,0,0,0,0,0
0,9,4,-5.357870166666666,36.14212883333333,778,0,0,0,0,0,0,0,0,0,0
0,10,4,-5.357870166666666,36.14212883333333,720,0,0,0,0,0,0,0,0,0,0
0,11,4,-5.357870166666666,36.14212883333333,601,0,0,0,0,0,0,0,0,0,0
0,12,4,-5.357870166666666,36.14212883333333,526,0,0,0,0,0,0,0,0,0,0
0,13,4,-5.357870166666666,36.14212883333333,392,0,0,0,0,0,0,0,0,0,0
0,14,4,-5.357870166666666,36.14212883333333,316,0,0,0,0,0,0,0,0,0,0
0,15,4,-5.357870166666666,36.14212883333333,315,0,0,0,0,0,0,0,0,0,0
0,16,4,-5.357870166666666,36.14212883333333,283,0,0,0,0,0,0,0,0,0,0
0,17,4,-5.357870166666666,36.14212883333333,412,0,0,0,0,0,0,0,0,0,0
0,1,5,-5.349537166666666,36.14212883333333,48,0,0,0,0,0,0,0,0,0,0
0,2,5,-5.349537166666666,36.14212883333333,52,0,0,2,0,0,0,0,0,0,0
0,3,5,-5.349537166666666,36.14212883333333,58,0,0,0,0,0,0,0,0,0,0
0,4,5,-5.349537166666666,36.14212883333333,76,0,0,0,0,0,0,0,0,0,0
0,5,5,-5.349537166666666,36.14212883333333,178,0,0,0,0,0,0,0,0,0,0
0,6,5,-5.349537166666666,36.14212883333333,231,0,0,0,0,0,0,0,0,0,0
0,7,5,-5.349537166666666,36.14212883333333,274,0,0,0,0,0,0,0,0,0,0
0,8,5,-5.349537166666666,36.14212883333333,288,0,0,0,0,0,0,0,0,0,0
0,9,5,-5.349537166666666,36.14212883333333,388,0,0,0,0,0,0,0,0,0,0
0,10,5,-5.349537166666666,36.14212883333333,353,0,0,0,0,0,0,0,0,0,0
0,11,5,-5.349537166666666,36.14212883333333,343,0,0,0,0,0,0,0,0,0,0
0,12,5,-5.349537166666666,36.14212883333333,306,0,0,0,0,0,0,0,0,0,0
0,13,5,-5.349537166666666,36.14212883333333,236,0,0,0,0,0,0,0,0,0,0
0,14,5,-5.349537166666666,36.14212883333333,188,0,0,0,0,0,0,0,0,0,0
0,15,5,-5.349537166666666,36.14212883333333,177,0,0,0,0,0,0,0,0,0,0
0,16,5,-5.349537166666666,36.14212883333333,149,0,0,0,0,0,0,0,0,0,0
0,17,5,-5.349537166666666,36.14212883333333,222,0,0,0,0,0,0,0,0,0,0
0,1,6,-5.357870166666666,36.13379783333333,79,0,0,0,0,0,0,0,0,0,0
0,2,6,-5.357870166666666,36.13379783333333,77,0,0,2,0,0,0,0,0,0,0
0,3,6,-5.357870166666666,36.13379783333333,68,0,0,1,0,0,0,0,0,0,0
0,4,6,-5.357870166666666,36.13379783333333,100,0,0,1,0,0,0,0,0,0,0
0,5,6,-5.357870166666666,36.13379783333333,263,0,0,0,0,0,0,0,0,0,0
0,6,6,-5.357870166666666,36.13379783333333,299,0,0,0,0,0,0,0,0,0,0
0,7,6,-5.357870166666666,36.13379783333333,369,0,0,0,0,0,0,0,0,0,0
0,8,6,-5.357870166666666,36.13379783333333,471,0,0,0,0,0,0,0,0,0,0
0,9,6,-5.357870166666666,36.13379783333333,536,0,0,0,0,0,0,0,0,0,0
0,10,6,-5.357870166666666,36.13379783333333,515,0,0,0,0,0,0,0,0,0,0
0,11,6,-5.357870166666666,36.13379783333333,431,0,0,0,0,0,0,0,0,0,0
0,12,6,-5.357870166666666,36.13379783333333,352,0,0,0,0,0,0,0,0,0,0
0,13,6,-5.357870166666666,36.13379783333333,313,0,0,0,0,0,0,0,0,0,0
0,14,6,-5.357870166666666,36.13379783333333,238,0,0,0,0,0,0,0,0,0,0
0,15,6,-5.357870166666666,36.13379783333333,234,0,0,0,0,0,0,0,0,0,0
0,16,6,-5.357870166666666,36.13379783333333,204,0,0,0,0,0,0,0,0,0,0
0,17,6,-5.357870166666666,36.13379783333333,356,0,0,0,0,0,0,0,0,0,0
0,1,7,-5.349537166666666,36.13379783333333,8,0,0,1,0,0,0,0,0,0,0
0,2,7,-5.349537166666666,36.13379783333333,10,0,0,0,0,0,0,0,0,0,0
0,3,7,-5.349537166666666,36.13379783333333,20,0,0,0,0,0,0,0,0,0,0
0,4,7,-5.349537166666666,36.13379783333333,28,0,0,0,0,0,0,0,0,0,0
0,5,7,-5.349537166666666,36.13379783333333,57,0,0,0,0,0,0,0,0,0,0
0,6,7,-5.349537166666666,36.13379783333333,63,0,0,0,0,0,0,0,0,0,0
0,7,7,-5.349537166666666,36.13379783333333,81,0,0,0,0,0,0,0,0,0,0
0,8,7,-5.349537166666666,36.13379783333333,84,0,0,0,0,0,0,0,0,0,0
0,9,7,-5.349537166666666,36.13379783333333,106,0,0,0,0,0,0,0,0,0,0
0,10,7,-5.349537166666666,36.13379783333333,91,0,0,0,0,0,0,0,0,0,0
0,11,7,-5.349537166666666,36.13379783333333,75,0,0,0,0,0,0,0,0,0,0
0,12,7,-5.349537166666666,36.13379783333333,76,0,0,0,0,0,0,0,0,0,0
0,13,7,-5.349537166666666,36.13379783333333,65,0,0,0,0,0,0,0,0,0,0
0,14,7,-5.349537166666666,36.13379783333333,49,0,0,0,0,0,0,0,0,0,0
0,15,7,-5.349537166666666,36.13379783333333,33,0,0,0,0,0,0,0,0,0,0
0,16,7,-5.349537166666666,36.13379783333333,40,0,0,0,0,0,0,0,0,0,0
0,17,7,-5.349537166666666,36.13379783333333,51,0,0,0,0,0,0,0,0,0,0
0,1,8,-5.357870166666666,36.12546283333333,34,0,0,0,0,0,0,0,0,0,0
0,2,8,-5.357870166666666,36.12546283333333,46,0,0,0,0,0,0,0,0,0,0
0,3,8,-5.357870166666666,36.12546283333333,41,0,0,1,0,0,0,0,0,0,0
0,4,8,-5.357870166666666,36.12546283333333,63,0,0,0,0,0,0,0,0,0,0
0,5,8,-5.357870166666666,36.12546283333333,172,0,0,0,0,0,0,0,0,0,0
0,6,8,-5.357870166666666,36.12546283333333,174,0,0,0,0,0,0,0,0,0,0
0,7,8,-5.357870166666666,36.12546283333333,227,0,0,0,0,0,0,0,0,0,0
0,8,8,-5.357870166666666,36.12546283333333,264,0,0,0,0,0,0,0,0,0,0
0,9,8,-5.357870166666666,36.12546283333333,339,0,0,0,0,0,0,0,0,0,0
0,10,8,-5.357870166666666,36.12546283333333,278,0,0,0,0,0,0,0,0,0,0
0,11,8,-5.357870166666666,36.12546283333333,259,0,0,0,0,0,0,0,0,0,0
0,12,8,-5.357870166666666,36.12546283333333,208,0,0,0,0,0,0,0,0,0,0
0,13,8,-5.357870166666666,36.12546283333333,179,0,0,0,0,0,0,0,0,0,0
0,14,8,-5.357870166666666,36.12546283333333,142,0,0,0,0,0,0,0,0,0,0
0,15,8,-5.357870166666666,36.12546283333333,109,0,0,0,0,0,0,0,0,0,0
0,16,8,-5.357870166666666,36.12546283333333,112,0,0,0,0,0,0,0,0,0,0
0,17,8,-5.357870166666666,36.12546283333333,168,0,0,0,0,0,0,0,0,0,0
0,1,9,-5.349537166666666,36.12546283333333,9,0,0,0,0,0,0,0,0,0,0
0,2,9,-5.349537166666666,36.12546283333333,16,0,0,0,0,0,0,0,0,0,0
0,3,9,-5.349537166666666,36.12546283333333,11,0,0,0,0,0,0,0,0,0,0
0,4,9,-5.349537166666666,36.12546283333333,28,0,0,0,0,0,0,0,0,0,0
0,5,9,-5.349537166666666,36.12546283333333,47,0,0,0,0,0,0,0,0,0,0
0,6,9,-5.349537166666666,36.12546283333333,72,0,0,0,0,0,0,0,0,0,0
0,7,9,-5.349537166666666,36.12546283333333,86,0,0,0,0,0,0,0,0,0,0
0,8,9,-5.349537166666666,36.12546283333333,89,0,0,0,0,0,0,0,0,0,0
0,9,9,-5.349537166666666,36.12546283333333,113,0,0,0,0,0,0,0,0,0,0
0,10,9,-5.349537166666666,36.12546283333333,109,0,0,0,0,0,0,0,0,0,0
0,11,9,-5.349537166666666,36.12546283333333,85,0,0,0,0,0,0,0,0,0,0
0,12,9,-5.349537166666666,36.12546283333333,101,0,0,0,0,0,0,0,0,0,0
0,13,9,-5.349537166666666,36.12546283333333,66,0,0,0,0,0,0,0,0,0,0
0,14,9,-5.349537166666666,36.12546283333333,46,0,0,0,0,0,0,0,0,0,0
0,15,9,-5.349537166666666,36.12546283333333,39,0,0,0,0,0,0,0,0,0,0
0,16,9,-5.349537166666666,36.12546283333333,45,0,0,0,0,0,0,0,0,0,0
0,17,9,-5.349537166666666,36.12546283333333,70,0,0,0,0,0,0,0,0,0,0
0,1,10,-5.357870166666666,36.11712783333333,9,0,0,0,0,0,0,0,0,0,0
0,2,10,-5.357870166666666,36.11712783333333,17,0,0,0,0,0,0,0,0,0,0
0,3,10,-5.357870166666666,36.11712783333333,7,0,0,0,0,0,0,0,0,0,0
0,4,10,-5.357870166666666,36.11712783333333,19,0,0,0,0,0,0,0,0,0,0
