dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,2.4695728273615396,3.4285714285714284,7.342091209050689,19.367717083294508,25.316789211260993,16.17393206840385,19.11787902152157,6.326715684504396,10.576877622731459
03-25,6.464771528966899,10.275787812470881,23.29661228891591,64.01828991561266,92.23289960575664,73.31938022289398,67.85045514844069,43.47599291160189,48.36998382085677
04-01,11.959322477664013,26.491045156118965,68.45613986571094,119.69799361951955,159.97092448576618,166.45009921408794,136.87224916676092,95.23705185898906,115.40812439666075
04-08,11.362591908445744,25.603151249883524,72.01186903613909,125.44270720227277,189.4811738414222,191.11890402015587,151.7646196002995,104.59996863793044,146.2034386946564
04-15,7.107304795369918,17.337289910656047,52.884064137799015,85.41643466856637,156.95840481399847,157.9228523671071,126.72777333746221,80.77773037536656,128.42090642447027
04-22,3.602179620521155,10.66848301710096,34.54197302815248,46.236405795951384,80.25145565476883,124.75242360617762,80.98176514352984,48.88406314375751,97.450038588313
04-29,1.6428571428571428,4.928571428571429,18.403593307235855,23.301737563168825,41.6790558515945,65.28123338462848,43.84241438967575,23.14830549833097,47.11242659047755
05-06,0.6428571428571428,2.071428571428571,9.290839460563049,5.438821778268956,23.591928077973815,22.55125095325443,12.877643556537912,19.005124280211405,22.484946761441414
05-13,0.21428571428571427,1.0,4.928571428571428,1.2142857142857142,5.862267833183319,8.163357842252198,2.2857142857142856,6.428571428571429,4.816465036594416
05-20,0.0,0.7857142857142857,1.2142857142857142,0.5,3.4288953050255517,2.959322477664012,0.5714285714285714,3.2857142857142856,0.0
05-27,0.0,0.21428571428571427,0.6582326674034347,0.8571428571428571,1.6278054947649745,3.9593222788557103,0.7399115885295339,1.1428571428571428,0.0
06-03,0.0,0.0,0.29596463541181356,0.42857142857142855,0.0,0.0,0.0,0.5,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
