dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,1.0205006993950556,6.826715684504396,19.541325275244233,37.363239661353994,35.54677432654712,33.65888042031168,23.725183816891487,16.015699401000415,16.72998511528613
03-25,17.80718661447171,42.114049352489296,115.47955614902216,201.51419361616007,306.32942009475937,254.92900741139354,210.12084916755947,146.8178163967866,154.19001000738427
04-01,86.48338581805442,191.20668322463837,462.6814943272582,880.2742392123296,1309.2481928794423,1265.2286016925723,969.9110510315687,706.2613333484622,755.4945509658281
04-08,140.45393027477834,335.9213496637954,827.7168354016801,1593.3744311683588,2342.7229549042995,2340.3381783122472,1916.0368524601568,1405.0023690200503,1679.2644248346971
04-15,106.50868781584411,256.8098344745219,645.1520357024534,1211.8217133688029,1902.2462874829419,1855.5377127783843,1763.2211253967944,1380.7424220112841,1683.25268517336
04-22,52.07784925209383,123.16147143194466,323.8181380863494,600.3204596842459,963.875320981731,952.0693685514717,960.5497798497056,835.6631189348328,1154.4264018759973
04-29,21.969896703815664,38.965095405421025,133.89463697229255,254.83539992179908,387.3885911516537,406.4183676886635,431.7889366485706,391.2219876859739,638.5960944358385
05-06,6.790839460563049,9.295964635411814,42.255610890125794,86.3834144962119,139.8987875356544,143.68450132434796,171.08199444763153,143.485590140567,280.20466114917906
05-13,0.9285714285714285,3.3571428571428568,14.969572827361539,30.37764226428395,39.729659548961436,51.2757853273671,69.93881770269877,40.94907033869176,108.3725093359114
05-20,0.5,1.357142857142857,2.8622680319916207,12.142856447028086,13.214285018456657,16.214284521435903,6.285714086905983,6.428571329167277,21.571426782153853
05-27,0.21428571428571427,0.5,0.21428571428571427,2.5714284720244205,5.285713987501833,3.5714283726202694,0.42857142857142855,0.14285714285714285,2.5714284720244205
06-03,0.0,0.2857142857142857,0.0,0.3571428571428571,0.8571428571428571,0.5,0.0,0.0,0.5714285714285714
06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
