timestep,age_group,new_cases
0,0,5
0,1,6
0,2,5
0,3,6
0,4,5
0,5,8
0,6,5
0,7,3
0,8,8
0,9,8
0,10,8
0,11,7
0,12,9
0,13,2
0,14,4
0,15,5
0,16,6
2,0,2
2,1,3
2,2,3
2,3,8
2,4,6
2,5,2
2,6,7
2,7,3
2,8,5
2,9,6
2,10,4
2,11,5
2,12,12
2,13,4
2,14,5
2,15,6
2,16,6
3,0,13
3,1,11
3,2,10
3,3,7
3,4,17
3,5,15
3,6,19
3,7,16
3,8,23
3,9,19
3,10,17
3,11,21
3,12,12
3,13,15
3,14,9
3,15,10
3,16,16
4,0,17
4,1,16
4,2,26
4,3,19
4,4,16
4,5,16
4,6,36
4,7,25
4,8,31
4,9,29
4,10,27
4,11,32
4,12,33
4,13,20
4,14,22
4,15,17
4,16,25
5,0,26
5,1,24
5,2,41
5,3,30
5,4,31
5,5,39
5,6,32
5,7,39
5,8,47
5,9,62
5,10,56
5,11,54
5,12,32
5,13,32
5,14,25
5,15,27
5,16,44
6,0,33
6,1,32
6,2,34
6,3,33
6,4,31
6,5,40
6,6,39
6,7,66
6,8,64
6,9,64
6,10,66
6,11,46
6,12,42
6,13,52
6,14,38
6,15,34
6,16,49
7,0,44
7,1,49
7,2,53
7,3,46
7,4,50
7,5,50
7,6,70
7,7,69
7,8,81
7,9,85
7,10,77
7,11,56
7,12,46
7,13,53
7,14,38
7,15,50
7,16,58
8,0,44
8,1,53
8,2,56
8,3,56
8,4,47
8,5,51
8,6,60
8,7,81
8,8,98
8,9,91
8,10,99
8,11,75
8,12,72
8,13,58
8,14,52
8,15,54
8,16,41
9,0,56
9,1,61
9,2,65
9,3,46
9,4,44
9,5,57
9,6,71
9,7,85
9,8,107
9,9,82
9,10,92
9,11,92
9,12,90
9,13,70
9,14,42
9,15,60
9,16,77
10,0,48
10,1,58
10,2,73
10,3,55
10,4,68
10,5,71
10,6,72
10,7,112
10,8,121
10,9,110
10,10,102
10,11,96
10,12,86
10,13,61
10,14,63
10,15,36
10,16,70
11,0,57
11,1,67
11,2,90
11,3,73
11,4,67
11,5,76
11,6,73
11,7,97
11,8,126
11,9,115
11,10,101
11,11,101
11,12,92
11,13,77
11,14,60
11,15,71
11,16,73
12,0,54
12,1,55
12,2,82
12,3,76
12,4,75
12,5,70
12,6,82
12,7,103
12,8,119
12,9,127
12,10,98
12,11,91
12,12,87
12,13,57
12,14,58
12,15,58
12,16,88
13,0,67
13,1,63
13,2,57
13,3,68
13,4,71
13,5,62
13,6,83
13,7,94
13,8,123
13,9,124
13,10,106
13,11,114
13,12,67
13,13,70
13,14,60
13,15,60
13,16,83
14,0,51
14,1,46
14,2,67
14,3,70
14,4,59
14,5,54
14,6,79
14,7,83
14,8,112
14,9,112
14,10,99
14,11,93
14,12,80
14,13,66
14,14,55
14,15,46
14,16,83
15,0,48
15,1,41
15,2,51
15,3,49
15,4,57
15,5,56
15,6,52
15,7,97
15,8,96
15,9,107
15,10,87
15,11,99
15,12,71
15,13,61
15,14,50
15,15,45
15,16,65
16,0,37
16,1,52
16,2,63
16,3,48
16,4,44
16,5,57
16,6,66
16,7,77
16,8,95
16,9,101
16,10,90
16,11,69
16,12,61
16,13,58
16,14,50
16,15,49
16,16,52
17,0,33
17,1,45
17,2,47
17,3,37
17,4,47
17,5,55
17,6,68
17,7,60
17,8,76
17,9,61
17,10,64
17,11,63
17,12,65
17,13,49
17,14,34
17,15,26
17,16,55
18,0,27
18,1,34
18,2,48
18,3,48
18,4,38
18,5,33
18,6,53
18,7,52
18,8,54
18,9,61
18,10,64
18,11,55
18,12,65
18,13,48
18,14,36
18,15,29
18,16,43
19,0,33
19,1,43
19,2,39
19,3,33
19,4,39
19,5,41
19,6,41
19,7,53
19,8,56
19,9,73
19,10,58
19,11,37
19,12,33
19,13,23
19,14,30
19,15,32
19,16,55
20,0,24
20,1,27
20,2,31
20,3,30
20,4,25
20,5,29
20,6,37
20,7,44
20,8,64
20,9,45
20,10,63
20,11,51
20,12,41
20,13,27
20,14,28
20,15,24
20,16,44
21,0,19
21,1,28
21,2,34
21,3,26
21,4,28
21,5,23
21,6,20
21,7,43
21,8,48
21,9,47
21,10,50
21,11,40
21,12,34
21,13,27
21,14,32
21,15,16
21,16,27
22,0,19
22,1,16
22,2,33
22,3,26
22,4,15
22,5,22
22,6,28
22,7,39
22,8,41
22,9,42
22,10,45
22,11,33
22,12,25
22,13,27
22,14,22
22,15,26
22,16,36
23,0,20
23,1,24
23,2,25
23,3,17
23,4,15
23,5,34
23,6,19
23,7,36
23,8,31
23,9,36
23,10,44
23,11,28
23,12,33
23,13,13
23,14,20
23,15,12
23,16,26
24,0,12
24,1,11
24,2,24
24,3,25
24,4,18
24,5,11
24,6,22
24,7,21
24,8,34
24,9,35
24,10,35
24,11,28
24,12,31
24,13,17
24,14,16
24,15,21
24,16,28
25,0,16
25,1,14
25,2,16
25,3,16
25,4,12
25,5,11
25,6,12
25,7,30
25,8,21
25,9,25
25,10,32
25,11,18
25,12,22
25,13,22
25,14,20
25,15,16
25,16,16
26,0,12
26,1,18
26,2,18
26,3,12
26,4,14
26,5,14
26,6,17
26,7,15
26,8,25
26,9,26
26,10,22
26,11,24
26,12,18
26,13,20
26,14,12
26,15,10
26,16,17
27,0,11
27,1,8
27,2,11
27,3,16
27,4,12
27,5,11
27,6,7
27,7,22
27,8,21
27,9,13
27,10,9
27,11,11
27,12,13
27,13,13
27,14,8
27,15,9
27,16,9
28,0,5
28,1,4
28,2,9
28,3,11
28,4,6
28,5,13
28,6,8
28,7,13
28,8,19
28,9,19
28,10,17
28,11,22
28,12,9
28,13,12
28,14,10
28,15,10
28,16,8
29,0,9
29,1,4
29,2,10
29,3,8
29,4,7
29,5,7
29,6,6
29,7,12
29,8,12
29,9,16
29,10,13
29,11,10
29,12,9
29,13,4
29,14,4
29,15,6
29,16,8
30,0,3
30,1,6
30,2,4
30,3,4
30,4,10
30,5,7
30,6,4
30,7,14
30,8,16
30,9,13
30,10,9
30,11,7
30,12,4
30,13,5
30,14,4
30,15,2
30,16,13
31,0,8
31,1,5
31,2,7
31,3,6
31,4,6
31,5,8
31,6,1
31,7,4
31,8,6
31,9,10
31,10,7
31,11,3
31,12,7
31,13,4
31,14,3
31,15,5
31,16,6
32,0,3
32,1,6
32,2,5
32,3,2
32,4,2
32,5,2
32,6,6
32,7,4
32,8,4
32,9,10
32,10,6
32,11,10
