timestep,age_group,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
0,0,1386,0,0,2,0,0,0,0,0,0
0,1,1595,0,0,8,0,0,0,0,0,0
0,2,1832,0,0,7,0,0,0,0,0,0
0,3,1571,0,0,6,0,0,0,0,0,0
0,4,1631,0,0,6,0,0,0,0,0,0
0,5,1685,0,0,3,0,0,0,0,0,0
0,6,1813,0,0,3,0,0,0,0,0,0
0,7,2320,0,0,6,0,0,0,0,0,0
0,8,2846,0,0,6,0,0,0,0,0,0
0,9,2704,0,0,7,0,0,0,0,0,0
0,10,2614,0,0,12,0,0,0,0,0,0
0,11,2320,0,0,10,0,0,0,0,0,0
0,12,2136,0,0,4,0,0,0,0,0,0
0,13,1754,0,0,9,0,0,0,0,0,0
0,14,1534,0,0,3,0,0,0,0,0,0
0,15,1236,0,0,2,0,0,0,0,0,0
0,16,2001,0,0,6,0,0,0,0,0,0
1,0,1386,0,0,2,0,0,0,0,0,0
1,1,1595,0,0,8,0,0,0,0,0,0
1,2,1832,0,0,5,0,0,0,0,2,0
1,3,1571,0,0,6,0,0,0,0,0,0
1,4,1631,0,0,6,0,0,0,0,0,0
1,5,1685,0,0,3,0,0,0,0,0,0
1,6,1813,0,0,3,0,0,0,0,0,0
1,7,2320,0,0,6,0,0,0,0,0,0
1,8,2846,0,0,6,0,0,0,0,0,0
1,9,2704,0,0,7,0,0,0,0,0,0
1,10,2614,0,0,12,0,0,0,0,0,0
1,11,2320,0,0,10,0,0,0,0,0,0
1,12,2136,0,0,4,0,0,0,0,0,0
1,13,1754,0,0,9,0,0,0,0,0,0
1,14,1534,0,0,3,0,0,0,0,0,0
1,15,1236,0,0,2,0,0,0,0,0,0
1,16,2001,0,0,6,0,0,0,0,0,0
2,0,1369,14,0,4,1,0,0,0,0,0
2,1,1550,44,0,8,1,0,0,0,0,0
2,2,1769,62,0,6,0,0,0,0,2,0
2,3,1537,30,1,6,2,0,0,0,1,0
2,4,1584,46,0,7,0,0,0,0,0,0
2,5,1632,50,0,4,2,0,0,0,0,0
2,6,1739,69,1,5,2,0,0,0,0,0
2,7,2234,78,3,7,3,0,0,0,1,0
2,8,2741,102,0,6,3,0,0,0,0,0
2,9,2614,86,0,11,0,0,0,0,0,0
2,10,2529,81,0,15,1,0,0,0,0,0
2,11,2241,78,1,10,0,0,0,0,0,0
2,12,2068,63,2,5,2,0,0,0,0,0
2,13,1754,0,0,9,0,0,0,0,0,0
2,14,1534,0,0,3,0,0,0,0,0,0
2,15,1236,0,0,2,0,0,0,0,0,0
2,16,2000,1,0,6,0,0,0,0,0,0
3,0,1368,14,0,4,2,0,0,0,0,0
3,1,1546,40,3,12,1,0,0,0,1,0
3,2,1756,61,5,12,3,0,0,0,2,0
3,3,1532,27,3,9,5,0,0,0,1,0
3,4,1580,42,3,11,1,0,0,0,0,0
3,5,1621,52,2,8,5,0,0,0,0,0
3,6,1727,69,4,9,6,0,0,0,1,0
3,7,2220,77,10,10,7,0,0,0,2,0
3,8,2727,99,7,13,6,0,0,0,0,0
3,9,2601,85,4,17,4,0,0,0,0,0
3,10,2508,86,8,19,5,0,0,0,0,0
3,11,2227,80,5,14,4,0,0,0,0,0
3,12,2054,67,6,7,5,0,0,0,1,0
3,13,1754,0,0,9,0,0,0,0,0,0
3,14,1534,0,0,3,0,0,0,0,0,0
3,15,1236,0,0,2,0,0,0,0,0,0
3,16,2000,1,0,5,0,0,0,0,1,0
4,0,1358,21,2,5,2,0,0,0,0,0
4,1,1526,47,6,20,3,0,0,0,1,0
4,2,1725,80,10,16,6,0,0,0,2,0
4,3,1522,30,5,13,6,0,0,0,1,0
4,4,1550,62,7,15,2,0,0,0,1,0
4,5,1589,72,4,12,11,0,0,0,0,0
4,6,1695,78,11,20,9,0,0,0,3,0
4,7,2170,107,16,20,11,0,0,0,2,0
4,8,2662,142,15,23,9,0,0,0,1,0
4,9,2547,119,9,26,9,0,0,0,1,0
4,10,2457,116,14,27,10,0,0,0,2,0
4,11,2170,117,8,26,9,0,0,0,0,0
4,12,1996,110,10,12,11,0,0,0,1,0
4,13,1751,3,0,9,0,0,0,0,0,0
4,14,1532,2,0,3,0,0,0,0,0,0
4,15,1235,1,0,2,0,0,0,0,0,0
4,16,1999,2,0,5,0,0,0,0,1,0
5,0,1346,28,5,5,3,0,0,0,1,0
5,1,1495,71,11,18,3,0,0,0,5,0
5,2,1690,94,16,28,7,0,0,0,4,0
5,3,1505,42,6,14,8,0,0,0,2,0
5,4,1527,76,11,17,5,0,0,0,1,0
5,5,1566,85,7,16,14,0,0,0,0,0
5,6,1649,104,16,30,11,0,0,0,6,0
5,7,2113,127,24,33,26,0,0,0,3,0
5,8,2595,178,30,35,13,0,0,0,1,0
5,9,2484,160,15,34,15,0,0,0,3,0
5,10,2399,143,22,41,18,0,0,0,3,0
5,11,2111,157,20,30,10,0,0,0,2,0
5,12,1945,139,19,21,13,0,0,0,3,0
5,13,1747,3,1,12,0,0,0,0,0,0
5,14,1530,4,0,3,0,0,0,0,0,0
5,15,1235,0,1,2,0,0,0,0,0,0
5,16,1995,6,0,5,0,0,0,0,1,0
6,0,1328,43,7,5,4,0,0,0,1,0
6,1,1460,91,17,23,4,0,0,0,8,0
6,2,1643,124,23,33,12,0,0,0,4,0
6,3,1483,55,11,16,9,0,0,0,3,0
6,4,1495,96,15,23,7,0,0,0,1,0
6,5,1513,118,16,19,21,0,0,0,1,0
6,6,1594,135,29,34,16,0,0,0,8,0
6,7,2033,174,37,46,31,0,0,0,5,0
6,8,2527,210,34,53,23,0,0,0,5,0
6,9,2413,191,27,54,23,0,0,0,3,0
6,10,2317,191,33,53,27,0,0,0,5,0
