timestep,new_cases
0,100
1,0
2,63
3,177
4,286
5,383
6,536
7,564
8,575
9,573
10,528
11,526
12,602
13,618
14,592
15,611
16,637
17,590
18,643
19,627
20,593
21,527
22,464
23,381
24,365
25,290
26,260
27,275
28,260
29,189
30,159
31,157
32,139
33,136
34,96
35,94
36,74
37,54
38,43
39,39
40,40
41,40
42,31
43,28
44,26
45,36
46,22
47,36
48,12
49,12
50,13
51,7
52,6
53,8
54,8
55,3
56,6
57,4
58,5
59,6
60,2
61,3
62,3
63,2
64,0
65,1
66,1
67,3
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
