timestep,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
0,32978,0,0,100,0,0,0,0,0,0
1,32978,0,0,100,0,0,0,0,0,0
2,31939,976,21,124,13,0,0,0,5,0
3,31485,1253,73,207,50,0,0,0,10,0
4,30581,1871,168,335,102,0,0,0,21,0
5,29502,2567,294,478,197,1,0,0,39,0
6,28830,2703,461,695,324,1,0,0,64,0
7,28225,2744,656,871,452,2,0,0,128,0
8,27864,2530,845,1060,582,8,0,0,189,0
9,27407,2414,1024,1247,693,11,0,0,282,0
10,26789,2504,1164,1387,772,25,1,0,436,0
11,26025,2742,1318,1473,833,34,1,0,652,0
12,25367,2798,1473,1594,896,44,1,0,905,0
13,24839,2708,1660,1675,919,55,2,0,1219,1
14,24123,2832,1805,1755,964,64,8,0,1524,3
15,23451,2893,1941,1817,993,76,13,1,1889,4
16,22923,2784,2032,1890,1053,79,15,3,2294,5
17,22204,2913,2157,1932,1060,87,19,4,2696,6
18,21602,2872,2260,1980,1117,100,21,3,3115,8
19,21259,2588,2369,2010,1121,111,19,7,3581,13
20,20928,2326,2463,2007,1131,125,25,6,4054,13
21,20711,2016,2507,1948,1099,134,34,5,4608,16
22,20443,1820,2539,1916,1076,137,33,7,5084,23
23,20267,1615,2538,1794,1040,139,40,6,5612,27
24,20107,1410,2503,1689,989,141,36,7,6161,35
25,19924,1303,2452,1596,915,136,36,8,6664,44
26,19790,1177,2394,1434,815,140,35,8,7231,54
27,19709,983,2314,1310,748,138,38,9,7770,59
28,19615,817,2237,1223,690,126,41,8,8252,69
29,19527,716,2138,1101,620,128,40,8,8726,74
30,19417,667,2032,1000,575,119,39,11,9137,81
31,19356,571,1942,920,501,117,39,11,9529,92
32,19289,499,1824,839,465,101,40,10,9910,101
33,19231,421,1722,751,426,101,41,7,10271,107
34,19195,361,1625,670,372,95,40,6,10598,116
35,19171,291,1505,596,318,96,40,6,10937,118
36,19163,225,1403,525,282,92,36,8,11218,126
37,19140,194,1298,461,246,85,27,11,11480,136
38,19111,180,1191,405,215,76,30,6,11724,140
39,19095,157,1075,351,188,77,25,6,11958,146
40,19049,163,970,301,158,74,22,5,12182,154
41,19040,132,885,260,139,70,20,6,12368,158
42,19008,133,785,232,113,65,16,5,12560,161
43,18943,170,716,188,103,62,11,5,12714,166
44,18936,151,646,177,91,55,10,4,12838,170
45,18936,115,585,158,86,49,9,5,12963,172
46,18929,100,527,143,83,43,9,6,13064,174
47,18927,66,478,137,77,40,8,5,13165,175
48,18921,60,423,121,63,34,6,5,13267,178
49,18913,56,384,106,56,33,6,2,13344,178
50,18911,45,335,97,54,31,4,1,13420,180
51,18908,41,301,79,55,28,3,0,13481,182
52,18908,35,261,60,44,24,2,1,13558,185
53,18906,29,233,55,38,18,2,0,13611,186
54,18900,27,210,43,34,13,2,0,13663,186
55,18895,29,174,38,31,11,2,0,13712,186
56,18894,24,161,33,31,9,1,0,13738,187
57,18894,20,140,27,26,8,1,0,13775,187
58,18893,16,124,29,23,6,1,0,13798,188
59,18891,12,100,25,22,5,1,0,13834,188
60,18890,11,88,22,18,3,1,0,13855,190
61,18887,11,76,17,13,2,1,0,13881,190
62,18887,8,63,18,12,1,1,0,13898,190
63,18886,7,55,14,12,1,1,0,13912,190
64,18886,7,49,11,10,1,1,0,13923,190
65,18886,6,39,9,10,1,1,0,13936,190
66,18886,5,35,8,11,1,0,0,13941,191
67,18886,2,27,8,10,1,0,0,13953,191
68,18886,2,24,4,8,1,0,0,13962,191
69,18886,1,18,3,7,1,0,0,13971,191
70,18886,1,15,2,6,1,0,0,13976,191
71,18886,0,14,2,6,1,0,0,13978,191
72,18886,0,10,2,4,1,0,0,13984,191
73,18886,0,9,1,3,1,0,0,13987,191
74,18886,0,7,0,3,0,0,0,13991,191
75,18886,0,6,0,2,0,0,0,13993,191
76,18886,0,4,0,2,0,0,0,13995,191
77,18886,0,3,0,1,0,0,0,13997,191
78,18886,0,3,0,1,0,0,0,13997,191
79,18886,0,3,0,1,0,0,0,13997,191
80,18886,0,3,0,0,0,0,0,13998,191
81,18886,0,3,0,0,0,0,0,13998,191
82,18886,0,3,0,0,0,0,0,13998,191
83,18886,0,2,0,0,0,0,0,13999,191
84,18886,0,2,0,0,0,0,0,13999,191
85,18886,0,2,0,0,0,0,0,13999,191
86,18886,0,2,0,0,0,0,0,13999,191
87,18886,0,2,0,0,0,0,0,13999,191
88,18886,0,2,0,0,0,0,0,13999,191
89,18886,0,2,0,0,0,0,0,13999,191
90,18886,0,2,0,0,0,0,0,13999,191
91,18886,0,2,0,0,0,0,0,13999,191
92,18886,0,2,0,0,0,0,0,13999,191
93,18886,0,0,0,0,0,0,0,14001,191
94,18886,0,0,0,0,0,0,0,14001,191
95,18886,0,0,0,0,0,0,0,14001,191
96,18886,0,0,0,0,0,0,0,14001,191
97,18886,0,0,0,0,0,0,0,14001,191
98,18886,0,0,0,0,0,0,0,14001,191
99,18886,0,0,0,0,0,0,0,14001,191
100,18886,0,0,0,0,0,0,0,14001,191
