dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,138.0,148.0,157.0,182.0,258.0,225.0,196.0,127.0,114.0
03-25,340.0,395.0,407.0,538.0,646.0,604.0,452.0,363.0,241.0
04-01,367.0,416.0,412.0,564.0,741.0,680.0,518.0,373.0,222.0
04-08,214.0,276.0,233.0,324.0,457.0,397.0,270.0,228.0,163.0
04-15,92.0,109.0,106.0,146.0,206.0,174.0,130.0,98.0,75.0
04-22,29.0,36.0,31.0,49.0,74.0,58.0,41.0,42.0,24.0
04-29,18.0,18.0,19.0,19.0,30.0,36.0,21.0,16.0,14.0
05-06,9.0,5.0,8.0,3.0,14.0,7.0,6.0,5.0,
05-13,3.0,2.0,5.0,6.0,4.0,6.0,3.0,,
05-20,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
