cell,microcell,location_x,location_y,household_number,Susceptible
14398461,-2132994824,0.9075864336179582,0.929018923672322,5,27
14398461,14488829,0.9075864336179582,0.929018923672322,5,23
-2133031700,14488826,0.7914077698200178,0.7050752592548301,5,27
-2133031700,-2132993269,0.7914077698200178,0.7050752592548301,5,20
-2133031682,-2132993221,0.07350710812100958,0.266543242701601,5,34
-2133031682,-2132993176,0.07350710812100958,0.266543242701601,5,23
14459923,14490513,0.5153986608856219,0.8941899521863513,5,38
14459923,-2132990709,0.5153986608856219,0.8941899521863513,5,21
-2133023709,14490606,0.4389057194099494,0.9810456962765518,5,26
-2133023709,14492959,0.4389057194099494,0.9810456962765518,5,24
-2133023691,-2132990634,0.3907449689126543,0.9504101474062,5,20
-2133023691,14493049,0.3907449689126543,0.9504101474062,5,25
-2133023673,14493094,0.8695708170362182,0.8812604681993381,5,25
-2133023673,14495242,0.8695708170362182,0.8812604681993381,5,29
-2133023655,-2132990478,0.5230365091220193,0.8122097273027253,5,33
-2133023655,-2132988387,0.5230365091220193,0.8122097273027253,5,18
-2133023637,14495305,0.5843312260909809,0.18597796583820358,5,21
-2133023637,14495362,0.5843312260909809,0.18597796583820358,5,38
-2133023619,14495410,0.0753310776884566,0.5220556206601458,5,21
-2133023619,-2132986613,0.0753310776884566,0.5220556206601458,4,21
-2133023601,-2132988171,0.9895316896997203,0.9293511237494474,5,26
-2133023601,-2132986571,0.9895316896997203,0.9293511237494474,5,28
-2133023583,14497115,0.9780654048934154,0.9677624121112716,5,27
-2133023583,14497151,0.9780654048934154,0.9677624121112716,5,16
-2133023565,-2132986451,0.9108160928186659,0.5114874134225615,5,32
-2133023565,14499850,0.9108160928186659,0.5114874134225615,5,22
-2133023547,-2132986403,0.47084836607008984,0.8519495464806454,5,25
-2133023547,14499880,0.47084836607008984,0.8519495464806454,5,23
-2133023529,14499934,0.5206044907294671,0.17649915510890313,5,16
-2133023529,14499970,0.5206044907294671,0.17649915510890313,5,25
-2133023511,14500015,0.17730513935495873,0.20585820455200488,5,30
-2133023511,14502666,0.17730513935495873,0.20585820455200488,5,23
-2133023493,-2132983566,0.493012755033851,0.21200871617453854,5,25
-2133023493,-2132980957,0.493012755033851,0.21200871617453854,5,24
14461968,-2132980912,0.7221369301879713,0.10539355914088944,5,23
14461968,14502783,0.7221369301879713,0.10539355914088944,5,28
-2133021664,-2132980828,0.7729050580671635,0.9919723705058585,5,23
-2133021664,-2132978680,0.7729050580671635,0.9919723705058585,5,26
-2133021646,-2132980747,0.10510330157651804,0.5865885038315257,5,22
-2133021646,14505006,0.10510330157651804,0.5865885038315257,5,23
-2133021628,-2132978608,0.32164512373024423,0.6928983466458318,5,21
-2133021628,14505090,0.32164512373024423,0.6928983466458318,5,27
-2133021610,14505123,0.6277256038310572,0.6814312008716468,5,21
-2133021610,14507018,0.6277256038310572,0.6814312008716468,5,22
-2133021592,-2132978449,0.5022820796069988,0.2659238531259521,5,23
-2133021592,-2132976605,0.5022820796069988,0.2659238531259521,5,26
-2133021574,14507075,0.8321562991942697,0.6059472044038101,5,32
-2133021574,-2132976527,0.8321562991942697,0.6059472044038101,5,30
-2133021556,-2132976494,0.6146183368630316,0.5390905774672466,5,20
-2133021556,14509063,0.6146183368630316,0.5390905774672466,5,16
-2133021538,14507252,0.9913411025233827,0.9267706552036126,5,29
-2133021538,-2132974554,0.9913411025233827,0.9267706552036126,5,22
-2133021520,14509132,0.7096003145270745,0.17896328421566599,5,23
-2133021520,14509168,0.7096003145270745,0.17896328421566599,5,29
-2133021502,14509210,0.7650728530675304,0.10354878327439387,5,29
-2133021502,-2132972018,0.7650728530675304,0.10354878327439387,5,25
-2133021484,-2132974362,0.4506371386442487,0.27838910421545693,5,30
-2133021484,14511641,0.4506371386442487,0.27838910421545693,5,23
-2133021466,-2132971958,0.27904594622031187,0.07704641777577259,5,17
-2133021466,-2132971910,0.27904594622031187,0.07704641777577259,5,22
-2133021448,-2132971865,0.8309412236471249,0.8687587931816884,5,24
-2133021448,-2132969720,0.8309412236471249,0.8687587931816884,5,27
14463757,-2132971793,0.7790617287044298,0.9453891822788913,5,22
14463757,14513951,0.7790617287044298,0.9453891822788913,5,24
-2133019875,14513987,0.00824339875316793,0.4395090296333567,5,30
-2133019875,-2132969618,0.00824339875316793,0.4395090296333567,5,27
-2133019857,14514071,0.9251671745236963,0.9538162203289704,5,23
-2133019857,14516234,0.9251671745236963,0.9538162203289704,5,26
-2133019839,-2132969486,0.51491158369248,0.2717780233079381,5,27
-2133019839,-2132967386,0.51491158369248,0.2717780233079381,5,26
-2133019821,14516297,0.6366713222803048,0.5851507917529152,5,20
-2133019821,-2132967299,0.6366713222803048,0.5851507917529152,5,26
-2133019803,-2132967260,0.4175031215437284,0.16707494729104755,5,25
-2133019803,14518279,0.4175031215437284,0.16707494729104755,5,20
-2133019785,14516468,0.06866534066162855,0.7932520417361373,5,16
-2133019785,-2132965335,0.06866534066162855,0.7932520417361373,5,33
-2133019767,-2132965299,0.9833923361747692,0.342402182763069,5,22
-2133019767,14518390,0.9833923361747692,0.342402182763069,5,17
-2133019749,14518414,0.6591929507588673,0.10487117014438974,5,24
-2133019749,14518471,0.6591929507588673,0.10487117014438974,5,23
-2133019731,14518507,0.18866137095205404,0.7829286338776319,5,37
-2133019731,-2132963055,0.18866137095205404,0.7829286338776319,5,33
-2133019713,14520628,0.755643369894822,0.3767592106369929,5,26
-2133019713,-2132962983,0.755643369894822,0.3767592106369929,5,38
-2133019695,-2132962920,0.6459367519946903,0.43053705192878944,5,37
-2133019695,14523146,0.6459367519946903,0.43053705192878944,5,30
-2133019677,-2132962821,0.556205149925271,0.7045002269709852,5,20
-2133019677,-2132960447,0.556205149925271,0.7045002269709852,5,23
-2133019659,14523257,0.6121136341958966,0.7925311998066831,5,22
-2133019659,-2132960333,0.6121136341958966,0.7925311998066831,5,23
14466314,14523344,0.020701493100713786,0.5677624451699173,5,22
14466314,-2132958453,0.020701493100713786,0.5677624451699173,5,27
-2133017318,-2132958432,0.4012024127860534,0.07544902430883649,5,17
-2133017318,-2132958387,0.4012024127860534,0.07544902430883649,5,33
-2133017300,-2132958354,0.5476966420108057,0.4106477722147084,5,16
-2133017300,14525341,0.5476966420108057,0.4106477722147084,5,25
-2133017282,-2132958276,0.9327482086202333,0.23674151975868085,4,18
-2133017282,14527495,0.9327482086202333,0.23674151975868085,5,27
-2133017264,14527507,0.06383670397381425,0.175653856348152,5,19
-2133017264,-2132956092,0.06383670397381425,0.175653856348152,5,21
-2133017246,14527582,0.5536893571426506,0.4457083562588522,5,32
-2133017246,-2132956023,0.5536893571426506,0.4457083562588522,5,22
-2133017228,-2132955987,0.02173429116360759,0.05072855254004882,5,23
-2133017228,-2132954104,0.02173429116360759,0.05072855254004882,5,29
-2133017210,14527702,0.010421889640649051,0.8626030997076009,5,24
-2133017210,-2132954065,0.010421889640649051,0.8626030997076009,5,25
-2133017192,-2132954023,0.36558358096757815,0.18232690566157828,5,20
-2133017192,-2132953969,0.36558358096757815,0.18232690566157828,5,20
-2133017174,-2132953933,0.2719772518710626,0.5251878589773263,5,15
-2133017174,14532359,0.2719772518710626,0.5251878589773263,5,23
-2133017156,14529765,0.39488241718795425,0.2490812773199632,5,19
-2133017156,-2132951258,0.39488241718795425,0.2490812773199632,5,24
-2133017138,-2132951228,0.34228025547195107,0.19841718441329403,5,21
-2133017138,-2132951183,0.34228025547195107,0.19841718441329403,5,30
-2133017120,14532494,0.30227789996852694,0.9340983999284901,5,27
-2133017120,-2132948734,0.30227789996852694,0.9340983999284901,5,22
-2133017102,-2132951075,0.2406551932679789,0.7550223078228924,5,34
-2133017102,-2132948713,0.2406551932679789,0.7550223078228924,5,36
14468615,14534976,0.8304245374925823,0.19316516642592885,5,22
14468615,-2132948635,0.8304245374925823,0.19316516642592885,5,26
-2133015017,14535072,0.5499564222674317,0.4394988273712881,5,20
-2133015017,-2132946933,0.5499564222674317,0.4394988273712881,5,19
-2133014999,14535138,0.8645744902988405,0.3865205247564263,5,32
