av_infections,sd_infections,time
5.0,0.0,0
5.0,0.0,1
5.2,0.42163702135578385,2
5.8,1.0327955589886444,3
7.0,0.9428090415820634,4
7.4,0.9660917830792959,5
7.9,1.5238839267549948,6
8.3,2.4966644414765344,7
9.4,3.921450978627398,8
12.1,4.817791102892602,9
16.8,7.583608053631932,10
22.1,11.929887770730376,11
33.5,21.146315675943804,12
49.1,37.24528307196914,13
68.4,58.93348416270292,14
97.8,89.78096804012654,15
130.3,123.46933942391438,16
170.9,153.85523498839203,17
222.1,190.34322799733235,18
276.2,226.6415672377863,19
348.4,270.3015599905656,20
446.3,324.21256744439887,21
576.8,395.1851324238918,22
758.5,505.5455249310172,23
1015.8,674.0891467586299,24
1365.8,924.5098160647078,25
1862.6,1285.0634398520738,26
2534.2,1780.1263875229633,27
3422.2,2427.3304403534894,28
4618.4,3296.3175480796413,29
6142.3,4361.246739433831,30
8115.5,5690.129392201903,31
10626.5,7346.664537960974,32
13798.5,9360.696344586526,33
17786.6,11829.403142640422,34
22684.6,14776.476239091797,35
28714.8,18266.642243292674,36
35908.5,22230.675869417715,37
44394.6,26654.695071933907,38
54174.9,31409.04978381584,39
65284.0,36384.33154226937,40
77514.5,41434.475383161036,41
90722.4,46202.087709443505,42
104432.5,50419.66283163301,43
118344.0,54037.41494351647,44
131873.7,56823.97512210649,45
144596.6,58764.145701647394,46
155810.0,59693.18852078332,47
165437.0,60019.74036746391,48
173024.8,59771.37484485733,49
178339.3,58988.38506397302,50
181365.9,57684.20216710599,51
182310.7,55814.44336380245,52
181170.5,53349.58907526842,53
178262.5,50218.48240383658,54
173956.0,46334.474777306896,55
168363.7,41843.8199341047,56
161943.1,36801.69199748536,57
155022.3,31724.705753122787,58
147744.9,27070.863276675245,59
140338.3,23817.86122056769,60
132876.7,22810.971892441972,61
125506.3,24354.665608461968,62
118284.9,27767.747859902345,63
111224.1,32046.566727012876,64
104302.8,36390.06651332812,65
97521.2,40324.28209955442,66
91012.9,43444.32480377104,67
84644.9,45656.91726209488,68
78485.4,47043.451227325764,69
72476.1,47493.21036960032,70
66665.9,47215.46321433736,71
61151.8,46342.17675029471,72
55882.9,44874.05611127411,73
50831.9,42938.19616210672,74
46161.4,40867.31268711789,75
41791.8,38612.161373789415,76
37733.9,36288.96935693943,77
33997.2,33847.944758877165,78
30514.8,31386.521933254513,79
27312.7,28996.77285128276,80
24414.2,26678.27967883653,81
21799.8,24504.565587298668,82
19436.5,22407.499445250218,83
17287.2,20414.97722969313,84
15368.0,18582.754729407945,85
13632.8,16845.542719399426,86
12080.0,15213.304681538897,87
10707.1,13728.927784062382,88
9455.3,12316.383659806783,89
8346.1,11053.311041895497,90
7372.5,9895.792284827145,91
6498.3,8793.76876670192,92
5754.3,7856.1139679728285,93
5080.5,7013.708786686573,94
4464.5,6193.654678602753,95
3938.8,5487.217404517926,96
3467.6,4833.77136405933,97
3047.6,4228.632434566365,98
2688.2,3725.19740863935,99
2350.3,3247.804251422114,100
2059.9,2848.930577134749,101
1804.2,2490.595189909432,102
1577.2,2167.9698029877322,103
1381.6,1874.2257186487554,104
1217.2,1638.375808198134,105
1063.9,1414.6307292010872,106
933.7,1226.8878469073238,107
820.2,1067.1070757478421,108
726.6,944.6511643046985,109
639.1,822.2511714122936,110
558.7,710.1552334212256,111
493.9,622.5496767327086,112
434.3,543.7799902329781,113
387.0,479.0497538530488,114
338.6,424.2714539851423,115
301.4,375.2913534841963,116
268.9,331.5852328838946,117
240.8,293.97838166928005,118
212.6,258.76424276420676,119
191.0,232.40816585386057,120
