dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
02-29,0.0,0.0,0.0,1.2399115885295338,0.2857142857142857,1.8725183816891489,0.21428571428571427,0.7245360639832421,1.005125174848764
03-07,2.091929270823627,8.576877622731459,34.70052957201004,55.72167802431334,70.25787812470881,70.2428263772125,57.78317982428605,47.53846713617018,44.75787802530466
03-14,237.77557763285117,541.5220235988804,1719.2894246540257,2902.2563249147224,3849.5633745174036,3933.4653981336874,3052.9483864104377,2253.88551116542,2287.5790196094754
03-21,1976.515960924555,4654.860865531446,13151.549059517809,22704.420468005126,33467.794992648036,32799.73917697887,26037.66290923129,19010.55658318972,20797.858566339506
03-28,2723.1965406696763,6424.9379867678535,17252.879813937398,30883.871463144642,47983.34517305443,48160.00322491505,40771.05323961833,31698.663524521875,36947.13957962641
04-04,1467.5674623876264,3457.079366150076,9394.907992314831,17199.479044853895,27694.390645519103,29703.32871440774,27648.030161536248,22669.906275227244,27216.042372734628
04-11,554.541114698008,1326.8843474852476,3698.0171238467483,6877.242746336748,11389.121463386005,12992.671922251524,12615.44247067816,10859.621389754026,13198.02106830925
04-18,180.70500699395055,453.0756383689072,1264.909796253566,2455.179241594924,4022.98766427153,4910.520604423543,4633.261129381902,4179.487810733089,5214.279111265564
04-25,56.60730479536991,126.76041228792458,381.2511287961902,785.7165322728052,1222.1652599476583,1648.0636922945512,1398.8289231771926,1357.4621684786744,1947.0424746569588
05-02,13.714285714285714,24.357142857142854,86.94939391693343,184.47469104391973,346.1992160740422,513.7501278426032,379.3471940179655,378.60248073342467,630.2299319340653
05-09,1.7142857142857142,3.3571428571428568,16.872517785264243,24.642856148815632,79.75528174525166,117.42856208458123,99.79083140882682,80.84208554301408,165.07141356140176
05-16,0.5,0.07142857142857142,0.6428571428571428,1.1428571428571428,12.714284620840052,38.07142499287913,16.2142845214359,18.097052855205973,40.64285326609525
05-23,0.0,0.0,0.0,0.07142857142857142,0.42857142857142855,8.99999910536264,0.5,7.285713589885228,6.9999993041709425
