av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9990.0,0.0,0.1,0.31622776601683794,9.7,0.6749485577105528,9990.0,0.0,0.3,0.6749485577105528,9.9,0.31622776601683794,9990.0,0.0,0.1,0.31622776601683794,9.8,0.4216370213557839,9990.0,0.0,0.2,0.42163702135578396,9.8,0.4216370213557839,9990.0,0.0,0.2,0.42163702135578396,1
13.3,3.8600518131237567,9868.0,65.71318149520857,0.3,0.4830458915396479,8.9,2.7264140062238043,9921.1,47.49608170973452,0.5,0.7071067811865476,9.4,2.118699810942761,9917.6,32.19799855753632,0.3,0.4830458915396479,5.5,2.068278940998476,9934.5,17.36695457214969,0.3,0.4830458915396479,6.4,2.547329756605707,9949.2,7.955431408094027,0.3,0.4830458915396479,2
32.4,15.931799089312614,9826.4,78.96018687358276,1.2,0.9189365834726815,18.9,10.170217958988555,9901.9,54.94330411129883,1.2,1.1352924243950933,20.0,5.395471352079548,9898.9,37.06585730531236,0.9,0.7378647873726218,15.9,5.6460408940936455,9922.4,21.088174674710732,0.7,0.8232726023485646,13.8,3.259175083088085,9938.0,9.93310961716756,0.5,0.5270462766947299,3
64.7,30.335347918448758,9715.3,134.90824042041808,2.6,1.577621275493231,31.5,18.703832049431295,9849.8,84.89967936073467,2.4,1.6465452046971292,37.3,12.631970023185879,9860.3,54.209572750371116,1.4,1.07496769977314,28.1,6.6072350915913045,9892.5,23.599670430843826,1.7,1.567021236472421,22.7,5.121848624601603,9920.5,14.245857097572067,0.9,0.9944289260117531,4
111.7,50.5416220115219,9543.3,183.44908467110614,5.0,2.6246692913372702,55.2,33.1756269303569,9773.3,135.07203839268718,4.0,2.4037008503093262,58.5,22.167293224227645,9796.3,75.10444579236156,2.5,1.509230856356236,44.9,8.875058685251984,9849.6,33.26726786363905,2.7,1.636391694484477,32.8,5.266244708835067,9880.8,23.77113095051783,1.6,0.8432740427115678,5
189.4,76.21490084695454,9291.4,212.72266765282288,9.0,4.944132324730441,90.3,51.95093839383462,9647.2,188.11450413688644,6.6,4.168666186896929,87.4,34.63203398268398,9710.3,115.98855307505325,4.6,2.065591117977289,63.9,17.07792597347686,9793.5,52.79783244709115,4.8,2.573367875415838,51.2,8.162243700247025,9836.6,22.361673560904258,2.7,0.9486832980505138,6
292.3,103.29359450937248,8986.3,297.26495850596916,19.1,7.964504588066563,140.9,77.23621775652491,9478.3,267.9154302719009,10.0,5.2493385826745405,125.2,50.02177303712632,9616.5,151.54702240558868,8.6,2.3664319132398464,91.1,24.066805170423248,9733.1,58.506314948806065,6.4,3.272783388968954,72.0,11.244751862288666,9800.2,26.40622822155578,5.4,1.1737877907772671,7
439.7,142.0008215938673,8542.1,401.62294367838206,33.5,12.756262078768303,211.7,106.34958078588431,9284.5,305.5785950909811,17.1,9.65459015759401,170.0,68.15505198524252,9478.6,194.07684617754435,16.2,4.211096452627668,122.6,31.67613893418479,9663.5,65.51717332119877,12.2,4.237399621885522,94.8,16.59183199314919,9760.1,30.450141397226897,9.4,1.429840705968481,8
629.5,181.50252523495828,8059.8,461.6645727991025,57.7,19.96135154631458,308.4,145.29066651983456,9037.6,344.2441639947501,28.3,15.485118304000421,232.3,88.29753991791365,9323.9,218.92791812222882,27.6,7.026932316294058,157.4,38.750483867946734,9580.5,85.21508734438468,19.3,5.618422079789544,119.3,23.475992465116832,9706.6,50.634200124246284,14.0,2.9814239699997196,9
