time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
1.0,9.6,0.6992058987801009,9990.0,0.0,0.4,0.6992058987801011,0.0,0.0,10.0,0.0,1
2.0,5.2,1.7511900715418263,9971.2,6.908931417616862,0.6,0.6992058987801011,0.0,0.0,5.8,1.9888578520235063,2
3.0,8.5,2.6352313834736494,9962.5,12.267844146385297,1.0,0.6666666666666666,0.0,0.0,9.5,2.798809270624444,3
4.0,12.8,3.2930904093942583,9952.4,14.515891674682306,1.7,1.0593499054713802,0.0,0.0,14.5,3.6590830666833583,4
5.0,19.7,6.8321137122985425,9936.8,15.824032355881988,2.2,1.2292725943057183,0.0,0.0,21.9,6.539622822966678,5
6.0,27.4,9.559172442098625,9923.4,18.922062372913913,3.0,1.3333333333333333,0.0,0.0,30.4,9.856751775080651,6
7.0,35.5,12.782366325876007,9910.8,23.2417249312046,4.3,1.6363916944844772,0.0,0.0,39.8,13.331666562486978,7
8.0,43.9,14.54838669940951,9892.8,29.17304692120222,6.7,2.057506581601462,0.0,0.0,50.6,15.500537625084705,8
9.0,53.6,19.511819779587732,9872.7,36.19714537547586,9.2,2.394437999475729,0.0,0.0,62.8,20.07098513886263,9
10.0,64.8,22.03431666993808,9849.4,41.0316950661315,12.0,2.494438257849294,0.1,0.31622776601683794,76.9,23.510990337854057,10
11.0,75.4,25.855152076305583,9823.8,47.76749243296464,16.5,3.5039660069381067,0.1,0.31622776601683794,92.0,28.534579412043595,11
12.0,86.0,28.58126814696802,9796.9,53.51936305882407,22.3,5.034326612809745,0.1,0.31622776601683794,108.4,32.91132868110243,12
13.0,100.6,33.44381690072006,9767.8,61.43252848089159,29.6,5.815687596683837,0.1,0.31622776601683794,130.3,38.629436099085545,13
14.0,115.5,36.277480005584124,9735.4,70.06536630572593,36.7,8.192815280611557,0.1,0.31622776601683794,152.3,43.050487156877146,14
15.0,131.3,38.183911679018834,9701.2,81.08952528601405,46.2,11.043348928452616,0.2,0.6324555320336759,177.7,47.56994849692398,15
16.0,146.0,41.1150148296756,9661.3,88.51873624643918,57.8,13.838753958037953,0.3,0.6749485577105528,204.1,52.50915264133589,16
17.0,164.2,42.99043821337226,9612.5,102.04492474722429,69.6,19.5630036321397,0.4,0.9660917830792959,234.2,60.43141199372687,17
18.0,181.0,48.85124813599387,9567.0,113.49400375741834,85.9,22.372850610604907,0.4,0.9660917830792959,267.3,68.62628262310778,18
19.0,203.0,55.82711408148075,9516.8,125.32783675890471,100.1,26.589262661625064,0.6,0.9660917830792959,303.7,79.08652083495504,19
20.0,223.5,63.53520458944177,9465.3,142.44457011608253,117.4,30.790330372447198,0.7,0.9486832980505138,341.6,90.82119184908822,20
21.0,246.5,72.86250369321964,9405.6,159.82295760552606,137.2,35.38612408526509,0.8,0.9189365834726815,384.5,103.40347082075039,21
22.0,271.9,77.60648598323897,9335.8,180.85156590112481,158.1,41.420472662145656,0.8,0.9189365834726815,430.8,112.37813152230484,22
23.0,298.2,91.71429065915034,9279.3,194.17177389563545,182.3,43.59421470281986,1.1,0.9944289260117533,481.6,128.10689980550532,23
24.0,323.4,99.73097145153389,9207.5,208.15659169641174,207.0,50.07993610219566,1.2,1.0327955589886444,531.6,142.35573594188455,24
25.0,348.2,104.50497064201726,9127.8,225.13393544485666,237.8,58.343427698032585,1.3,1.2516655570345725,587.3,157.11216799895968,25
26.0,383.4,113.65659779450651,9036.0,254.3593258889217,268.0,65.98147888275585,1.5,1.4337208778404378,652.9,173.28297345350722,26
27.0,424.3,121.24635160604949,8947.1,272.22966202985464,300.0,74.51919961399956,1.6,1.429840705968481,725.9,190.27666990756148,27
28.0,457.0,126.70701111882747,8855.2,294.9786432947307,339.2,87.7025275196407,1.8,1.3165611772087666,798.0,209.12834974404274,28
29.0,494.8,132.25127598628302,8757.4,317.4814780249218,379.4,99.26865903530009,2.2,1.6193277068654826,876.4,226.9832103433595,29
30.0,527.6,135.33513956101717,8655.0,343.1287416310871,423.9,111.34176614769899,2.5,2.0138409955990952,954.0,243.20773014030618,30
31.0,561.6,148.6458879350519,8547.9,372.35181989319966,473.6,122.16400633756427,3.3,2.263232692902394,1038.5,266.9998959633588,31
32.0,601.3,165.29102281195497,8432.3,396.4358011638763,523.0,132.686765646683,3.8,2.250925735484551,1128.1,292.6227947375255,32
33.0,639.7,166.71002769279758,8322.0,413.3287634155971,577.8,146.1382906701731,4.1,2.378141197564929,1221.6,309.0279383270494,33
34.0,680.6,175.53486516612276,8208.8,431.93204197985693,639.2,160.3383921585844,5.1,2.5144029554194813,1324.9,332.1845036187637,34
35.0,721.4,179.09600156837053,8082.6,448.8828602455458,701.1,176.40449099851296,5.8,2.6583202716502514,1428.3,352.42148061660487,35
36.0,762.2,181.99133068485554,7957.2,463.2524629664093,764.9,196.97853803002104,6.1,2.8460498941515415,1533.2,374.2568339760515,36
37.0,801.7,177.82703831407517,7823.3,481.2024406514257,835.3,217.0601811070428,6.6,3.0983866769659336,1643.6,389.7737805445615,37
38.0,840.2,178.83685923830754,7688.3,493.21959274411097,910.9,237.0909108337981,7.1,3.178049716414141,1758.2,409.7104126358302,38
39.0,887.4,184.31506841396458,7560.3,501.363485352139,985.0,252.81701771131713,8.1,3.7252889522529364,1880.5,428.8193740440788,39
40.0,919.6,183.90831048831552,7434.1,502.6183553264953,1070.9,272.49972477050324,8.7,3.831158803518562,1999.2,448.1579086785272,40
41.0,965.4,180.30418741670974,7314.7,488.7378415651665,1151.5,288.7314207586929,9.9,4.433458644845529,2126.8,460.25591914837025,41
42.0,994.7,173.98278969803624,7193.7,493.4238768262255,1245.5,299.3779662344353,10.8,4.366539438350085,2251.0,463.25395003412785,42
