time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
1.0,9.6,0.6992058987801009,9990.0,0.0,0.4,0.6992058987801011,0.0,0.0,10.0,0.0,1
2.0,10.2,3.32665998663324,9901.6,63.72022180333859,0.7,0.8232726023485646,0.0,0.0,10.9,3.5103022978402043,2
3.0,24.1,13.723054405715304,9876.1,71.4243189210323,1.5,1.1785113019775793,0.0,0.0,25.6,13.688600285557973,3
4.0,44.5,27.793884219374593,9811.2,135.27650695273488,2.6,1.505545305418162,0.0,0.0,47.1,27.866547049185055,4
5.0,75.2,49.71876462217817,9679.1,207.56067386027954,4.9,2.1317702607092643,0.0,0.0,80.1,50.8252999116691,5
6.0,121.4,79.99194403882876,9574.9,256.05444299558206,8.7,3.743141876967945,0.0,0.0,130.1,83.04543602416959,6
7.0,180.0,109.53335362142234,9400.4,345.398063431488,14.7,7.30372811955952,0.0,0.0,194.7,116.34340930576553,7
8.0,260.8,157.93514843476453,9142.3,518.4031142739103,24.8,13.464356237447406,0.0,0.0,285.6,170.25418904945892,8
9.0,370.1,218.79744564830327,8877.9,645.8850000838643,37.7,22.246348014898985,0.0,0.0,407.8,239.93925157098505,9
10.0,508.9,291.62778788494535,8489.1,867.7519422815101,57.8,36.553765575898986,0.1,0.31622776601683794,566.8,327.02116819014094,10
11.0,682.7,388.82931130938846,8034.1,1126.4412447073207,86.5,52.68617782049988,0.3,0.4830458915396479,769.5,439.9061137207448,11
12.0,899.6,509.0830973426637,7529.4,1345.6996693170436,126.7,74.54610802867056,0.4,0.5163977794943222,1026.7,580.9842319527938,12
13.0,1159.5,640.8317945365139,6926.5,1592.6289412303308,185.9,107.51893890018735,0.4,0.5163977794943222,1345.8,745.3161596113275,13
14.0,1459.9,772.1645550010697,6264.1,1809.377145748104,261.6,151.81582409104936,0.7,0.6749485577105528,1722.2,921.4555876438104,14
15.0,1801.8,921.4540200743122,5536.9,2027.9236480257885,357.3,197.97814132990652,1.5,1.90029237516523,2160.6,1115.4091625946057,15
16.0,2170.7,1047.2986467839798,4778.3,2157.1537857917215,478.2,262.7427131878891,1.8,2.043961295567452,2650.7,1305.1723640960224,16
17.0,2566.4,1144.210858578474,4059.5,2162.031208018155,630.7,342.4347626434365,2.9,3.1073389830457114,3200.0,1480.0311558282217,17
18.0,2964.5,1183.7026888351465,3402.9,2111.6202546859604,815.7,437.0766650269848,4.2,3.4896672875473067,3784.4,1610.4498474373895,18
19.0,3325.8,1175.624354214484,2818.2,1978.54608797021,1047.3,544.5881318329783,6.1,4.508017549014447,4379.2,1703.8078138882527,19
20.0,3633.8,1111.8887634211537,2334.3,1793.0964558550663,1316.2,665.2663292914267,8.0,5.57773351022717,4958.0,1754.6647036463182,20
21.0,3902.9,1022.3992968611736,1920.0,1613.0052007906788,1608.3,770.1063490771186,9.8,5.902918298980975,5521.0,1764.3229737084862,21
22.0,4115.9,890.6816927375221,1587.9,1377.5384205168289,1949.5,876.2732006755782,11.7,6.481597882552659,6077.1,1730.4114122241438,22
23.0,4241.3,714.6103911300977,1278.4,1134.991943192158,2325.3,986.1648554994355,15.2,8.283853102404837,6581.8,1652.976224874393,23
24.0,4297.2,539.3662536306434,1038.9,924.616731408209,2721.3,1081.356457829188,18.9,9.32678341599551,7037.4,1551.5635268263359,24
25.0,4295.9,356.15584915720376,822.5,682.3272675190403,3131.2,1162.5607558794986,23.6,10.966616007988366,7450.7,1414.6087052216556,25
26.0,4232.0,252.9835304257308,681.3,539.4721803145491,3573.0,1238.0315020224648,28.1,12.314851016376753,7833.1,1266.2862104068995,26
27.0,4111.7,285.6532668969303,567.4,441.8776100032929,4016.5,1278.6382730597943,32.3,15.70597904550295,8160.5,1109.964589024753,27
28.0,3943.0,397.9628681729546,479.8,357.28880319552263,4459.9,1302.5199038786316,37.8,16.55160280926157,8440.7,971.8878593290026,28
29.0,3750.4,531.2244137629386,413.4,298.83447666633856,4892.0,1311.2525818214176,43.3,17.12081254561892,8685.7,832.7606098593601,29
30.0,3528.4,619.2140538169692,366.0,262.94443857548646,5312.9,1295.0591964162186,48.6,17.871143717674528,8889.9,723.7791943833577,30
31.0,3286.9,689.9796212771633,325.1,227.41564980840207,5719.4,1261.2717743963387,54.9,19.72843407650772,9061.2,615.3128924015452,31
32.0,3030.5,713.6020132632287,298.8,209.83316123900806,6111.0,1203.103302113146,61.0,18.90326250501043,9202.5,533.2902586772047,32
33.0,2784.1,730.0309658576896,280.3,197.19423588600827,6469.3,1143.7994239473205,67.9,19.78467420336593,9321.3,457.6051306044935,33
34.0,2547.1,719.0050919306638,264.9,190.82595327796594,6801.3,1072.1133905619415,73.6,18.08129788851822,9422.0,393.89507909255906,34
35.0,2308.6,710.2386453392503,251.8,183.70374701313708,7111.2,1000.010644387793,80.7,17.442285782928032,9500.5,335.31784258454775,35
36.0,2079.4,667.131038269261,242.0,176.48670078948032,7397.2,914.622423614126,85.3,16.813024052138207,9561.9,295.5576461914363,36
37.0,1871.6,621.5775986239458,230.9,170.60640212033206,7647.5,834.7755852789286,90.7,16.606892812591067,9609.8,265.12294841785723,37
38.0,1675.3,575.673914256635,223.6,167.86912892025273,7880.2,758.4352019490891,95.8,17.203358845166125,9651.3,237.76087426936613,38
39.0,1496.1,530.166734779415,217.6,165.95862938294792,8087.2,688.0645641540077,101.0,16.206994374857626,9684.3,217.88327660061987,39
40.0,1332.7,485.71346148389443,210.6,163.80489749834845,8272.6,622.5258941513107,105.2,15.33912933933634,9710.5,200.75537906173827,40
41.0,1180.3,437.49312375548635,206.5,161.0529588537744,8441.7,560.84758278084,108.8,15.230087181482434,9730.8,189.219331875883,41
