time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
1.0,9.6,0.6992058987801009,9990.0,0.0,0.4,0.6992058987801011,0.0,0.0,10.0,0.0,1
2.0,10.2,3.32665998663324,9901.6,63.72022180333859,0.7,0.8232726023485646,0.0,0.0,10.9,3.5103022978402043,2
3.0,24.1,13.723054405715304,9876.1,71.4243189210323,1.5,1.1785113019775793,0.0,0.0,25.6,13.688600285557973,3
4.0,44.5,27.793884219374593,9811.2,135.27650695273488,2.6,1.505545305418162,0.0,0.0,47.1,27.866547049185055,4
5.0,75.2,49.71876462217817,9679.1,207.56067386027954,4.9,2.1317702607092643,0.0,0.0,80.1,50.8252999116691,5
6.0,120.2,80.181460866379,9574.8,279.40365065617874,9.2,4.541169697580374,0.0,0.0,129.4,84.16148498901119,6
7.0,181.2,112.79361684067057,9403.1,375.9850617599942,14.6,8.0718991294215,0.0,0.0,195.8,120.43974980600605,7
8.0,261.3,164.1436024407355,9154.7,533.9086584384595,24.7,13.888844444373332,0.0,0.0,286.0,177.49804380768694,8
9.0,376.7,236.6352326542549,8827.4,758.107175067542,38.5,22.814469093099667,0.0,0.0,415.2,258.79155060910836,9
10.0,520.5,325.9400933368653,8454.5,1002.0826368673949,59.3,36.502815720921525,0.0,0.0,579.8,361.9342481722336,10
11.0,698.5,439.5584274145032,7965.5,1307.0577008431317,89.6,54.58978333392105,0.2,0.42163702135578396,788.3,492.9298011774992,11
12.0,919.7,583.9726116104343,7429.7,1534.8773421858687,129.3,80.04311338272643,0.3,0.48304589153964794,1049.3,661.6481189675774,12
13.0,1189.5,742.1289570478226,6762.3,1793.653010540841,189.2,116.47107413908017,1.0,0.9428090415820634,1379.7,856.5486364863741,13
14.0,1512.0,877.8526831612087,6043.8,2023.2944422401797,265.4,163.67257287374423,1.6,1.1737877907772674,1779.0,1039.9370707456826,14
15.0,1880.7,1025.9859269123638,5204.7,2200.406379133939,363.9,217.5808661930854,1.8,1.3984117975602022,2246.4,1241.040441636685,15
16.0,2293.8,1142.9902109039351,4413.3,2283.3876903505557,494.0,295.38524750644615,2.5,1.8408935028645435,2790.3,1434.8822677217186,16
17.0,2717.4,1212.6741982540532,3719.9,2317.856646415678,655.3,390.03591002766797,3.7,3.0203016773531455,3376.4,1596.739051943053,17
18.0,3141.9,1238.660786674239,3010.3,2217.5852758249357,855.0,497.34338685102114,5.0,3.5901098714230026,4001.9,1723.5622317359669,18
19.0,3538.3,1244.272482662504,2411.6,2069.9717228342356,1095.4,601.3320768649106,6.6,4.718756898449704,4640.3,1821.8635788664308,19
20.0,3900.8,1176.9129864938095,1953.4,1885.3450730421857,1374.4,717.0005733764948,8.7,5.518655230720213,5283.9,1858.8501493605604,20
21.0,4170.8,1080.5506620854635,1553.2,1644.5784870294272,1693.4,832.2262245861332,11.5,8.84747295999133,5875.7,1861.3138161584204,21
22.0,4368.3,924.30154411017,1209.6,1381.8152473387236,2051.5,949.6428860951421,14.1,10.13738953906116,6433.9,1799.6517224791642,22
23.0,4473.0,764.9589676722682,933.7,1141.8571665882248,2455.0,1058.2115940480796,18.0,12.675435561221029,6946.0,1716.9185575714805,23
24.0,4500.2,605.9559573287668,742.2,914.8745876409025,2881.4,1156.8575442887416,21.5,14.401003051485299,7403.1,1599.850996534087,24
25.0,4455.7,465.39351330054257,574.4,712.0239072141078,3328.5,1252.7346309396717,26.0,17.84501175243223,7810.2,1458.9977381750803,25
26.0,4325.9,413.65510324960877,445.5,529.3696985829258,3802.4,1323.9471456385425,31.4,22.02624696936715,8159.7,1309.4407669773468,26
27.0,4165.0,455.5533875287164,351.7,395.1975736542701,4270.4,1359.0500931001607,36.3,22.89128897880395,8471.7,1149.227281456738,27
28.0,3972.0,528.9389798875145,285.9,290.4599609049221,4726.9,1375.979848851154,42.3,21.949689949721133,8741.2,991.9643586787223,28
29.0,3745.3,628.9137107390453,237.4,225.63057318447684,5173.8,1373.9410305961298,48.4,23.257973543138558,8967.5,847.2928458724684,29
30.0,3486.0,691.1256518656116,204.5,188.03324174198562,5605.1,1340.9963501483182,55.5,25.42636427018224,9146.6,724.2627209023594,30
31.0,3230.4,760.7999006893264,178.6,158.8047018615423,6010.0,1309.0645515023314,61.8,27.095715118405302,9302.2,606.7836517244018,31
32.0,2958.0,797.1003003944289,160.3,143.47903447310108,6405.0,1245.6995357361795,67.4,26.462552157089206,9430.4,498.0013833091006,32
33.0,2699.7,811.1151514359036,146.6,129.94887883745326,6758.8,1181.2453691855144,75.0,27.337398071750233,9533.5,417.34112080061215,33
34.0,2445.4,797.2332991874671,135.1,121.09633447062805,7083.2,1109.3682686806737,81.5,26.504716561397142,9610.1,355.9033732786346,34
35.0,2201.6,773.7091328284953,127.4,113.92804746856676,7390.0,1026.9353544514,86.2,25.284162807751592,9677.8,294.6914770852165,35
36.0,1975.7,742.9487869294895,120.1,108.0786236444973,7664.1,946.6076800871626,91.6,26.924586038290975,9731.4,249.30623738687328,36
37.0,1767.5,687.4353706995945,114.1,103.1637856355934,7906.8,856.0049065279942,97.0,26.00427315312278,9771.3,213.6570720674709,37
38.0,1581.1,645.4539229617144,109.5,99.55930672496447,8120.0,781.2084655625965,101.7,25.447331228768697,9802.8,181.49429130905958,38
39.0,1403.0,590.5289530958194,106.8,98.08363777919332,8318.0,697.467163703385,107.7,24.71189547116485,9828.7,154.38339720751495,39
40.0,1236.4,539.3026773322915,104.9,96.41167518050452,8497.2,626.321145881071,112.5,24.21776207662467,9846.1,135.35997274756753,40
41.0,1090.0,487.2234258188605,102.2,92.48759676602887,8655.1,558.9246520477216,115.9,24.01596691092546,9861.0,123.45039489608772,41
