time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
1.0,9.6,0.6992058987801009,9990.0,0.0,0.4,0.6992058987801011,0.0,0.0,10.0,0.0,1
2.0,10.2,3.32665998663324,9901.6,63.72022180333859,0.7,0.8232726023485646,0.0,0.0,10.9,3.5103022978402043,2
3.0,24.1,13.723054405715304,9876.1,71.4243189210323,1.5,1.1785113019775793,0.0,0.0,25.6,13.688600285557973,3
4.0,44.5,27.793884219374593,9811.2,135.27650695273488,2.6,1.505545305418162,0.0,0.0,47.1,27.866547049185055,4
5.0,75.2,49.71876462217817,9679.1,207.56067386027954,4.9,2.1317702607092643,0.0,0.0,80.1,50.8252999116691,5
6.0,123.5,80.66150121202665,9517.5,303.34404742983025,8.7,4.2176876234364356,0.0,0.0,132.2,84.35612340284227,6
7.0,194.8,119.0180191773031,9284.5,422.7053741476838,14.4,8.275801404630787,0.0,0.0,209.2,126.58751913202185,7
8.0,299.3,177.35654609978297,8902.6,616.6602161824793,25.6,14.668181739927943,0.0,0.0,324.9,191.20695594041553,8
9.0,456.0,263.09736262878465,8394.7,898.4471851168795,41.0,24.855135843076333,0.0,0.0,497.0,287.0063878499339,9
10.0,677.6,383.4704682240863,7623.0,1285.0105057936296,63.5,36.96920640509101,0.0,0.0,741.1,419.390682352916,10
11.0,991.1,546.091455507022,6634.0,1704.8024975215035,102.9,60.121081530894344,0.1,0.31622776601683794,1094.1,604.8523143894072,11
12.0,1426.5,747.3094331593097,5483.6,2065.8819047671736,157.0,88.81191111306836,0.3,0.6749485577105528,1583.8,833.6489802202257,12
13.0,1979.2,970.3073739800188,4261.0,2263.4391727830657,235.3,127.58356738493663,0.6,0.699205898780101,2215.1,1096.2772814291911,13
14.0,2605.5,1146.516390346572,3181.6,2250.2086915563086,346.0,189.52161999213823,1.1,1.4491376746189437,2952.6,1331.832338463734,14
15.0,3252.1,1225.253393293721,2245.5,1948.032069665293,509.8,266.1026535422415,1.5,1.509230856356236,3763.4,1485.2114103161655,15
16.0,3888.5,1218.6247485496829,1520.1,1564.0060706048712,716.7,355.1732128287705,2.8,2.5298221281347035,4608.0,1565.4473978883977,16
17.0,4432.1,1103.5829979359658,989.4,1131.2729506573066,977.1,459.57358254993045,4.3,3.368151487751767,5413.5,1551.1663174671,17
18.0,4883.9,905.2412140173224,616.5,733.8375917811182,1302.2,571.4309134872639,5.7,3.9171985454460234,6191.8,1459.9136047497238,18
19.0,5170.0,640.2976738292207,369.9,429.77938785174683,1696.5,696.1658885958465,7.9,5.466056876558986,6874.4,1308.5977397368697,19
20.0,5306.7,378.0385194953316,228.2,252.09645420398562,2145.2,812.1469215740599,12.0,8.286535263104035,7463.9,1140.5907290133086,20
21.0,5302.3,189.8385571420563,139.9,142.75577435295256,2648.6,898.9298823230504,16.8,8.052604823561408,7967.7,948.0733738599678,21
22.0,5203.2,254.4291213241475,92.1,90.92053917814417,3167.7,961.9883401926796,21.6,9.167575712501339,8392.5,772.9758153468393,22
23.0,4994.0,406.3755788812993,66.7,62.339660997901916,3713.7,995.3206127787278,27.3,11.585910984179591,8735.0,626.4833065081091,23
24.0,4707.5,534.9230993537503,50.6,46.06324155139565,4260.9,1013.247194803804,33.4,12.86856635371633,9001.8,506.81725832230035,24
25.0,4383.0,598.6659242757089,40.8,37.723555859259434,4789.5,991.3702358072106,39.1,13.059266612043896,9211.6,413.45406838809396,25
26.0,4025.8,628.3342705563301,33.6,29.99333259242794,5309.6,943.097638399946,46.7,13.199747472331936,9382.1,332.4469715441681,26
27.0,3655.7,641.2271308462653,28.3,25.421119828468086,5809.5,892.6007257198235,52.8,14.006347767272443,9518.0,268.1405104293891,27
28.0,3312.8,644.6969658512267,24.0,21.602468994692867,6260.0,847.6205912238486,59.0,14.422205101855956,9631.8,218.7478507830928,28
29.0,2979.5,616.0781425905141,21.7,18.577465441287252,6679.8,775.560843662328,67.9,16.360182014744076,9727.2,176.8136495485195,29
30.0,2677.8,577.5653498378632,19.6,17.658488673219523,7047.4,704.4743036083321,74.8,16.109348562592814,9800.0,144.74345120476667,30
31.0,2389.2,539.661581199016,18.8,16.83778818940039,7383.3,638.4091425828216,81.5,14.315880847661608,9854.0,114.22200605254079,31
32.0,2123.7,498.96983876783577,17.8,16.518003645853952,7684.0,570.6357078829813,90.0,12.780193008453876,9897.7,86.06205771289562,32
33.0,1882.2,459.94535907358966,16.3,15.224614572753193,7950.0,511.36549225252446,95.0,12.147244772192398,9927.2,65.48417959918089,33
34.0,1654.6,421.3581743731942,15.0,14.212670403551895,8194.2,452.7927659414281,100.5,11.834506984051155,9949.3,44.9766606141452,34
35.0,1458.8,379.5982671778738,14.2,14.101221381300432,8397.5,399.4538632794642,106.5,11.423659658795863,9962.8,32.69998301052906,35
36.0,1279.1,326.2120816619492,13.8,13.862819979274699,8581.5,340.20786129789667,111.1,9.397990328906612,9971.7,25.53885928018973,36
37.0,1122.8,290.4780733740692,13.4,13.961852790132596,8738.1,298.9509249953168,116.1,8.900062421753631,9977.0,20.016659728003237,37
38.0,981.8,263.1673738643654,13.1,13.51090094865788,8877.4,268.9416293547728,121.1,8.292566952799758,9980.3,17.975600747185677,38
39.0,862.9,232.71081243084134,12.9,13.30371710796982,8994.7,237.27014608294536,124.7,7.986794656737388,9982.3,16.68032773459003,39
40.0,754.1,207.31588886956484,12.7,13.004700005083633,9101.9,211.43449208784372,127.5,7.891627067834476,9983.5,16.029486718059456,40
41.0,659.4,188.98571374577497,12.7,13.004700005083633,9195.6,193.0740790473957,130.0,7.438637868140466,9985.0,14.429907214608908,41
42.0,568.4,168.17728740825856,12.6,13.023056476879765,9285.2,172.41732318225257,132.3,7.717944458640958,9985.9,14.10634215127681,42
