cell,microcell,location_x,location_y,household_number,place_number,Susceptible
0,0,0,0,13,13,69
0,1,0,0,13,13,69
0,2,0,0,13,13,69
0,3,0,0,13,13,69
0,4,0,0,13,13,69
0,5,0,0,13,13,69
0,6,0,0,13,13,69
0,7,0,0,13,13,69
0,8,0,0,13,13,69
1,0,0,1,13,13,69
1,1,0,1,13,13,69
1,2,0,1,13,13,69
1,3,0,1,13,13,69
1,4,0,1,13,13,69
1,5,0,1,13,13,69
1,6,0,1,13,13,69
1,7,0,1,13,13,69
1,8,0,1,13,13,69
2,0,0,2,13,13,69
2,1,0,2,13,13,69
2,2,0,2,13,13,69
2,3,0,2,13,13,69
2,4,0,2,13,13,69
2,5,0,2,13,13,69
2,6,0,2,13,13,69
2,7,0,2,13,13,69
2,8,0,2,13,13,69
3,0,0,3,13,13,69
3,1,0,3,13,13,69
3,2,0,3,13,13,69
3,3,0,3,13,13,69
3,4,0,3,13,13,69
3,5,0,3,13,13,69
3,6,0,3,13,13,69
3,7,0,3,13,13,69
3,8,0,3,13,13,69
4,0,1,0,13,13,69
4,1,1,0,13,13,69
4,2,1,0,13,13,69
4,3,1,0,13,13,69
4,4,1,0,13,13,69
4,5,1,0,13,13,69
4,6,1,0,13,13,69
4,7,1,0,13,13,69
4,8,1,0,13,13,69
5,0,1,1,13,13,69
5,1,1,1,13,13,69
5,2,1,1,13,13,69
5,3,1,1,13,13,69
5,4,1,1,13,13,69
5,5,1,1,13,13,69
5,6,1,1,13,13,69
5,7,1,1,13,13,69
5,8,1,1,13,13,69
6,0,1,2,13,13,69
6,1,1,2,13,13,69
6,2,1,2,13,13,69
6,3,1,2,13,13,69
6,4,1,2,13,13,69
6,5,1,2,13,13,69
6,6,1,2,13,13,69
6,7,1,2,13,13,69
6,8,1,2,13,13,69
7,0,1,3,13,13,69
7,1,1,3,13,13,69
7,2,1,3,13,13,69
7,3,1,3,13,13,69
7,4,1,3,13,13,69
7,5,1,3,13,13,69
7,6,1,3,13,13,69
7,7,1,3,13,13,69
7,8,1,3,13,13,69
8,0,2,0,13,13,69
8,1,2,0,13,13,69
8,2,2,0,13,13,69
8,3,2,0,13,13,69
8,4,2,0,13,13,69
8,5,2,0,13,13,69
8,6,2,0,13,13,69
8,7,2,0,13,13,69
8,8,2,0,13,13,70
9,0,2,1,13,13,70
9,1,2,1,13,13,70
9,2,2,1,13,13,70
9,3,2,1,13,13,70
9,4,2,1,13,13,70
9,5,2,1,13,13,70
9,6,2,1,13,13,70
9,7,2,1,13,13,70
9,8,2,1,13,13,70
10,0,2,2,13,13,70
10,1,2,2,13,13,70
10,2,2,2,13,13,70
10,3,2,2,13,13,70
10,4,2,2,13,13,70
10,5,2,2,13,13,70
10,6,2,2,13,13,70
10,7,2,2,13,13,70
10,8,2,2,13,13,70
11,0,2,3,13,13,70
11,1,2,3,13,13,70
11,2,2,3,13,13,70
11,3,2,3,13,13,70
11,4,2,3,13,13,70
11,5,2,3,13,13,70
11,6,2,3,13,13,70
11,7,2,3,13,13,70
11,8,2,3,13,13,70
12,0,3,0,13,13,70
12,1,3,0,13,13,70
12,2,3,0,13,13,70
12,3,3,0,13,13,70
12,4,3,0,13,13,70
12,5,3,0,13,13,70
12,6,3,0,13,13,70
12,7,3,0,13,13,70
12,8,3,0,13,13,70
13,0,3,1,13,13,70
13,1,3,1,13,13,70
13,2,3,1,13,13,70
13,3,3,1,13,13,70
13,4,3,1,13,13,70
13,5,3,1,13,13,70
13,6,3,1,13,13,70
13,7,3,1,13,13,70
13,8,3,1,13,13,70
14,0,3,2,13,13,70
14,1,3,2,13,13,70
14,2,3,2,13,13,70
14,3,3,2,13,13,70
14,4,3,2,13,13,70
14,5,3,2,13,13,70
14,6,3,2,13,13,70
14,7,3,2,13,13,70
14,8,3,2,13,13,70
15,0,3,3,13,13,70
15,1,3,3,13,13,70
15,2,3,3,13,13,70
15,3,3,3,13,13,70
15,4,3,3,13,13,70
15,5,3,3,13,13,70
15,6,3,3,13,13,70
15,7,3,3,13,13,70
15,8,3,3,13,13,70
