time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,9990,0,0,10,0,0,0,0,0,0
1.0,9990,0,0,8,0,0,0,0,2,0
2.0,5691,4064,78,98,64,1,0,0,4,0
3.0,2606,6270,381,446,279,1,0,0,17,0
4.0,1945,5719,775,922,586,1,0,0,52,0
5.0,1945,4604,1131,1390,810,8,2,0,110,0
6.0,1945,3626,1438,1701,1017,14,2,0,257,0
7.0,1945,2825,1687,1913,1109,29,4,0,488,0
8.0,1945,2252,1852,1986,1119,41,5,1,799,0
9.0,1945,1769,1975,1975,1105,55,6,1,1167,2
10.0,1945,1371,2026,1875,1061,64,9,1,1643,5
11.0,1945,1055,2040,1729,975,67,14,1,2168,6
12.0,1945,817,1999,1563,864,74,16,1,2715,6
13.0,1945,625,1956,1374,731,85,14,3,3258,9
14.0,1945,467,1884,1183,632,87,14,2,3774,12
15.0,1945,364,1789,992,534,91,13,4,4256,12
16.0,1945,295,1678,817,442,88,14,5,4701,15
17.0,1945,233,1552,666,368,87,12,4,5111,22
18.0,1945,158,1440,535,312,80,12,3,5485,30
19.0,1945,90,1326,436,251,66,13,2,5837,34
20.0,1945,29,1234,374,214,57,12,3,6096,36
21.0,1945,2,1138,293,173,55,12,1,6343,38
22.0,1945,0,1053,236,132,48,13,0,6534,39
23.0,1945,0,946,180,102,43,11,1,6732,40
24.0,1945,0,850,129,76,38,8,2,6910,42
25.0,1945,0,772,97,52,30,8,1,7051,44
26.0,1945,0,711,72,41,27,9,0,7151,44
27.0,1945,0,645,53,35,26,8,0,7242,46
28.0,1945,0,583,37,26,22,6,1,7332,48
29.0,1945,0,523,24,21,16,4,2,7414,51
30.0,1945,0,472,15,14,13,4,2,7482,53
31.0,1945,0,401,13,9,13,3,2,7560,54
32.0,1945,0,346,9,3,13,2,1,7627,54
33.0,1945,0,296,7,0,10,2,0,7686,54
34.0,1945,0,260,5,0,9,2,0,7725,54
35.0,1945,0,212,4,0,6,2,0,7777,54
36.0,1945,0,181,1,0,4,1,0,7813,55
37.0,1945,0,151,0,0,4,1,0,7844,55
38.0,1945,0,119,0,0,4,1,0,7876,55
39.0,1945,0,98,0,0,4,1,0,7897,55
40.0,1945,0,71,0,0,3,0,0,7924,57
41.0,1945,0,57,0,0,2,0,0,7939,57
42.0,1945,0,43,0,0,1,0,0,7954,57
43.0,1945,0,33,0,0,1,0,0,7964,57
44.0,1945,0,26,0,0,1,0,0,7971,57
45.0,1945,0,22,0,0,1,0,0,7975,57
46.0,1945,0,14,0,0,1,0,0,7983,57
47.0,1945,0,9,0,0,1,0,0,7988,57
48.0,1945,0,4,0,0,0,0,0,7994,57
49.0,1945,0,4,0,0,0,0,0,7994,57
50.0,1945,0,3,0,0,0,0,0,7995,57
51.0,1945,0,2,0,0,0,0,0,7996,57
52.0,1945,0,1,0,0,0,0,0,7997,57
53.0,1945,0,1,0,0,0,0,0,7997,57
54.0,1945,0,0,0,0,0,0,0,7998,57
55.0,1945,0,0,0,0,0,0,0,7998,57
56.0,1945,0,0,0,0,0,0,0,7998,57
57.0,1945,0,0,0,0,0,0,0,7998,57
58.0,1945,0,0,0,0,0,0,0,7998,57
59.0,1945,0,0,0,0,0,0,0,7998,57
60.0,1945,0,0,0,0,0,0,0,7998,57
