time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,5,0,0,0,0,0,0,0,0,0
0,2,13,0,0,2,0,0,0,0,0,0
0,3,20,0,0,2,0,0,0,0,0,0
0,4,25,0,0,3,0,0,0,0,0,0
0,5,29,0,0,3,0,0,0,0,0,0
0,6,33,0,0,3,0,0,0,0,0,0
0,7,36,0,0,3,0,0,0,0,0,0
0,8,45,0,0,4,0,0,0,0,0,0
0,9,50,0,0,7,0,0,0,0,0,0
0,10,58,0,0,8,0,0,0,0,0,0
0,11,60,0,0,8,0,0,0,0,0,0
0,12,71,0,0,8,0,0,0,0,0,0
0,13,78,0,0,9,0,0,0,0,0,0
0,14,80,0,0,9,0,0,0,0,0,0
0,15,82,0,0,9,0,0,0,0,0,0
0,16,84,0,0,9,0,0,0,0,0,0
0,17,90,0,0,10,0,0,0,0,0,0
1.0,1,5,0,0,0,0,0,0,0,0,0
1.0,2,13,0,0,2,0,0,0,0,0,0
1.0,3,20,0,0,2,0,0,0,0,0,0
1.0,4,25,0,0,3,0,0,0,0,0,0
1.0,5,29,0,0,3,0,0,0,0,0,0
1.0,6,33,0,0,3,0,0,0,0,0,0
1.0,7,36,0,0,3,0,0,0,0,0,0
1.0,8,45,0,0,4,0,0,0,0,0,0
1.0,9,50,0,0,7,0,0,0,0,0,0
1.0,10,58,0,0,8,0,0,0,0,0,0
1.0,11,60,0,0,8,0,0,0,0,0,0
1.0,12,71,0,0,8,0,0,0,0,0,0
1.0,13,78,0,0,9,0,0,0,0,0,0
1.0,14,80,0,0,9,0,0,0,0,0,0
1.0,15,82,0,0,9,0,0,0,0,0,0
1.0,16,84,0,0,9,0,0,0,0,0,0
1.0,17,90,0,0,10,0,0,0,0,0,0
2.0,1,4,1,0,0,0,0,0,0,0,0
2.0,2,11,2,0,2,0,0,0,0,0,0
2.0,3,17,3,0,2,0,0,0,0,0,0
2.0,4,22,3,0,3,0,0,0,0,0,0
2.0,5,25,4,0,3,0,0,0,0,0,0
2.0,6,29,4,0,3,0,0,0,0,0,0
2.0,7,31,5,0,3,0,0,0,0,0,0
2.0,8,31,14,0,4,0,0,0,0,0,0
2.0,9,31,19,0,7,0,0,0,0,0,0
2.0,10,34,24,0,8,0,0,0,0,0,0
2.0,11,36,24,0,8,0,0,0,0,0,0
2.0,12,38,32,1,8,0,0,0,0,0,0
2.0,13,42,35,1,9,0,0,0,0,0,0
2.0,14,42,37,1,9,0,0,0,0,0,0
2.0,15,42,39,1,9,0,0,0,0,0,0
2.0,16,43,40,1,9,0,0,0,0,0,0
2.0,17,45,44,1,10,0,0,0,0,0,0
3.0,1,4,1,0,0,0,0,0,0,0,0
3.0,2,9,3,0,1,1,0,0,0,1,0
3.0,3,13,6,0,1,1,0,0,0,1,0
3.0,4,18,6,0,2,1,0,0,0,1,0
3.0,5,21,7,0,2,1,0,0,0,1,0
3.0,6,25,7,0,2,1,0,0,0,1,0
3.0,7,27,8,0,2,1,0,0,0,1,0
3.0,8,27,14,0,5,2,0,0,0,1,0
3.0,9,27,19,0,8,2,0,0,0,1,0
3.0,10,28,26,0,9,2,0,0,0,1,0
3.0,11,28,28,0,9,2,0,0,0,1,0
3.0,12,29,36,2,9,2,0,0,0,1,0
3.0,13,32,39,2,10,3,0,0,0,1,0
3.0,14,32,41,2,10,3,0,0,0,1,0
3.0,15,32,43,2,10,3,0,0,0,1,0
3.0,16,33,43,3,10,3,0,0,0,1,0
3.0,17,35,46,3,11,4,0,0,0,1,0
4.0,1,4,1,0,0,0,0,0,0,0,0
4.0,2,9,3,0,1,1,0,0,0,1,0
4.0,3,13,5,1,1,1,0,0,0,1,0
4.0,4,18,5,1,2,1,0,0,0,1,0
4.0,5,21,6,1,2,1,0,0,0,1,0
4.0,6,25,6,1,2,1,0,0,0,1,0
4.0,7,27,7,1,2,1,0,0,0,1,0
4.0,8,27,13,1,5,2,0,0,0,1,0
4.0,9,27,17,1,7,3,0,0,0,2,0
4.0,10,28,22,2,8,3,0,0,0,3,0
4.0,11,28,24,2,8,3,0,0,0,3,0
4.0,12,28,32,4,8,4,0,0,0,3,0
4.0,13,31,35,4,9,5,0,0,0,3,0
4.0,14,31,37,4,9,5,0,0,0,3,0
4.0,15,31,38,5,9,5,0,0,0,3,0
