time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,995,0,0,5,0,0,0,0,0,0
1,987,0,0,13,0,0,0,0,0,0
2,969,0,0,29,0,0,0,0,2,0
3,947,0,0,47,0,0,0,0,6,0
4,878,0,0,111,0,0,0,0,11,0
5,833,0,0,146,0,0,0,0,21,0
6,795,0,0,171,0,0,0,0,34,0
7,768,0,0,179,0,0,0,0,53,0
8,759,0,0,162,0,0,0,0,79,0
9,754,0,0,141,0,0,0,0,105,0
10,754,0,0,114,0,0,0,0,132,0
11,754,0,0,78,0,0,0,0,168,0
12,754,0,0,50,0,0,0,0,196,0
13,754,0,0,35,0,0,0,0,211,0
14,754,0,0,22,0,0,0,0,224,0
15,754,0,0,11,0,0,0,0,235,0
16,754,0,0,5,0,0,0,0,241,0
17,754,0,0,3,0,0,0,0,243,0
18,754,0,0,0,0,0,0,0,246,0
19,754,0,0,0,0,0,0,0,246,0
20,754,0,0,0,0,0,0,0,246,0
21,754,0,0,0,0,0,0,0,246,0
22,754,0,0,0,0,0,0,0,246,0
23,754,0,0,0,0,0,0,0,246,0
24,754,0,0,0,0,0,0,0,246,0
25,754,0,0,0,0,0,0,0,246,0
26,754,0,0,0,0,0,0,0,246,0
27,754,0,0,0,0,0,0,0,246,0
28,754,0,0,0,0,0,0,0,246,0
29,754,0,0,0,0,0,0,0,246,0
30,754,0,0,0,0,0,0,0,246,0
31,754,0,0,0,0,0,0,0,246,0
32,754,0,0,0,0,0,0,0,246,0
33,754,0,0,0,0,0,0,0,246,0
34,754,0,0,0,0,0,0,0,246,0
35,754,0,0,0,0,0,0,0,246,0
36,754,0,0,0,0,0,0,0,246,0
37,754,0,0,0,0,0,0,0,246,0
38,754,0,0,0,0,0,0,0,246,0
39,754,0,0,0,0,0,0,0,246,0
40,754,0,0,0,0,0,0,0,246,0
41,754,0,0,0,0,0,0,0,246,0
42,754,0,0,0,0,0,0,0,246,0
43,754,0,0,0,0,0,0,0,246,0
44,754,0,0,0,0,0,0,0,246,0
45,754,0,0,0,0,0,0,0,246,0
46,754,0,0,0,0,0,0,0,246,0
47,754,0,0,0,0,0,0,0,246,0
48,754,0,0,0,0,0,0,0,246,0
49,754,0,0,0,0,0,0,0,246,0
50,754,0,0,0,0,0,0,0,246,0
51,754,0,0,0,0,0,0,0,246,0
52,754,0,0,0,0,0,0,0,246,0
53,754,0,0,0,0,0,0,0,246,0
54,754,0,0,0,0,0,0,0,246,0
55,754,0,0,0,0,0,0,0,246,0
56,754,0,0,0,0,0,0,0,246,0
57,754,0,0,0,0,0,0,0,246,0
58,754,0,0,0,0,0,0,0,246,0
59,754,0,0,0,0,0,0,0,246,0
