Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,2,8,8090,0,10,8090,0,10,8090,0,10,8090,1,9,8090,1,9,8090,0,10,8090,1,9,8090,0,10,1
8048,0,6,8078,2,7,8075,1,7,8053,0,8,8064,0,7,8068,1,3,8064,1,7,8056,1,5,8052,1,9,8073,2,7,2
8030,2,13,8071,2,7,8058,1,12,8051,0,12,8047,1,11,8065,2,8,8063,1,12,8048,2,7,8048,2,14,8072,2,10,3
7997,3,25,8070,2,9,8051,4,13,8040,1,19,8039,2,18,8055,3,12,8046,3,18,8044,3,10,8043,3,19,8067,4,10,4
7960,3,46,8038,2,13,8049,3,19,8013,3,25,8031,3,21,8034,3,20,7997,3,25,8042,4,21,8028,4,25,8065,5,14,5
7945,4,65,8025,4,20,8044,4,21,8002,7,35,8006,4,31,7995,4,33,7980,6,42,8021,4,29,8014,5,34,8049,7,15,6
7916,8,83,8006,6,25,8038,4,27,7989,7,45,7986,5,44,7967,4,53,7949,6,53,7972,6,41,7977,6,46,8029,6,18,7
7879,9,103,7974,8,39,8011,6,31,7943,10,65,7963,8,52,7932,5,63,7887,7,79,7948,10,61,7941,6,58,8015,6,25,8
7835,12,123,7961,7,52,7998,9,37,7906,15,75,7901,10,67,7902,12,72,7835,12,95,7915,10,72,7932,8,75,7996,9,32,9
7796,23,143,7937,10,60,7986,10,50,7899,20,94,7874,17,80,7829,16,84,7779,19,115,7848,11,96,7909,13,91,7938,10,47,10
7750,33,169,7907,14,72,7940,13,63,7885,28,103,7865,25,92,7794,21,116,7745,28,146,7832,15,121,7862,20,104,7870,13,67,11
7715,44,190,7861,19,87,7908,18,78,7865,37,110,7843,29,115,7732,29,140,7695,38,179,7762,24,143,7844,26,121,7826,15,105,12
