Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,2,8,8090,0,10,8090,0,10,8090,0,10,8090,1,9,8090,1,9,8090,0,10,8090,1,9,8090,0,10,1
8048,0,6,8084,2,8,8072,0,11,8055,0,9,8067,0,6,8073,1,6,8066,0,7,8064,1,9,8053,1,9,8081,1,9,2
8030,2,13,8079,2,7,8069,0,9,8048,0,11,8059,1,10,8068,2,13,8065,0,11,8060,3,7,8050,3,13,8079,1,12,3
8002,3,24,8073,2,12,8061,1,10,8048,2,21,8050,2,16,8062,5,13,8055,1,17,8058,4,10,8048,4,18,8076,3,8,4
7967,3,45,8050,2,15,8039,1,19,8019,2,27,8017,3,20,8027,6,22,8010,1,24,8052,4,18,8033,4,27,8044,4,11,5
7955,5,58,8040,4,17,8033,1,32,8010,3,40,8000,5,28,7998,7,30,7986,1,35,8050,4,24,7995,7,31,8033,5,18,6
7915,10,71,8028,4,28,8013,2,39,7962,4,50,7971,5,46,7970,8,40,7974,4,43,8026,2,31,7985,8,37,8026,5,28,7
7872,11,99,8013,5,31,7952,7,42,7952,9,59,7954,8,61,7954,11,53,7946,6,57,8013,5,32,7978,10,49,8018,7,32,8
7850,17,123,7986,6,44,7930,9,55,7906,14,75,7935,12,68,7908,16,67,7917,10,68,7984,9,37,7956,11,53,7965,5,41,9
7827,29,143,7943,10,51,7880,12,72,7891,20,91,7919,16,83,7879,18,87,7877,15,84,7970,11,50,7903,17,69,7940,8,54,10
7779,41,160,7883,13,75,7851,14,103,7864,27,101,7897,22,95,7789,24,112,7820,26,103,7940,12,62,7879,18,89,7934,12,65,11
7745,54,164,7867,15,100,7820,17,129,7830,32,122,7876,32,105,7769,30,130,7734,34,127,7899,13,85,7809,26,115,7931,17,80,12
