Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,2,8,8090,0,10,8090,0,10,8090,0,10,8090,1,9,8090,1,9,8090,0,10,8090,1,9,8090,0,10,1
8048,0,6,8080,2,8,8072,1,5,8056,0,9,8066,0,6,8073,1,6,8066,0,7,8064,1,9,8053,1,9,8082,1,9,2
8032,2,13,8077,2,7,8072,0,8,8048,0,12,8066,1,9,8068,2,13,8065,0,11,8060,3,7,8050,3,13,8079,1,12,3
8004,4,23,8073,2,7,8062,1,12,8046,2,22,8055,2,11,8062,5,13,8055,1,17,8058,4,10,8035,4,18,8075,3,8,4
7974,4,38,8048,2,9,8026,2,14,8016,2,29,8018,3,13,8028,6,22,8007,1,24,8052,4,18,8025,4,31,8042,4,10,5
7962,4,63,8047,3,13,8014,2,24,8003,3,42,7993,3,24,7997,7,32,8001,0,41,8050,4,24,7995,6,38,8036,6,15,6
7931,9,73,8044,4,16,8001,1,31,7974,6,55,7990,6,40,7971,8,45,7989,4,46,8026,3,30,7970,7,55,8026,7,23,7
7867,13,97,8040,7,19,7981,1,48,7946,9,70,7965,6,52,7954,10,67,7971,5,55,8011,6,40,7938,9,65,8015,10,29,8
7845,16,120,8032,9,24,7940,1,60,7921,16,74,7922,10,64,7924,15,83,7935,14,58,7969,11,41,7885,11,85,7998,11,39,9
7811,22,146,8009,11,31,7922,5,71,7888,24,85,7888,17,79,7872,18,98,7906,17,69,7947,13,58,7848,16,107,7962,11,48,10
7781,26,177,7993,12,39,7905,12,84,7876,33,93,7866,22,100,7822,22,118,7848,24,91,7925,14,74,7796,22,125,7954,14,63,11
7740,43,184,7950,15,50,7878,20,98,7851,41,103,7812,30,116,7790,26,144,7831,32,113,7860,18,90,7747,32,154,7930,15,76,12
