Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,0,10,8090,1,9,8090,0,10,8090,0,10,8090,1,9,8090,0,10,8090,0,10,8090,0,10,8090,0,10,1
8076,0,5,8068,0,3,8085,1,7,8078,0,7,8072,0,5,8075,0,2,8075,0,3,8066,0,3,8078,1,1,8075,0,4,2
8072,0,7,8050,0,8,8083,2,3,8065,1,7,8058,0,5,8070,0,3,8060,0,10,8052,0,6,8074,1,11,8064,0,4,3
8064,0,13,8033,1,14,8083,3,3,8054,1,13,8045,1,7,8067,0,10,8048,0,17,8051,1,11,8063,1,15,8052,1,6,4
8055,0,15,8006,1,26,8082,3,5,8038,1,24,8030,1,19,8063,0,12,8030,0,27,8042,2,15,8039,2,21,8049,1,16,5
8051,2,21,7961,1,39,8075,4,8,8014,2,28,8000,1,27,8043,1,18,7997,0,33,8029,4,24,8025,2,26,8038,1,26,6
8042,5,20,7934,1,57,8061,4,14,7990,3,40,7978,3,36,8036,2,26,7972,1,45,8019,4,30,8003,2,33,8019,3,36,7
8027,7,25,7903,7,77,8047,3,17,7971,5,54,7949,6,55,8016,4,34,7955,4,59,8008,6,40,7991,3,45,8001,3,45,8
8020,9,29,7874,11,91,8033,4,25,7949,9,69,7917,12,71,7995,7,44,7921,8,74,7997,12,46,7984,6,55,7978,7,54,9
8013,9,33,7842,18,108,8022,7,33,7914,12,79,7882,15,97,7974,10,49,7885,10,93,7979,15,50,7969,8,67,7957,11,64,10
8008,13,37,7800,27,128,8006,9,43,7889,19,94,7832,22,108,7938,11,62,7855,13,108,7960,18,54,7940,11,79,7929,17,72,11
7998,16,41,7763,31,154,7988,11,48,7858,24,112,7785,26,139,7907,13,79,7812,21,122,7942,20,70,7917,19,84,7911,22,84,12
7983,18,47,7709,41,176,7954,17,56,7828,32,129,7748,36,156,7882,18,95,7770,31,150,7921,25,77,7900,26,95,7902,32,83,13
7974,23,52,7680,57,210,7928,20,69,7794,48,141,7695,43,187,7848,24,111,7715,43,169,7889,29,92,7871,37,106,7882,43,86,14
7960,30,56,7626,72,236,7903,26,80,7756,58,158,7646,57,206,7803,30,126,7664,65,186,7854,36,103,7846,49,111,7860,52,96,15
