Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,0,10,8090,1,9,8090,0,10,8090,0,10,8090,1,9,8090,0,10,8090,0,10,8090,0,10,8090,0,10,1
8053,0,7,8059,0,7,8069,1,7,8065,0,8,8044,0,6,8083,1,5,8051,0,2,8043,0,3,8053,1,3,8055,0,5,2
8015,1,15,8050,1,19,8062,2,8,8049,1,13,8032,1,14,8082,1,9,8036,0,11,8040,0,9,8048,1,7,8050,1,9,3
8002,2,29,8010,1,27,8057,2,12,8004,2,25,8014,1,25,8073,3,9,8009,1,22,8020,1,19,8043,2,14,8043,2,16,4
7982,3,43,7978,1,41,8050,2,21,7958,3,41,7996,1,35,8066,4,9,7991,1,32,7991,1,35,8031,3,18,8015,3,25,5
7959,3,60,7920,3,54,8033,4,24,7933,7,57,7969,3,52,8033,4,11,7935,5,45,7974,4,49,8016,5,24,7957,4,33,6
7904,9,65,7892,8,76,7997,6,29,7891,10,71,7926,5,62,8023,5,20,7886,7,64,7930,8,61,7995,4,32,7940,5,50,7
7881,14,87,7846,12,93,7972,9,39,7846,17,86,7906,10,75,8020,8,26,7854,14,95,7909,12,75,7969,6,49,7931,6,66,8
7862,17,104,7797,20,118,7962,10,53,7813,21,113,7888,18,84,8009,10,32,7765,19,122,7881,15,96,7956,8,60,7918,11,84,9
7828,23,132,7727,29,139,7949,11,72,7750,28,144,7849,22,102,7986,14,40,7678,23,152,7855,24,116,7938,13,69,7888,18,91,10
7781,34,152,7658,36,174,7896,20,72,7712,36,183,7813,32,124,7955,16,48,7650,35,196,7808,30,135,7910,16,84,7862,23,107,11
7738,49,162,7620,51,200,7850,24,92,7630,46,202,7772,44,137,7907,21,61,7611,46,231,7702,41,161,7892,21,104,7802,28,122,12
7668,63,178,7540,64,222,7812,32,113,7563,60,241,7718,57,158,7847,21,75,7554,63,261,7629,55,201,7848,28,115,7759,38,142,13
7622,74,203,7469,78,265,7774,43,130,7501,72,279,7647,70,181,7812,28,98,7492,86,283,7533,71,220,7817,40,124,7721,55,157,14
7575,94,223,7422,102,307,7736,55,162,7431,99,306,7571,84,226,7772,31,126,7436,114,308,7460,82,258,7791,51,145,7682,71,174,15
