Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,1,9,8090,0,10,8090,1,9,8090,0,10,8090,0,10,8090,0,10,8090,1,9,8090,0,10,8090,0,10,1
8064,0,5,8064,0,1,8064,0,6,8065,1,3,8064,0,6,8074,0,9,8064,0,7,8066,1,6,8065,0,5,8081,0,3,2
8064,2,6,8064,0,6,8064,1,9,8065,1,8,8064,0,7,8073,0,13,8064,2,6,8066,3,10,8065,1,7,8081,0,4,3
8064,2,11,8064,0,14,8064,2,13,8064,1,14,8064,0,14,8064,2,12,8064,2,12,8065,4,14,8064,1,8,8081,0,5,4
8064,2,16,8064,0,20,8064,2,16,8064,1,19,8064,0,18,8064,2,18,8064,3,17,8064,2,17,8064,1,14,8079,1,8,5
8064,3,18,8064,0,24,8064,3,17,8064,1,21,8064,1,21,8064,4,18,8064,3,20,8064,2,20,8064,1,19,8077,1,9,6
8064,2,21,8064,0,25,8064,3,18,8064,3,20,8064,2,24,8064,4,21,8064,3,20,8064,4,21,8064,3,20,8077,1,11,7
8064,3,22,8064,3,26,8064,7,16,8064,4,25,8064,4,22,8064,7,20,8064,5,20,8064,5,23,8064,7,19,8077,2,16,8
8064,5,22,8064,6,25,8064,8,20,8064,5,26,8064,8,20,8064,9,22,8064,7,19,8064,5,23,8064,7,22,8076,3,15,9
8064,6,23,8064,8,23,8064,12,17,8064,8,25,8064,9,20,8064,11,21,8064,9,23,8064,8,21,8064,8,21,8076,3,16,10
8064,9,20,8064,12,20,8064,15,15,8064,11,22,8064,11,18,8064,14,20,8064,10,26,8064,11,19,8064,10,21,8076,5,14,11
8064,11,18,8064,15,17,8064,15,15,8064,14,20,8064,11,19,8064,14,20,8064,12,24,8064,15,17,8064,12,20,8076,7,12,12
8064,11,18,8064,16,17,8064,17,14,8064,17,18,8064,14,17,8064,16,18,8064,16,20,8064,16,16,8064,15,17,8076,8,11,13
8064,14,17,8064,19,14,8064,21,11,8064,18,17,8064,16,16,8064,16,18,8064,19,17,8064,16,16,8064,17,16,8076,10,12,14
8064,14,18,8064,19,14,8064,22,11,8064,19,17,8064,18,15,8064,22,12,8064,20,16,8064,18,14,8064,18,15,8076,12,10,15
8064,16,18,8064,21,12,8064,23,10,8064,20,16,8064,23,11,8064,22,12,8064,21,15,8064,19,14,8064,18,15,8076,13,11,16
8064,20,14,8064,22,13,8064,24,11,8064,21,15,8064,23,11,8064,25,9,8064,22,14,8064,22,11,8064,20,13,8075,13,11,17
8064,20,14,8064,24,12,8064,26,9,8064,27,9,8064,25,10,8064,25,9,8064,24,12,8064,21,11,8064,21,14,8075,15,9,18
8064,23,12,8064,25,11,8064,28,8,8064,28,8,8064,25,10,8064,26,8,8064,27,9,8064,25,9,8064,23,12,8075,18,6,19
8064,26,9,8064,30,6,8064,29,7,8064,28,8,8064,27,8,8064,27,8,8064,28,8,8064,25,10,8064,27,8,8075,21,4,20
8064,28,8,8064,31,5,8064,29,7,8064,29,7,8064,27,9,8064,29,6,8064,28,8,8064,27,8,8064,27,8,8075,21,4,21
8064,28,8,8064,33,3,8064,29,7,8064,30,6,8064,30,6,8064,29,6,8064,29,7,8064,27,8,8064,27,8,8074,21,4,22
8064,29,7,8064,33,2,8064,29,7,8064,31,5,8064,32,4,8064,30,6,8064,30,6,8064,27,8,8064,29,7,8074,21,5,23
8064,29,7,8064,33,2,8064,31,5,8064,32,4,8064,32,4,8064,30,6,8064,31,5,8064,28,7,8064,31,5,8074,21,5,24
8064,31,5,8064,33,2,8064,31,5,8064,32,4,8064,32,4,8064,31,5,8064,32,4,8064,29,6,8064,32,4,8074,22,4,25
8064,31,5,8064,33,2,8064,31,5,8064,32,4,8064,32,4,8064,33,3,8064,33,3,8064,30,5,8064,32,4,8073,23,3,26
8064,32,4,8064,33,2,8064,31,5,8064,33,3,8064,32,4,8064,33,3,8064,34,2,8064,30,5,8064,32,4,8073,24,2,27
8064,32,4,8064,33,2,8064,33,3,8064,33,3,8064,32,4,8064,34,2,8064,34,2,8064,31,4,8064,32,4,8073,24,2,28
8064,32,3,8064,33,2,8064,33,3,8064,34,2,8064,32,3,8064,34,2,8064,34,2,8064,32,3,8064,32,4,8073,24,2,29
8064,32,2,8064,34,1,8064,33,3,8064,34,2,8064,33,2,8064,34,2,8064,34,2,8064,32,3,8064,32,4,8073,24,2,30
8064,32,2,8064,34,1,8064,33,3,8064,34,2,8064,33,2,8064,34,2,8064,34,2,8064,32,3,8064,33,3,8073,24,2,31
8064,32,2,8064,34,1,8064,33,3,8064,34,2,8064,34,1,8064,34,2,8064,34,2,8064,33,2,8064,35,1,8073,24,3,32
8064,32,2,8064,35,0,8064,33,3,8064,34,2,8064,34,1,8064,34,2,8064,34,2,8064,33,2,8064,35,1,8073,26,1,33
8064,32,2,8064,35,0,8064,33,3,8064,36,0,8064,34,1,8064,34,2,8064,35,1,8064,33,2,8064,35,1,8073,26,1,34
8064,32,2,8064,35,0,8064,33,3,8064,36,0,8064,34,1,8064,35,1,8064,35,1,8064,34,1,8064,36,0,8073,26,1,35
8064,32,2,8064,35,0,8064,34,2,8064,36,0,8064,34,1,8064,36,0,8064,35,1,8064,34,1,8064,36,0,8073,26,1,36
8064,32,2,8064,35,0,8064,35,1,8064,36,0,8064,34,1,8064,36,0,8064,35,1,8064,34,1,8064,36,0,8073,26,1,37
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8064,35,1,8064,34,1,8064,36,0,8073,26,1,38
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8073,26,1,39
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8073,26,1,40
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8073,26,1,41
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8073,26,1,42
8064,33,1,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,34,1,8064,36,0,8073,27,0,43
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,44
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,45
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,46
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,47
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,48
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,49
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,50
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,51
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,52
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,53
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,54
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,55
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,56
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,57
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,58
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,59
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,60
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,61
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,62
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,63
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,64
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,65
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,66
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,67
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,68
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,69
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,70
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,71
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,72
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,73
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,74
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,75
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,76
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,77
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,78
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,79
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,80
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,81
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,82
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,83
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,84
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,85
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,86
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,87
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,88
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,89
8064,34,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8064,36,0,8064,35,0,8064,36,0,8073,27,0,90
