Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,0
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,9926,0,10,1
9848,0,13,9908,0,8,9914,0,8,9907,0,8,9759,0,13,9866,0,11,9866,0,9,9825,0,11,9792,2,13,9914,1,10,2
9840,3,19,9898,0,11,9909,0,11,9901,0,11,9749,2,36,9818,2,16,9864,0,23,9813,1,29,9739,2,34,9908,1,11,3
9813,4,36,9880,0,19,9902,0,16,9893,1,14,9709,4,67,9802,3,35,9818,1,34,9760,5,47,9702,3,57,9880,2,15,4
9734,4,54,9846,1,26,9885,1,20,9859,1,26,9518,6,103,9771,4,56,9759,1,52,9673,6,83,9591,4,91,9822,4,23,5
9683,5,76,9744,4,43,9803,2,35,9811,2,34,9272,10,175,9705,6,76,9688,2,78,9491,13,123,9469,7,144,9744,6,49,6
9532,8,120,9509,7,83,9689,2,59,9748,4,55,9115,16,286,9518,9,114,9584,6,103,9341,20,180,9233,16,198,9646,7,80,7
9392,14,170,9335,8,149,9498,4,99,9679,10,74,8810,26,376,9385,16,159,9475,8,157,9057,32,261,9027,29,299,9535,8,117,8
9215,22,236,9045,14,248,9308,10,156,9523,13,110,8510,51,508,9160,21,234,9265,13,222,8611,49,378,8776,53,395,9403,16,160,9
8984,36,322,8683,31,372,9137,23,234,9298,21,176,8028,86,661,8998,35,354,9000,27,304,8311,66,536,8405,70,526,9161,23,223,10
8692,57,429,8262,51,530,8801,33,338,9083,32,251,7594,118,886,8701,55,456,8618,45,403,7846,100,701,8003,103,703,8995,38,323,11
8299,80,569,7784,87,715,8446,54,488,8846,42,370,7215,170,1129,8410,78,593,8266,60,563,7232,144,948,7553,151,899,8709,55,410,12
7911,113,752,7213,131,971,7988,86,680,8452,60,506,6764,245,1350,8117,104,738,7694,90,769,6666,203,1187,7147,215,1102,8331,80,556,13
7528,163,942,6612,195,1250,7494,125,896,8045,90,680,6256,330,1615,7868,161,906,7043,134,1022,5919,272,1547,6804,285,1350,7986,116,733,14
7217,227,1156,6130,271,1560,6968,182,1114,7551,127,882,5774,453,1855,7539,214,1037,6250,203,1325,5309,386,1930,6374,383,1589,7420,162,950,15
6851,309,1351,5623,366,1876,6370,258,1415,6951,193,1105,5218,608,2108,7239,300,1172,5515,299,1698,4562,508,2300,5833,494,1831,6865,232,1204,16
6433,396,1571,5034,493,2192,6010,352,1706,6441,260,1376,4634,784,2358,6857,384,1343,4789,420,2095,3743,657,2680,5314,637,2080,6346,291,1505,17
6065,501,1781,4486,643,2553,5518,477,1999,5828,364,1672,4054,978,2647,6521,480,1534,4267,562,2521,3273,847,3065,4757,815,2322,5745,398,1807,18
5681,654,1995,3875,818,2817,4958,624,2268,5141,478,2017,3561,1187,2933,6105,599,1698,3594,759,2904,2771,1094,3414,4208,1013,2572,5299,543,2115,19
5226,825,2152,3258,1055,3073,4347,799,2547,4612,642,2356,3074,1445,3175,5703,748,1867,2926,980,3299,2138,1374,3703,3587,1221,2843,4802,687,2400,20
4692,1006,2355,2651,1318,3352,3843,1001,2817,4065,813,2673,2627,1711,3410,5189,915,2078,2330,1223,3615,1802,1723,3925,3033,1457,3102,4174,852,2651,21
4146,1206,2540,2014,1612,3599,3283,1203,3102,3696,1025,2937,2107,2022,3560,4556,1089,2289,1855,1521,3924,1444,2073,4120,2422,1737,3371,3731,1066,2971,22
3748,1458,2730,1616,1948,3818,2760,1461,3336,3176,1247,3207,1591,2332,3737,3881,1280,2556,1422,1853,4164,1211,2428,4290,1939,2030,3573,3079,1334,3203,23
3305,1686,2937,1228,2275,4014,2263,1776,3539,2542,1548,3430,1232,2663,3890,3307,1513,2789,1077,2236,4299,991,2818,4349,1598,2355,3769,2562,1656,3356,24
2824,1950,3107,881,2670,4137,1759,2093,3722,2030,1869,3630,944,3045,3955,2749,1764,3025,723,2610,4418,812,3214,4334,1271,2699,3896,1877,1958,3560,25
2439,2218,3263,711,3091,4223,1413,2409,3921,1583,2193,3825,701,3415,4030,2209,2034,3270,493,3048,4421,618,3666,4249,1079,3095,3932,1398,2264,3770,26
1991,2535,3395,509,3520,4206,1035,2789,4021,1199,2536,3969,477,3821,4011,1701,2323,3493,282,3500,4385,516,4118,4080,809,3469,3944,997,2632,3944,27
1632,2851,3531,373,4008,4105,672,3180,4061,945,2909,4085,344,4218,3972,1366,2647,3679,121,3960,4271,378,4550,3907,580,3879,3887,740,3028,4093,28
1295,3173,3593,309,4425,4017,471,3581,4104,712,3278,4109,281,4632,3857,1132,2991,3802,72,4416,4165,313,5022,3664,411,4295,3832,438,3409,4179,29
966,3513,3665,247,4827,3877,361,3998,4064,502,3716,4085,227,5050,3676,938,3340,3886,30,4857,4015,253,5456,3431,278,4694,3755,302,3791,4210,30
788,3900,3644,199,5233,3680,267,4430,3955,407,4138,4010,199,5495,3433,779,3730,3855,18,5312,3809,228,5867,3191,225,5101,3609,244,4211,4137,31
650,4269,3634,188,5659,3445,245,4851,3776,371,4538,3911,179,5896,3208,695,4091,3820,1,5759,3519,213,6235,2966,171,5464,3448,207,4658,4000,32
