Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,0
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,9926,0,10,9926,1,9,9926,1,9,9926,0,10,9926,0,10,1
9860,1,11,9906,0,6,9791,0,15,9821,0,12,9868,2,11,9866,0,12,9917,1,6,9918,1,7,9818,0,11,9684,0,24,2
9847,2,23,9903,0,9,9774,0,34,9811,1,35,9865,2,21,9848,1,23,9916,2,6,9913,1,5,9813,1,27,9681,0,69,3
9793,3,40,9902,1,10,9729,2,62,9761,2,42,9849,2,30,9821,1,41,9914,2,6,9913,1,13,9800,2,42,9604,4,111,4
9692,4,66,9902,1,14,9634,5,89,9714,2,65,9802,3,44,9779,2,54,9913,3,10,9913,1,14,9751,3,70,9479,9,160,5
9623,10,96,9902,1,19,9581,7,125,9666,6,96,9763,6,62,9701,6,74,9909,4,13,9912,2,15,9714,6,95,9401,15,215,6
9564,14,148,9901,2,20,9511,15,159,9593,14,120,9718,8,87,9667,7,100,9907,4,14,9911,2,18,9644,11,116,9363,26,263,7
9479,19,189,9901,3,21,9407,22,193,9568,23,151,9657,13,99,9636,13,129,9904,4,17,9909,3,17,9576,17,142,9338,46,298,8
9375,29,225,9900,4,21,9364,32,240,9530,33,179,9614,23,123,9551,23,155,9904,5,18,9909,5,17,9530,26,183,9336,61,340,9
9325,51,253,9900,6,23,9335,42,289,9493,43,215,9573,31,153,9485,33,193,9901,5,20,9908,7,17,9464,39,212,9327,86,357,10
9315,67,298,9898,7,23,9324,74,317,9418,61,232,9511,43,187,9398,46,228,9901,8,18,9907,8,17,9411,55,238,9321,125,354,11
9315,93,318,9896,9,22,9316,107,329,9388,79,254,9432,55,218,9367,66,257,9901,9,18,9907,11,13,9353,72,258,9319,165,345,12
9315,120,342,9895,11,23,9315,133,340,9364,95,276,9406,70,252,9350,85,293,9901,13,14,9907,13,13,9340,87,290,9318,195,346,13
9315,148,355,9894,14,22,9315,160,345,9351,112,300,9385,90,274,9319,101,328,9900,16,12,9907,14,12,9330,111,309,9315,228,333,14
9315,187,340,9894,17,20,9315,196,331,9344,138,309,9361,114,282,9319,134,328,9899,19,10,9907,15,11,9315,136,320,9315,264,310,15
9315,223,325,9893,20,18,9315,230,323,9334,165,311,9341,136,300,9318,167,336,9898,21,11,9907,18,8,9315,161,336,9315,295,293,16
9315,248,315,9890,21,17,9315,265,312,9326,195,311,9334,164,300,9315,201,332,9898,23,10,9907,18,10,9315,195,322,9315,338,258,17
9315,287,291,9890,22,16,9315,302,286,9319,234,302,9329,193,298,9315,230,325,9898,23,12,9907,19,9,9315,216,332,9315,369,231,18
9315,314,275,9889,27,13,9315,332,264,9318,264,288,9323,223,289,9315,264,303,9898,24,11,9907,20,8,9315,257,307,9315,401,204,19
9315,337,260,9889,29,10,9315,356,247,9315,300,269,9317,255,273,9315,304,276,9898,26,9,9907,22,6,9315,289,283,9315,427,183,20
9315,370,228,9889,30,12,9315,390,216,9315,324,255,9316,279,262,9315,343,244,9898,26,11,9907,24,4,9315,322,263,9315,446,167,21
9315,393,209,9888,32,11,9315,423,187,9315,350,237,9315,310,245,9315,378,216,9898,29,9,9907,24,5,9315,352,241,9315,468,148,22
9315,426,183,9888,32,11,9315,445,166,9315,374,221,9315,338,232,9315,410,189,9898,30,8,9907,24,5,9315,388,214,9315,486,130,23
9315,449,161,9888,34,10,9315,463,150,9315,403,198,9315,356,222,9315,439,169,9897,30,8,9906,24,5,9315,415,192,9315,504,112,24
9315,471,144,9888,34,10,9315,486,127,9315,425,183,9315,382,207,9315,454,158,9897,31,7,9906,24,6,9315,444,166,9315,514,102,25
9315,500,117,9888,34,10,9315,513,102,9315,442,167,9315,409,184,9315,478,137,9897,31,7,9906,24,6,9315,463,147,9315,530,84,26
9315,520,97,9887,36,8,9315,527,89,9315,461,150,9315,429,166,9315,494,122,9897,31,7,9906,24,6,9315,477,135,9315,539,74,27
9315,526,91,9887,36,9,9315,543,73,9315,479,131,9315,447,153,9315,509,107,9897,32,6,9905,24,6,9315,496,114,9315,549,64,28
9315,537,80,9884,37,7,9315,554,62,9315,494,118,9315,466,138,9315,523,92,9897,35,4,9905,26,4,9315,508,103,9315,556,57,29
9315,543,74,9884,37,8,9315,563,53,9315,505,108,9315,476,134,9315,534,82,9897,35,4,9905,27,3,9315,525,86,9315,565,47,30
9315,549,68,9884,38,8,9315,575,41,9315,517,96,9315,498,115,9315,546,70,9897,36,3,9905,27,4,9315,536,75,9315,570,42,31
9315,559,58,9884,39,7,9315,582,34,9315,530,83,9315,513,100,9315,554,62,9897,36,3,9905,27,4,9315,549,63,9315,575,37,32
9315,563,53,9884,41,5,9315,586,30,9315,540,73,9315,522,91,9315,565,51,9897,37,2,9905,27,4,9315,556,56,9315,579,33,33
9315,574,42,9884,41,6,9315,590,26,9315,547,66,9315,535,78,9315,572,43,9897,37,2,9905,28,3,9315,561,51,9315,581,31,34
9315,582,34,9884,43,4,9315,593,23,9315,555,58,9315,545,68,9315,581,34,9897,37,1,9905,28,3,9315,568,44,9315,583,29,35
9315,591,25,9884,43,4,9315,596,20,9315,561,52,9315,557,57,9315,587,28,9897,37,1,9905,29,2,9315,570,42,9315,588,24,36
9315,598,18,9884,43,4,9315,601,15,9315,566,47,9315,564,50,9315,590,25,9897,37,1,9905,29,2,9315,578,33,9315,590,22,37
9315,599,17,9884,43,6,9315,605,11,9315,575,38,9315,576,38,9315,592,23,9897,37,1,9905,31,0,9315,581,30,9315,593,19,38
