Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,0
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,1
9858,1,7,9856,0,7,9769,0,16,9898,0,7,9881,1,10,9878,0,7,9863,0,6,9873,0,10,9885,1,6,9890,1,5,2
9837,2,18,9837,0,19,9745,2,46,9886,0,10,9858,2,15,9870,1,13,9857,0,16,9859,0,22,9868,1,16,9882,2,8,3
9779,2,29,9803,0,38,9697,6,73,9873,0,18,9826,5,23,9856,2,21,9839,1,21,9828,1,35,9818,2,30,9860,3,12,4
9713,5,47,9736,2,59,9551,11,107,9855,2,20,9783,6,42,9848,2,33,9831,2,40,9758,1,50,9757,4,43,9833,4,23,5
9619,6,84,9637,6,85,9395,15,178,9835,2,34,9725,9,65,9812,2,47,9783,4,58,9637,3,70,9686,6,74,9795,5,45,6
9499,11,126,9530,9,123,9235,22,237,9816,5,42,9630,15,97,9735,7,64,9688,5,88,9568,7,113,9627,8,104,9733,6,70,7
9229,17,193,9361,12,172,8986,30,321,9770,5,64,9487,23,131,9608,8,96,9579,7,110,9386,14,161,9506,16,142,9628,9,92,8
8955,25,299,9106,19,254,8670,49,430,9706,8,76,9284,24,197,9465,13,136,9448,14,159,9164,22,253,9367,23,203,9523,14,124,9
8655,41,426,8847,34,362,8391,78,562,9573,12,110,9086,35,285,9316,21,192,9316,21,207,8876,29,352,9194,38,263,9362,19,175,10
8273,67,561,8485,61,497,7930,108,731,9467,18,154,8768,49,395,9109,36,277,9090,33,296,8589,49,461,8979,54,329,9191,34,254,11
7801,96,759,8133,85,668,7301,160,938,9286,27,214,8288,71,537,8814,53,375,8818,53,392,8136,77,642,8554,77,446,8898,50,341,12
7289,153,983,7705,119,871,6671,223,1200,9048,42,298,7760,97,743,8526,74,507,8485,78,509,7634,117,844,8191,101,607,8479,68,466,13
6751,225,1247,7257,172,1099,6147,286,1532,8685,58,407,7068,134,1000,8165,99,643,8177,112,654,6975,165,1081,7713,149,799,8056,95,619,14
6279,285,1578,6828,250,1331,5416,385,1894,8285,81,541,6420,194,1312,7802,140,801,7818,155,836,6387,230,1410,7057,211,1014,7444,135,810,15
5711,398,1853,6435,338,1563,4652,507,2274,7687,111,756,5628,279,1660,7405,206,1020,7361,197,1024,5712,332,1707,6505,279,1298,6705,189,1108,16
5032,533,2134,5915,450,1806,4010,651,2682,7092,164,990,4810,387,2036,6965,270,1264,6836,273,1255,5117,449,2047,5860,363,1616,6008,254,1412,17
4537,698,2463,5486,576,2051,3419,855,3044,6260,218,1311,3968,512,2494,6487,347,1513,6234,362,1509,4431,602,2394,5193,478,1945,5236,342,1819,18
3997,861,2788,5087,755,2245,2854,1076,3393,5288,290,1708,3219,679,2927,6006,440,1747,5667,470,1808,3847,762,2776,4595,610,2270,4339,472,2243,19
3481,1083,3065,4491,938,2464,2399,1354,3672,4324,412,2148,2548,910,3358,5555,558,1974,5100,608,2080,3206,975,3145,3854,793,2620,3585,616,2717,20
2993,1352,3296,3953,1108,2722,1940,1668,3902,3507,554,2623,1841,1173,3748,5150,708,2190,4515,747,2425,2625,1210,3460,3321,990,2985,2770,815,3182,21
2535,1656,3489,3482,1330,2954,1587,1985,4090,2784,728,3146,1251,1457,4139,4603,913,2420,3969,932,2710,2163,1499,3725,2720,1242,3272,2135,1059,3597,22
2110,1981,3614,2939,1600,3171,1255,2371,4216,2132,944,3632,869,1832,4463,4019,1102,2650,3466,1170,2969,1707,1824,3926,2204,1484,3595,1623,1363,3936,23
1728,2320,3747,2505,1893,3375,1014,2771,4245,1597,1202,4086,569,2248,4632,3598,1317,2900,3022,1420,3230,1315,2203,4060,1653,1788,3873,1254,1680,4236,24
1442,2684,3841,2082,2201,3520,799,3192,4245,1189,1503,4462,352,2657,4726,3158,1569,3102,2562,1677,3420,1026,2595,4140,1261,2124,4091,907,2029,4475,25
1187,3046,3898,1715,2507,3666,614,3592,4228,791,1889,4653,228,3136,4688,2734,1814,3308,2206,1995,3625,755,2987,4241,974,2500,4258,654,2424,4612,26
913,3464,3857,1419,2847,3756,455,4045,4087,523,2306,4797,161,3609,4628,2319,2103,3473,1873,2310,3779,520,3400,4240,716,2925,4301,412,2837,4696,27
749,3869,3823,1145,3188,3802,411,4488,3951,373,2747,4897,117,4085,4495,1918,2437,3564,1525,2649,3892,366,3836,4186,510,3342,4320,280,3266,4672,28
576,4257,3774,909,3588,3794,339,4927,3741,235,3198,4883,91,4541,4285,1601,2803,3616,1128,3028,3943,249,4265,4088,380,3751,4285,180,3749,4549,29
445,4613,3685,727,3973,3761,283,5346,3500,142,3689,4742,76,5063,3994,1317,3184,3634,893,3383,3935,202,4666,3982,253,4184,4167,122,4260,4361,30
372,4995,3554,577,4341,3710,257,5732,3284,89,4222,4483,69,5541,3689,1066,3558,3650,702,3802,3899,154,5114,3755,195,4623,4000,94,4721,4148,31
297,5383,3409,462,4702,3647,229,6087,3057,62,4720,4213,54,5975,3413,818,3911,3680,554,4164,3855,120,5547,3515,156,5072,3797,72,5177,3901,32
257,5776,3171,371,5086,3484,211,6435,2828,44,5222,3920,45,6390,3109,613,4282,3656,461,4583,3710,109,5956,3272,126,5534,3539,58,5642,3616,33
214,6126,2969,289,5451,3312,199,6797,2555,36,5698,3597,40,6749,2828,443,4674,3552,370,4990,3539,98,6329,3019,105,5968,3277,50,6057,3349,34
191,6454,2765,249,5832,3107,180,7096,2323,29,6099,3315,37,7065,2590,370,5031,3472,318,5416,3320,84,6707,2750,91,6331,3017,45,6469,3046,35
175,6804,2519,211,6161,2939,162,7395,2086,23,6512,2993,35,7383,2321,296,5389,3356,265,5821,3118,78,7040,2493,87,6678,2768,42,6840,2735,36
161,7145,2257,178,6481,2746,153,7675,1854,20,6893,2685,31,7664,2069,237,5761,3170,231,6210,2903,74,7326,2266,78,7013,2511,41,7183,2443,37
147,7402,2063,158,6808,2515,144,7913,1653,17,7200,2446,31,7907,1856,177,6137,2941,201,6527,2721,71,7615,2022,70,7311,2282,40,7445,2229,38
138,7620,1901,136,7115,2299,140,8109,1490,16,7505,2186,31,8126,1651,150,6461,2753,164,6826,2496,71,7870,1805,68,7597,2044,39,7738,1970,39
127,7866,1699,127,7404,2089,135,8299,1326,12,7768,1960,28,8338,1434,129,6781,2566,155,7124,2275,68,8081,1627,61,7855,1826,39,7968,1765,40
