Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,0
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,1
9744,0,13,9752,0,16,9739,0,11,9898,0,5,9818,1,8,9867,0,8,9770,0,14,9758,0,14,9854,1,11,9798,1,12,2
9739,1,35,9745,0,49,9700,0,38,9888,0,10,9817,2,24,9862,1,17,9750,3,29,9747,0,34,9839,2,22,9788,1,35,3
9715,1,73,9641,1,75,9583,2,80,9880,0,20,9792,3,44,9845,2,26,9686,6,52,9686,1,59,9756,3,45,9728,1,60,4
9621,1,105,9530,3,111,9441,3,134,9790,1,31,9723,3,71,9773,3,48,9583,9,89,9625,3,93,9634,5,79,9631,1,98,5
9408,6,172,9388,8,156,9200,11,208,9704,3,61,9562,6,106,9718,7,70,9430,9,145,9507,8,143,9406,7,128,9528,9,145,6
9232,13,230,9186,18,236,8888,20,303,9546,4,101,9356,10,151,9600,9,103,9204,13,219,9225,15,203,9185,13,215,9307,14,196,7
8908,28,335,8896,31,322,8572,34,430,9358,11,168,9097,23,234,9429,14,144,9073,22,304,8960,26,267,8893,23,321,9027,18,283,8
8594,48,469,8565,43,457,8201,54,602,9093,23,250,8668,40,363,9231,21,201,8837,35,415,8709,45,385,8510,32,451,8587,35,431,9
8157,77,638,8326,75,595,7728,85,769,8623,40,371,8142,55,550,8947,32,287,8587,69,511,8288,76,532,8061,49,629,8138,55,604,10
7654,123,808,8039,119,788,7136,147,973,8164,60,546,7503,102,787,8591,46,423,8248,104,639,7843,99,719,7722,90,858,7658,94,811,11
7176,179,1018,7744,171,947,6658,206,1274,7546,92,779,6865,141,1084,8099,73,584,8046,152,765,7433,135,954,7163,134,1100,7049,142,1057,12
6725,260,1276,7526,247,1103,6202,292,1569,6757,138,1090,6237,200,1412,7617,98,787,7654,193,954,7015,190,1211,6713,198,1354,6404,206,1374,13
6163,341,1572,7106,326,1284,5637,388,1865,5792,185,1467,5545,277,1786,7171,153,1008,7266,243,1158,6502,265,1463,6100,307,1587,5710,292,1713,14
5630,437,1898,6706,436,1423,5172,540,2135,4961,268,1943,4857,409,2149,6718,211,1296,6828,350,1323,5865,363,1745,5678,424,1886,5019,410,2085,15
4895,570,2186,6146,536,1610,4545,685,2451,4249,379,2376,3939,545,2582,6266,285,1573,6455,455,1516,5285,499,2042,5303,550,2185,4301,553,2463,16
4339,737,2509,5765,674,1806,3976,882,2720,3526,569,2832,3071,741,3028,5806,383,1900,6080,571,1735,4742,645,2344,4870,740,2387,3683,722,2837,17
3883,952,2798,5229,823,2039,3426,1094,3009,2849,751,3293,2434,948,3452,5297,519,2161,5746,705,1926,4253,863,2598,4520,939,2602,2972,940,3174,18
3464,1173,3074,4629,1027,2234,3020,1338,3230,2171,986,3696,1757,1202,3867,4864,667,2435,5208,865,2102,3742,1086,2861,3992,1160,2779,2429,1203,3537,19
3120,1400,3302,4247,1211,2485,2738,1619,3446,1639,1281,4047,1194,1524,4183,4357,855,2702,4771,1038,2265,3054,1328,3128,3500,1425,2951,1644,1491,3869,20
2639,1681,3502,3805,1442,2674,2394,1930,3579,1125,1635,4347,813,1866,4460,3804,1075,2909,4232,1245,2467,2407,1613,3352,2931,1693,3160,1098,1792,4169,21
2281,2016,3627,3232,1675,2888,2110,2256,3701,777,2029,4507,525,2218,4728,3435,1301,3126,3799,1477,2668,1907,1934,3592,2362,2008,3319,685,2158,4401,22
1931,2351,3692,2734,1915,3085,1794,2618,3759,563,2436,4608,357,2651,4835,3173,1590,3306,3184,1694,2896,1417,2228,3878,1745,2318,3453,450,2562,4570,23
1663,2680,3797,2328,2198,3291,1511,2970,3775,354,2866,4678,199,3129,4803,2802,1870,3432,2800,1979,3072,998,2542,4073,1318,2631,3593,275,2973,4632,24
1446,3059,3815,2064,2482,3435,1316,3345,3788,234,3296,4688,90,3572,4749,2478,2201,3478,2465,2263,3211,724,2911,4206,1016,2985,3771,182,3423,4612,25
1230,3449,3785,1776,2787,3548,1138,3711,3739,138,3770,4565,56,4077,4572,2287,2549,3469,2002,2561,3334,519,3332,4244,735,3343,3886,145,3866,4537,26
1043,3830,3713,1615,3120,3598,936,4132,3637,79,4259,4393,48,4566,4364,2073,2879,3493,1627,2854,3502,372,3784,4188,492,3718,3957,123,4342,4366,27
954,4191,3657,1425,3483,3594,834,4514,3505,62,4773,4116,42,5040,4083,1826,3230,3465,1315,3174,3612,255,4189,4114,356,4114,3918,107,4801,4130,28
805,4591,3478,1339,3857,3511,663,4899,3361,52,5245,3869,33,5522,3781,1574,3616,3376,1103,3510,3645,211,4596,3986,250,4514,3829,102,5282,3852,29
703,4983,3298,1236,4221,3424,578,5274,3189,46,5668,3624,31,5954,3465,1335,3959,3322,933,3878,3613,165,5041,3778,201,4891,3744,99,5711,3563,30
591,5348,3123,1082,4625,3241,508,5639,3005,44,6116,3288,30,6420,3099,1154,4331,3237,740,4223,3570,148,5507,3503,177,5296,3576,97,6086,3303,31
535,5696,2961,974,5002,3079,425,5970,2817,42,6487,3031,30,6808,2786,970,4671,3151,598,4623,3460,126,5916,3254,159,5671,3384,94,6492,2984,32
474,6035,2774,869,5347,2918,397,6294,2632,42,6862,2730,30,7152,2492,771,5023,3053,506,4962,3391,117,6290,3004,146,6064,3154,91,6821,2732,33
417,6366,2574,775,5697,2761,359,6583,2481,41,7198,2436,30,7463,2221,612,5374,2912,471,5327,3265,114,6638,2761,140,6441,2896,89,7185,2418,34
386,6674,2382,700,6012,2589,325,6860,2296,40,7519,2161,27,7745,1974,515,5720,2797,387,5691,3074,110,6985,2489,137,6792,2626,89,7517,2119,35
352,6929,2216,633,6302,2427,301,7142,2105,40,7816,1893,26,7998,1744,416,6016,2689,340,6027,2914,108,7275,2256,130,7101,2386,88,7778,1895,36
321,7199,2012,594,6570,2261,285,7376,1927,40,8054,1678,26,8191,1568,347,6314,2552,304,6344,2719,104,7562,2007,129,7375,2153,87,8009,1676,37
292,7437,1847,552,6836,2078,271,7630,1726,40,8274,1462,26,8386,1379,291,6617,2381,272,6635,2529,103,7811,1807,127,7646,1935,87,8227,1472,38
278,7634,1718,513,7082,1914,264,7833,1572,39,8486,1257,26,8558,1211,243,6885,2245,265,6908,2341,102,8053,1593,125,7882,1755,87,8415,1292,39
