Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,0
9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,0,10,9926,1,9,9926,0,10,1
9846,0,15,9913,0,10,9909,0,10,9887,0,13,9767,0,20,9825,0,19,9870,0,11,9833,0,21,9817,1,11,9921,1,8,2
9824,2,22,9908,1,15,9902,0,13,9886,0,14,9691,2,45,9747,1,35,9861,0,15,9828,1,34,9798,1,25,9918,1,8,3
9747,2,49,9892,1,18,9894,0,19,9880,1,20,9553,8,87,9722,6,62,9827,2,24,9694,4,56,9764,1,46,9907,2,9,4
9714,5,78,9860,2,23,9868,1,24,9867,1,30,9322,9,136,9535,6,93,9815,4,36,9542,7,96,9714,2,68,9905,3,13,5
9469,7,112,9787,4,38,9712,4,33,9826,2,34,8961,14,241,9248,11,151,9780,7,47,9237,12,157,9429,8,116,9888,5,16,6
9143,18,173,9657,7,56,9658,5,75,9727,4,50,8511,28,394,8895,17,251,9687,11,74,8785,23,270,9181,13,177,9825,5,26,7
8804,28,270,9477,10,118,9405,9,127,9598,5,86,7804,55,609,8327,34,420,9496,12,106,7991,34,447,8898,28,298,9671,6,52,8
8586,46,425,9212,14,199,9186,11,212,9400,9,142,6845,91,913,7735,51,656,9346,19,153,7123,54,742,8324,46,452,9479,7,101,9
8321,68,570,8346,30,331,8827,22,332,9046,18,210,6060,133,1312,7015,87,929,9038,32,253,5732,98,1171,7845,70,648,9134,11,188,10
7905,108,765,7736,38,578,8273,45,498,8539,32,358,5228,190,1779,6088,133,1281,8389,48,381,4661,164,1728,7069,103,912,8671,18,313,11
7357,144,961,6587,61,923,7407,71,749,8077,50,540,4457,294,2221,5557,218,1685,7842,63,594,3517,245,2389,6523,167,1213,8085,38,478,12
6808,198,1249,5597,114,1376,6576,107,1063,7344,82,793,3501,446,2731,4932,321,2151,7230,90,863,2685,387,3019,5700,248,1594,7177,65,736,13
6063,293,1582,4425,192,1921,5472,164,1494,6264,126,1134,2693,643,3227,3928,458,2553,6367,136,1208,1955,613,3618,4831,345,2001,6185,101,1108,14
5550,403,1895,3513,304,2543,4441,255,2002,5153,202,1581,1782,841,3763,2978,617,3034,5273,203,1644,1200,851,4180,3962,458,2519,5191,157,1574,15
4933,539,2184,2707,450,3156,3579,389,2526,4184,295,2113,1176,1132,4223,2320,861,3482,4324,286,2177,711,1134,4723,3192,655,2976,4070,239,2170,16
4075,714,2519,1915,634,3747,2504,568,3052,3358,421,2668,608,1470,4620,1541,1115,3883,3393,408,2724,379,1521,5060,2109,871,3487,3142,365,2728,17
3392,929,2879,1177,908,4202,1741,767,3650,2502,601,3261,286,1882,4884,1003,1411,4311,2428,593,3256,242,1970,5258,1238,1159,3924,2386,540,3377,18
2745,1141,3256,697,1218,4683,1104,1049,4152,1587,810,3852,134,2335,5088,790,1788,4650,1895,833,3788,96,2441,5316,653,1465,4399,1540,753,3941,19
2024,1413,3609,430,1581,5031,663,1337,4586,957,1090,4390,48,2845,5092,575,2183,4818,1161,1110,4247,25,2971,5238,331,1831,4729,830,1064,4469,20
1655,1697,3928,213,2004,5228,340,1693,4933,478,1431,4819,15,3326,5013,294,2657,4829,736,1474,4596,7,3562,5009,127,2251,4937,393,1396,4866,21
1181,2027,4178,134,2538,5225,130,2143,5101,149,1812,5089,6,3874,4843,155,3106,4869,319,1922,4836,4,4078,4778,43,2706,5053,152,1825,5118,22
764,2389,4385,69,3072,5127,40,2615,5172,46,2227,5285,3,4372,4632,122,3554,4798,134,2303,5085,2,4616,4456,13,3176,5051,42,2266,5317,23
376,2821,4478,53,3587,4965,18,3147,5093,20,2787,5197,3,4901,4306,93,4053,4602,31,2786,5110,1,5145,4110,7,3657,4924,4,2774,5317,24
174,3257,4571,37,4128,4712,7,3710,4886,12,3286,5147,3,5403,3958,69,4564,4362,2,3301,5026,0,5626,3780,2,4212,4655,3,3302,5218,25
67,3707,4514,29,4672,4393,6,4291,4609,6,3835,4948,3,5910,3579,20,5082,4035,0,3819,4863,0,6074,3451,1,4760,4351,2,3810,5019,26
41,4177,4367,19,5172,4082,5,4811,4323,1,4368,4661,3,6347,3241,5,5599,3683,0,4308,4663,0,6508,3119,1,5249,4040,2,4420,4663,27
12,4614,4200,17,5656,3747,4,5334,3989,1,4856,4363,3,6768,2894,2,6052,3374,0,4851,4332,0,6879,2814,1,5760,3684,2,4934,4350,28
6,5134,3953,9,6122,3386,4,5768,3704,1,5393,3978,2,7157,2551,2,6484,3059,0,5360,4003,0,7249,2500,0,6164,3396,2,5480,3957,29
6,5593,3665,7,6566,3043,2,6220,3355,1,5887,3607,2,7475,2284,1,6866,2763,0,5855,3628,0,7571,2208,0,6563,3080,2,5973,3567,30
5,6000,3408,4,6978,2714,2,6657,2983,0,6375,3215,2,7768,2027,1,7230,2450,0,6315,3263,0,7835,1968,0,6999,2712,2,6444,3193,31
5,6405,3118,3,7325,2413,2,7045,2661,0,6780,2906,2,8020,1797,0,7526,2215,0,6709,2951,0,8084,1735,0,7356,2415,2,6888,2818,32
