av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,9926.0,0.0,0.0,0.0,10.0,0.0,8090.0,0.0,0.0,0.0,0
10.0,0.0,9926.0,0.0,0.0,0.0,9.7,0.6749485577105528,8090.0,0.0,0.3,0.6749485577105528,1
15.6,5.015531433014408,9843.5,62.391683918790186,0.1,0.31622776601683794,9.9,2.2335820757001277,8059.3,12.401164819842082,0.6,0.8432740427115678,2
27.6,14.818906842274163,9808.6,95.71972976699561,1.2,0.7888106377466155,12.6,4.477102237434885,8048.6,19.580035183262,1.5,1.2692955176439846,3
49.4,31.35885485437531,9739.5,149.70433824338187,4.0,3.2317865716108862,18.4,7.366591251499345,8038.5,23.305936296717768,3.1,1.1005049346146119,4
76.5,50.64966820117274,9625.7,247.10998450982194,5.2,3.2930904093942583,23.4,10.362324921453572,8013.5,23.215177028066023,4.2,0.9189365834726815,5
126.4,93.34071399388849,9405.0,379.9239690019863,8.7,4.78539444560216,35.4,13.937957765277762,7974.1,35.05376822349727,5.8,2.250925735484551,6
208.3,152.60191494356957,9122.3,549.6722356701916,16.3,10.285372569279582,52.2,17.542329757855235,7945.7,44.6443974337455,7.5,2.3213980461973533,7
334.7,231.34008155383134,8668.5,809.7427918103926,29.1,20.93614630781468,68.1,19.75094934427204,7887.0,51.164223611599716,9.8,3.4576806613039843,8
521.6,342.6167927388654,8125.6,1157.1061797048321,46.5,35.434603301167506,94.2,26.8071300631422,7819.8,71.6361175199587,13.3,4.785394445602159,9
766.7,488.09767920411633,7460.1,1405.4136164607673,73.3,50.51303462143872,125.7,33.983819679370946,7759.3,77.02387797156008,18.8,6.321040701937899,10
1085.8,643.3676674775905,6755.7,1607.890408786204,110.8,71.95646832171055,161.7,43.08918399990626,7681.0,86.63204436645317,24.7,7.303728119559519,11
1438.8,781.7465915073332,5995.8,1710.449245731139,170.9,109.66155003261423,201.1,48.56027182790476,7607.1,109.80229708182085,34.8,10.250203250017371,12
1858.0,903.603649591764,5162.2,1769.6351664177062,261.2,163.9449772196622,241.3,51.44371249779273,7522.9,126.76702164907788,50.2,13.9427400463467,13
2309.1,969.9663739876072,4237.1,1675.0817857313382,387.6,235.52032231258138,291.3,63.67460683471517,7424.4,140.70473418553556,64.2,17.699968612652647,14
2809.8,1013.8604769230659,3337.2,1661.0591534051734,531.2,296.3296962656441,338.6,70.92907255373731,7318.9,148.69315907450334,85.0,23.07475773316904,15
3302.3,1009.120855002016,2603.2,1520.6972669725483,730.3,383.93519418429634,391.8,83.33306666623999,7213.1,190.95400842436726,110.0,28.035691537752374,16
3751.7,955.8150739319586,1873.8,1341.9407007928646,974.8,480.9547911302175,443.3,94.75236731138232,7100.9,228.9907567275733,140.0,29.246082358725133,17
4159.0,824.9604704334491,1330.1,1130.0626777110886,1277.2,588.197774751165,503.6,110.21917558513431,6983.4,249.82091363392476,173.0,37.72119946248911,18
4511.4,679.7713994833524,896.1,868.3989674491021,1620.5,696.0852837276639,560.6,126.48074073857165,6857.6,287.8020924949025,211.8,46.29806811424329,19
4741.7,495.45378750752883,564.8,621.2859066305767,2017.4,801.3372434735439,613.3,138.06282788804685,6719.7,329.6388764828701,259.0,53.88671244173074,20
4865.1,350.27336943212424,342.5,494.0787723970069,2441.8,886.2592798448494,669.1,166.68229926686544,6595.0,379.87951306229246,313.1,63.54779478646149,21
4888.7,293.42235391629214,192.3,354.22499127594665,2915.1,947.4796333196591,723.4,187.1340577114587,6446.8,448.1866674599869,371.8,76.16619255869949,22
4843.6,350.2466432545944,109.4,233.13524925339894,3385.5,985.587050104319,774.0,217.26788380553012,6309.8,485.76258490016386,440.7,91.11415306574983,23
4668.0,436.5048046063691,57.4,115.7844741079064,3901.7,995.2817635669253,826.0,245.71030819962672,6165.1,539.9626427407322,509.9,105.1469342290957,24
4455.0,530.3667494186348,31.1,54.73461224652805,4408.2,991.6574005169325,875.9,267.8226818043776,6013.2,578.8484353534275,586.4,123.30918682545739,25
4170.6,602.761828770056,13.9,20.81906177841195,4920.1,979.5746752772063,928.8,294.90216833534623,5859.2,629.1666092715205,670.5,144.758995114869,26
3862.1,626.8936556989196,8.2,12.699956255392728,5409.6,935.5229316032588,973.5,302.86970062314845,5677.2,662.7385608216863,759.6,169.7725275511651,27
3551.9,651.378273782259,4.7,5.417051268397268,5862.9,899.6809866712632,1029.7,327.4304166960941,5514.4,683.5679597198479,855.0,196.49653658242653,28
3219.0,650.1134943650651,3.0,2.6666666666666665,6310.1,837.0647724837866,1079.8,326.97121857707566,5361.9,732.0032559126132,947.7,226.05508178317956,29
2906.0,614.010314788495,2.5,2.223610677354389,6710.1,763.7884305661265,1116.3,329.0265271304968,5187.9,779.9720009219704,1053.3,256.35177653633167,30
2601.2,572.4527734038658,2.0,1.5634719199411433,7082.3,688.7797664469149,1168.4,337.08396580080756,5036.8,794.9883018007246,1158.2,284.36744617562056,31
2325.7,529.8475776631951,1.8,1.5491933384829668,7411.3,614.9863684126123,1221.9,349.84201196159006,4889.8,832.5088988513376,1266.6,309.4217546040069,32
2068.2,494.8806365624386,1.8,1.5491933384829668,7710.5,557.3836201396665,1263.8,338.6219786789459,4706.4,876.4986150714798,1381.7,354.3557691235054,33
1827.0,444.00450448165503,1.8,1.5491933384829668,7980.2,490.84322004756945,1305.2,341.21345551168145,4551.0,903.6511126166632,1497.5,390.6966001046507,34
1610.5,413.06261295622267,1.8,1.5491933384829668,8212.6,445.04311900958294,1350.3,349.39981873683524,4383.3,947.4345535884436,1616.9,425.33736936434093,35
1419.4,379.73505383505363,1.8,1.5491933384829668,8416.0,399.26321031508917,1385.0,337.9187936636717,4219.0,984.5647656593129,1747.9,468.0079415280614,36
1244.5,338.78811798658006,1.8,1.5491933384829668,8599.7,348.4374804434474,1405.7,353.28428904904456,4043.6,1017.9917266636088,1888.9,497.69634874645766,37
1095.9,291.64150367646005,1.6,1.1737877907772674,8753.6,296.67872634664366,1425.9,355.90774397619145,3867.3,1030.4636550817522,2034.8,526.7488965342025,38
