av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,9926.0,0.0,0.0,0.0,10.0,0.0,8090.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,9.5,0.7071067811865476,8090.0,0.0,0.5,0.7071067811865476,1
13.5,5.835713800003866,9802.6,68.77854962769199,0.2,0.42163702135578396,7.0,2.581988897471611,8046.7,11.785584414868868,0.9,0.8755950357709131,2
34.0,15.44884030167529,9750.4,96.41369197370257,0.8,0.6324555320336759,14.2,3.155242550986462,8034.0,17.05546507395471,1.8,1.2292725943057183,3
69.4,31.316307430971346,9595.5,170.06943026632126,2.8,1.813529401164726,22.3,7.46919600016554,8003.5,27.721832551258224,2.8,1.0327955589886446,4
129.3,60.677746241014,9296.3,318.9838205579991,6.2,3.2930904093942583,36.2,13.579396157414363,7957.8,41.851058661772356,3.9,1.728840330651992,5
237.4,113.14022764300552,8838.1,494.0743196456717,11.5,6.078194176270157,53.5,19.132578382318354,7906.7,55.349495631547235,5.8,2.3944379994757297,6
423.6,193.83452278224905,8184.2,747.0715866338081,23.1,9.982762921934768,81.6,25.166997790316145,7836.0,78.77675912207722,7.6,3.1340424729448424,7
687.1,295.9269617095858,7289.9,1059.8568509211252,43.5,19.16159353150637,117.3,35.30517746104041,7756.3,84.89608026548954,11.5,3.8944404818493075,8
1069.7,439.7287168748983,6249.9,1363.297428215053,78.7,32.85337797616015,159.5,44.771642811047265,7656.2,110.21574801774523,17.9,5.933895104491746,9
1554.1,596.5646933345397,5178.9,1593.3205334213899,138.1,56.400256106589524,207.4,53.31082858523627,7543.5,128.1875795682076,27.6,7.7201036262475125,10
2115.7,757.2571924752882,4109.3,1779.2844410667515,219.3,89.69212773581513,266.0,64.70617349904789,7424.3,163.83124786736434,41.8,11.698053019389356,11
2727.8,918.4023325560777,3152.0,1870.1738481280884,340.8,132.10669088951468,332.8,81.75138462979626,7303.2,198.3250978682336,59.3,15.348181216895592,12
3366.6,1031.2330483455232,2257.0,1816.6675840976277,507.1,189.21971356071757,399.1,101.37986870073259,7152.6,236.06317421872947,82.4,20.66774190751267,13
