av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,8090.0,0.0,0.0,0.0,0
9.8,0.42163702135578396,8090.0,0.0,0.2,0.42163702135578396,1
5.3,2.057506581601462,8058.6,12.57157287074471,0.3,0.4830458915396479,2
11.6,3.921450978627398,8049.4,17.108802153017937,0.6,0.699205898780101,3
19.9,6.5903970543005475,8032.1,19.530318311111404,1.4,1.07496769977314,4
29.0,10.83205120618128,8009.1,31.64543147649173,2.2,1.1352924243950935,5
40.7,15.26106156202772,7978.9,39.405160406559276,4.2,2.0976176963403033,6
53.9,18.585836901612296,7954.9,43.41389946395816,6.6,3.3730961708462712,7
64.7,21.59243694753636,7932.3,46.79755454199621,10.5,3.9791121287711073,8
80.5,25.790825242063633,7911.1,51.86403163829223,14.2,5.202563470700445,9
98.1,30.226735774071862,7885.0,62.3360070727808,19.2,5.00666222813829,10
112.7,31.48915157108344,7845.1,61.50600693337918,26.7,8.692908987598264,11
127.6,31.102697274959574,7811.8,68.87960510920485,36.4,12.527303514058138,12
145.1,35.7722735586593,7770.5,77.8748996789081,46.7,15.972545890440328,13
162.8,39.720691501197884,7727.9,82.66727150316368,57.7,18.8741445722272,14
180.8,42.054990455619205,7682.7,94.01778791507724,72.1,22.76669106880098,15
200.6,43.71168163215768,7632.2,105.26136782103659,89.2,26.19075324528784,16
220.3,50.080047035831655,7583.6,119.5391149373292,106.1,26.392128456122,17
242.9,52.42232348913962,7535.4,126.2266039928016,123.3,31.24117653212041,18
268.4,59.193092690129156,7487.0,138.79080981422686,142.1,34.520364360121626,19
288.7,64.48781107913167,7413.3,154.3704419030189,166.3,40.518994174200444,20
313.1,74.10870394224959,7342.6,182.1532931962039,190.8,47.59505109660971,21
340.6,85.246309793054,7275.0,202.16384993915756,219.2,54.36870014590707,22
372.3,92.82007685122151,7194.0,229.7704168174059,246.1,59.26672290960961,23
395.0,101.84519843588329,7116.5,246.15543869677143,280.8,66.55457242827957,24
430.1,114.81526224524526,7044.8,258.7151157375833,314.9,74.11919829272006,25
455.2,120.03036652817856,6965.8,279.51775932447975,354.2,83.90973986638527,26
483.0,124.50881271799376,6883.5,301.4654024741295,395.2,93.98203137952606,27
511.3,127.18669567040239,6796.2,316.8167363704835,438.4,102.90146311453064,28
535.3,138.21565275563643,6718.5,326.4741779817952,487.6,114.76759124421842,29
558.7,144.12652620373376,6642.6,346.95475209312235,538.9,129.2615350537214,30
580.0,152.5334207458957,6559.9,374.54400423863564,593.8,139.57459176607563,31
602.2,154.67227001344202,6460.5,405.25417264285437,647.2,150.64586877102798,32
633.8,162.64535379503195,6369.2,430.7775399076522,700.0,162.70286482487708,33
655.2,173.01817502473224,6281.5,450.9053238886309,759.7,176.53772023753638,34
679.2,183.203469156867,6183.2,468.20503580755684,823.6,194.3994741648124,35
701.3,196.17115542867717,6087.1,502.23421937489593,890.2,209.87604807494245,36
727.2,205.03376415713691,5998.5,536.5656737271051,954.6,226.53927792867276,37
745.2,208.51847773172418,5903.3,559.3657221452804,1022.8,244.5148484471058,38
764.0,212.16450640429417,5787.7,592.531114982346,1096.4,262.3391358951657,39
780.6,219.8995730378352,5682.7,616.3748949390388,1171.4,280.5051791955998,40
801.4,225.85993693240755,5579.1,643.0984804487999,1246.3,302.34419311624146,41
823.7,233.46474870714184,5463.9,677.9825382871023,1324.9,321.39814353332326,42
843.1,251.76022543505775,5347.2,705.3608690277307,1406.8,336.3872768105239,43
865.4,260.7737205573701,5230.7,736.8934869512087,1490.2,357.3839516386947,44
887.3,267.02561258759016,5123.3,775.4683244480217,1575.8,381.4457293566733,45
912.4,275.18204075766926,5015.4,812.6480993230301,1662.4,403.4678012762191,46
924.7,276.4360685583558,4882.3,836.4580151514547,1754.2,432.93746020002067,47
945.5,280.4647927993815,4772.2,868.1883820154856,1844.1,452.29745620430907,48
958.9,278.77408216849875,4663.6,905.099282460831,1938.0,479.19492670287923,49
983.7,288.4568328960929,4546.5,933.2652653750463,2029.9,502.3543348850269,50
1001.4,298.88689796941213,4427.5,955.4580344293283,2126.4,529.6638766446341,51
1011.2,306.4063387798047,4293.9,1003.4002690850746,2227.5,555.1144526631923,52
1029.7,305.62833274710937,4183.8,1041.0726092726568,2327.9,584.8480239439226,53
1042.3,313.99435592945866,4065.9,1062.4120826371156,2431.5,611.9537473444287,54
1059.8,308.3424503156623,3957.0,1091.0497493494765,2528.1,640.7548413134829,55
1071.3,317.4520261218833,3830.0,1126.5889519548232,2631.0,669.0655174694529,56
1075.2,319.46754312623233,3718.5,1147.8217292864874,2742.8,697.542798368355,57
1075.9,316.7117336352132,3610.9,1155.5508979606989,2854.6,730.4288238197249,58
1080.4,312.4388651311556,3494.1,1177.6653410691663,2959.3,758.8057942143914,59
1083.7,309.48992085544745,3374.9,1201.7465484313516,3068.8,784.7545688515189,60
1088.5,308.5501039809688,3249.2,1218.5741029762794,3185.6,812.9455632998367,61
1094.7,305.02642872745014,3124.9,1222.7365892401629,3296.9,837.5097279700364,62
1092.5,289.248547485069,3008.6,1230.7427928784398,3414.4,870.6501019353298,63
1097.1,273.625230318161,2909.7,1240.907826284182,3526.0,902.1402945834484,64
1099.2,258.55057532328175,2803.0,1258.0601469458181,3634.5,934.6998627010348,65
1092.1,244.40515088225487,2698.7,1256.9300387142566,3748.7,961.9322048183368,66
1082.4,222.64630645438018,2610.5,1261.4480435858889,3866.7,987.2004243200962,67
1082.0,204.36949109123134,2517.9,1260.9785838343525,3974.4,1014.5466639506205,68
1074.8,184.2665943077523,2429.0,1254.6515231108774,4084.9,1041.705487276621,69
1060.0,171.34695146916906,2333.0,1250.1276379278681,4199.6,1061.5479473130003,70
1046.4,162.7364604369763,2247.7,1241.0074805039117,4310.5,1076.5599792342687,71
1033.0,146.41948868462376,2167.9,1223.6849131482609,4419.3,1097.6532593573336,72
1012.0,136.64471368398333,2085.6,1200.7574646400865,4531.8,1112.9958370691838,73
995.1,118.77191025939875,2014.3,1183.1734211198477,4638.8,1130.0078465804268,74
973.3,111.01356273496997,1957.3,1178.8538737076601,4747.4,1143.694423057721,75
946.1,106.65880179338225,1891.9,1175.680176654254,4849.2,1156.4340592240153,76
920.3,111.56169195163325,1815.9,1173.650851924124,4951.5,1168.37154003149,77
903.0,110.40229466214308,1752.7,1157.683227638526,5048.1,1176.0135533988448,78
