av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,8090.0,0.0,0.0,0.0,0
9.5,0.7071067811865476,8090.0,0.0,0.5,0.7071067811865476,1
7.0,2.581988897471611,8046.7,11.785584414868868,0.9,0.8755950357709131,2
14.2,3.155242550986462,8034.0,17.05546507395471,1.8,1.2292725943057183,3
22.3,7.46919600016554,8003.5,27.721832551258224,2.8,1.0327955589886446,4
36.2,13.579396157414363,7957.8,41.851058661772356,3.9,1.728840330651992,5
53.5,19.132578382318354,7906.7,55.349495631547235,5.8,2.3944379994757297,6
81.6,25.166997790316145,7836.0,78.77675912207722,7.6,3.1340424729448424,7
117.3,35.30517746104041,7756.3,84.89608026548954,11.5,3.8944404818493075,8
159.5,44.771642811047265,7656.2,110.21574801774523,17.9,5.933895104491746,9
207.4,53.31082858523627,7543.5,128.1875795682076,27.6,7.7201036262475125,10
266.0,64.70617349904789,7424.3,163.83124786736434,41.8,11.698053019389356,11
332.8,81.75138462979626,7303.2,198.3250978682336,59.3,15.348181216895592,12
399.1,101.37986870073259,7152.6,236.06317421872947,82.4,20.66774190751267,13
470.8,124.52023485718652,7001.1,272.4018477666161,111.1,29.793548891589865,14
545.9,142.61015235794244,6840.1,309.9334874883104,144.0,37.25288952252936,15
631.1,166.00431721293677,6679.0,357.54129520627095,181.6,47.07488124726864,16
702.8,195.32184266543825,6513.0,421.72371155638007,233.5,57.93530875036397,17
782.9,214.23634404813558,6341.9,488.8156775990994,288.3,70.38631495776245,18
855.7,242.46697369607543,6150.8,546.7548302890834,357.8,87.29490248576947,19
947.1,265.55830077614047,5950.7,612.5803439368406,431.8,107.64220568366501,20
1032.2,288.51913088890467,5764.3,657.0193722833108,511.3,134.4883720706821,21
1113.9,315.98890627502874,5566.7,721.748963744782,602.1,158.31084050759827,22
1185.5,340.49090377799456,5375.1,766.5245447979979,704.8,185.60340035199306,23
1261.4,366.0616827196689,5187.9,811.0224616700411,810.6,213.8962365260315,24
1321.3,381.7340697396553,4977.7,853.4671835128362,930.2,246.72692957554875,25
1384.8,396.017620258942,4787.3,907.3106842629916,1049.8,282.37673810394193,26
1438.6,408.06949299244496,4584.1,946.4824292552339,1183.0,317.0481912194983,27
1492.0,415.07429053925597,4381.9,987.1345118292868,1320.5,358.81572181583994,28
1539.0,418.1993145219952,4188.1,1015.1688912578919,1465.8,404.09289361069773,29
1589.4,433.7793089681536,3981.2,1036.1194482834067,1616.3,442.09050104148486,30
1620.7,430.9135128486406,3775.9,1065.504517952776,1776.5,484.1341067651951,31
1658.8,423.5990766960874,3565.7,1081.7832037890032,1938.9,527.1328000503183,32
1701.7,407.2113974611004,3371.5,1105.917844045288,2103.4,567.135727435094,33
1733.7,388.3005851713907,3163.4,1106.5478048617892,2268.0,614.215669686869,34
1751.2,373.07723358873324,2949.8,1106.6181515470155,2442.0,658.3702099376409,35
1778.3,350.8307759210034,2756.6,1100.381570183725,2613.9,702.95557785997,36
1797.8,317.5810657664171,2562.0,1087.5279817600608,2792.9,746.495880765594,37
1812.2,293.9651528856968,2393.3,1077.2520647977942,2979.4,779.9373479111426,38
1827.2,262.9790021190961,2222.9,1064.4187198236937,3161.2,813.7964255403327,39
1831.5,222.67128238728944,2045.8,1037.6234384399766,3348.1,850.8158764124912,40
1836.4,185.28428607592892,1871.2,1012.3651954156113,3534.2,885.7028345393907,41
1830.2,164.4842444329142,1712.5,991.0023264912708,3719.8,910.0275697899365,42
1816.8,156.3356787315181,1551.7,955.3228715407629,3911.0,922.5457531562685,43
1795.6,145.11466730371077,1403.9,917.5723344177771,4098.5,937.4555693175248,44
1776.2,141.76882591035312,1257.7,867.9299830951547,4282.9,952.0322648594076,45
1747.4,154.70057099657606,1129.8,821.4596493775915,4472.7,963.5348174531341,46
1714.0,176.9783414244052,1009.8,781.2260734113896,4661.0,963.7295609592281,47
1675.1,201.7635855263393,885.6,726.3814730872783,4842.6,967.3054441189826,48
1633.3,226.11209117996714,781.0,677.7580689302047,5027.0,971.5612864525497,49
1601.3,260.2336770417439,687.5,640.1529765090008,5197.5,969.196259221469,50
1548.6,294.2082406882732,593.2,601.1887852875797,5373.1,968.5386988195727,51
1495.7,321.40733933402606,508.2,552.2460804146402,5543.3,957.7525834531125,52
1439.8,333.4672397702659,446.1,519.9214577435926,5710.0,936.6684460244072,53
1382.0,354.2911545921267,378.6,467.82978861025,5867.5,912.8221501353797,54
1320.4,365.14052089572306,314.4,413.3121499948112,6020.3,882.6842961482132,55
1259.7,369.5002781535564,265.1,374.6021445035608,6168.0,851.9550066366963,56
1194.3,381.58908964137504,225.9,334.00946427043385,6311.1,828.027032569992,57
1129.6,385.5755294217838,188.2,288.5314540912307,6446.8,795.8337068061951,58
1059.9,384.49344742285416,156.7,255.9544447314361,6580.0,760.0425426689394,59
997.7,385.86613971399174,130.0,224.3335809805468,6700.2,727.2731108584848,60
