av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,1
13.8,4.685675570881488,9858.8,49.881637681393116,0.2,0.42163702135578396,2
22.6,11.955472944778611,9836.3,74.52523808154596,0.9,0.7378647873726218,3
39.0,24.939927826679853,9788.0,113.95515687224417,2.7,2.540778533354601,4
59.7,40.685924401989986,9714.2,191.6048016099805,4.0,2.70801280154532,5
94.5,73.32007455897282,9533.7,312.7604869900004,7.4,3.893013685508382,6
154.6,120.55261645162801,9306.9,465.88516706253796,13.1,8.26572575290411,7
253.3,188.14122945867615,8947.1,696.632925817703,22.1,16.353389047330015,8
399.5,287.0761610134534,8523.6,984.0324294565817,34.8,27.34064942738397,9
594.4,412.3852567684737,7936.4,1257.2203201242546,56.9,40.63783130696486,10
859.3,555.594986378467,7255.9,1447.752852603725,87.9,60.38294461186867,11
1175.3,694.9681127776855,6540.9,1574.4478009060124,135.1,92.35493128866122,12
1557.5,815.199805092115,5755.0,1623.3098560930655,205.8,138.4002247910827,13
1984.6,884.2307642490417,4818.3,1563.3247370055055,307.1,202.50785992976503,14
2473.5,927.7640085471927,3904.3,1524.4830125506664,429.1,259.7389501446062,15
2973.0,928.4356017875805,3119.6,1389.6454543835591,598.0,338.61974740604444,16
3448.8,877.0595824179285,2302.4,1226.0620067698226,808.7,427.8572061902065,17
3900.2,765.5533655830635,1639.5,1031.1626932739566,1076.0,522.7608333539238,18
4312.5,635.4522886189892,1124.1,827.4805737901042,1383.3,616.5756779720285,19
4620.9,478.74986510006806,704.4,592.0807377376838,1742.5,708.0370753004394,20
4815.8,351.7817505215414,425.8,484.69986131167354,2149.1,790.3437297221451,21
4909.0,297.4603615049687,227.3,347.36405814201464,2603.1,836.4615219947525,22
4930.8,339.8946895731088,123.5,229.59783680746355,3059.0,878.492774902307,23
4810.2,409.8009815074196,60.6,114.44086294288027,3565.8,887.8468086080817,24
4631.5,482.13650671890747,30.9,54.85020004014975,4078.9,885.1369573875747,25
4376.2,543.5647359995148,13.4,21.135541419871675,4596.0,873.3040707565722,26
4084.2,572.0562909364778,7.7,12.970479302374809,5095.9,841.6009149234571,27
3774.7,585.2431688338332,4.2,5.692099788303083,5570.4,804.5280466073124,28
3448.7,580.2053372154838,2.6,2.951459149490488,6031.1,746.6400962534315,29
3120.0,549.0304585762474,2.1,2.4698178070456938,6456.9,682.4744928078509,30
2793.3,513.2835581928483,1.6,1.776388345929897,6860.1,617.4633502394202,31
2502.9,477.56033941040135,1.4,1.7126976771553506,7213.8,554.6834532716235,32
2230.7,442.1201571217188,1.4,1.7126976771553506,7533.8,499.94306342489307,33
1971.9,399.0818490262646,1.4,1.7126976771553506,7823.4,442.04052101840415,34
1742.8,368.26916484791093,1.4,1.7126976771553506,8073.7,396.83919217290577,35
1538.4,336.39401500819446,1.4,1.7126976771553506,8293.7,353.7510266965863,36
1350.0,303.797081399191,1.4,1.7126976771553506,8493.0,312.6787488781417,37
1186.3,263.9663488654062,1.2,1.3165611772087666,8662.9,267.9052278532674,38
1039.1,236.88180362554,1.2,1.3165611772087666,8812.5,237.0378544546091,39
909.1,205.21503626954606,1.2,1.3165611772087666,8942.9,201.0955825803574,40
795.7,180.60211023745603,1.2,1.3165611772087666,9055.5,174.9477699835646,41
692.1,160.5839690352406,1.2,1.3165611772087666,9157.2,153.6488059034484,42
596.1,142.87480922510838,1.2,1.3165611772087666,9252.0,136.540592254953,43
514.1,128.70590938690856,1.2,1.3165611772087666,9332.7,123.16750112482322,44
440.7,111.90874258370822,1.2,1.3165611772087666,9404.7,106.83741541863193,45
378.1,98.94493418058349,1.2,1.3165611772087666,9466.3,93.96340895381681,46
321.5,91.25087518606176,1.2,1.3165611772087666,9521.9,86.63903405637797,47
267.7,83.26937545633982,1.2,1.3165611772087666,9574.8,78.89768339086038,48
223.2,74.8951860194558,1.2,1.3165611772087666,9618.7,70.51091326091932,49
186.9,63.47256625241071,1.2,1.3165611772087666,9654.7,58.8992548528606,50
153.2,55.96784791288656,1.2,1.3165611772087666,9688.1,51.731035172321846,51
125.1,49.628508832009935,1.2,1.3165611772087666,9715.9,46.01557707269716,52
101.6,43.004392540504256,1.2,1.3165611772087666,9739.2,39.4230614967658,53
83.4,36.83355957698239,1.2,1.3165611772087666,9757.4,33.15351498039922,54
67.8,30.043671916432288,1.2,1.3165611772087666,9773.0,26.583202716502512,55
54.1,23.473152512794034,1.2,1.3165611772087666,9786.7,20.23775349851526,56
42.7,19.03242846652348,1.2,1.3165611772087666,9798.0,16.08311744241976,57
33.7,14.166078419159543,1.2,1.3165611772087666,9807.0,12.578641509408806,58
27.7,12.649549838279269,1.2,1.3165611772087666,9813.0,11.469767022723502,59
20.6,9.453982112198954,1.2,1.3165611772087666,9820.1,9.538809615926345,60
