av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,1
10.6,3.438345855527367,9856.8,52.57333502409331,0.2,0.42163702135578396,2
21.3,10.198583779677996,9838.7,61.09746312245706,1.0,0.9428090415820634,3
35.8,17.643380880344022,9798.2,76.29882771780385,2.1,1.66332999331662,4
59.5,29.14046442091592,9722.9,106.66921871947042,3.1,2.282785822435191,5
89.2,42.247419382069296,9610.0,158.73387932147455,6.8,2.8982753492378874,6
133.7,63.536603623423254,9453.1,229.7701508512849,11.5,5.275730597114805,7
201.2,100.95301437357436,9235.1,353.50638843826664,18.3,8.233400809440099,8
290.5,144.12282570394217,8975.2,469.993806105759,30.3,14.437990010924498,9
411.9,198.73234373006434,8650.0,553.5732411644672,49.9,22.907786158131184,10
563.6,260.4983258636757,8254.5,678.4348408899217,76.5,34.13128249047264,11
763.6,338.0789519887001,7821.9,799.4700258435097,104.1,47.36958705517473,12
984.8,398.56013069269454,7316.3,871.0337472732551,153.1,69.30039281594618,13
1240.8,466.46443237042917,6786.3,932.4554263996871,213.6,88.63809063326619,14
1527.5,520.8521329940431,6248.5,973.531629344077,289.0,115.7420503629611,15
1817.3,545.7410965324532,5699.3,1042.2890460690621,397.5,158.10703125836412,16
2126.1,559.6174189172059,5090.3,1078.7350668465565,528.0,212.23833563027935,17
2440.9,572.9922338042636,4516.2,1006.1174881692496,683.3,261.8464562805208,18
2744.8,575.1961597770122,3927.2,963.1913159446108,872.1,312.72119282908284,19
3046.1,544.8074991325938,3370.8,928.1799155096794,1087.0,363.53786292183895,20
3326.8,513.7346483242968,2812.5,929.1422866756678,1334.4,416.2614562988026,21
3566.7,471.8891230410428,2297.5,883.237510525906,1625.8,467.84061863464194,22
3778.3,438.73810208622433,1809.0,819.2249724926331,1941.8,518.2665123059542,23
3952.4,418.7643728876658,1418.8,729.3063370993929,2284.2,559.8749463545905,24
4067.9,380.31374474825975,1074.2,604.0796121189472,2655.9,590.9982985499103,25
4114.9,336.3125034844824,792.0,483.22803450682926,3059.9,625.1873408116252,26
4127.6,300.0004444441152,581.4,353.67065659075155,3466.3,653.7886253726556,27
4088.2,275.55551971325934,437.4,266.05772138975993,3879.6,666.751027995708,28
3985.8,279.831616036025,335.1,201.22759364571363,4314.9,667.9628149996242,29
3819.6,320.02124929448047,266.8,168.74425093087532,4754.6,683.1321980407599,30
3639.3,350.2700704059972,222.8,141.82524457937663,5165.1,677.6125490770273,31
3440.4,367.6892407696719,190.1,119.40635568418367,5556.1,659.0971012596618,32
3201.3,385.97928844837145,174.7,107.594970968804,5951.4,640.1081853006481,33
2955.0,400.66472545286814,163.1,99.04931431699397,6328.7,610.801122388549,34
2709.0,393.37824602339725,153.6,91.72083248156392,6676.3,575.110820238635,35
2457.2,383.5908700106867,146.7,86.12142590552016,7009.1,538.742249235301,36
2221.8,362.711026698788,141.0,81.01303050195759,7308.1,493.5059270160795,37
1997.1,339.9491628660575,136.1,77.10663611734942,7584.3,449.9437125290723,38
1789.0,323.1288012886227,132.0,75.0496132198191,7828.8,417.86808125691215,39
1586.2,297.5417057601618,130.1,73.83984169960159,8059.9,378.92697918669705,40
1409.8,283.02131839610007,127.4,71.16678376258906,8259.5,355.55754339722097,41
1247.6,254.85167799678652,126.1,70.31587461037672,8438.1,319.5328013070193,42
1098.6,237.18309851720508,124.2,68.64854129711878,8599.0,295.31226410925325,43
961.4,211.5047674797584,123.3,67.73485890670409,8741.9,266.42716327982276,44
834.2,186.4294921828506,122.7,67.22276400148985,8876.0,240.30212464959837,45
726.7,168.31125267722828,122.2,66.62965639346424,8986.9,220.26370558945928,46
633.3,151.8244966327166,121.6,66.27082481923868,9082.9,203.4657765380267,47
547.6,133.72874701341436,121.2,66.01817931448882,9170.2,185.79128074266563,48
471.7,119.0481228560768,120.8,65.67055826032106,9246.9,171.1954373742997,49
405.7,103.83432316275128,120.5,65.8183527259347,9313.0,157.25068450654763,50
349.3,94.60567283907099,120.3,65.59649380873951,9369.3,146.22133147313966,51
298.9,82.11705737001974,120.1,65.46491851026438,9420.6,133.89979669721515,52
256.0,70.85979897735466,119.9,65.10751791374702,9464.0,125.42018267496752,53
219.8,61.66180160989279,119.8,65.01076833879138,9501.0,116.47603473104098,54
186.7,51.76238445477995,119.6,64.65670026291852,9534.4,107.039141335204,55
155.2,43.509385960579436,119.5,64.48126342848234,9566.1,97.13501485618413,56
129.3,35.85789855650898,119.5,64.48126342848234,9592.2,91.95264481725846,57
105.6,30.945112699746304,119.5,64.48126342848234,9615.8,90.03431444609204,58
85.6,26.571496842376877,119.5,64.48126342848234,9635.9,86.59157002849642,59
70.9,24.149764204047855,119.5,64.48126342848234,9650.5,84.85183164395058,60
58.0,21.602468994692867,119.5,64.48126342848234,9663.3,82.43387922719909,61
47.0,17.73258143769385,119.5,64.48126342848234,9674.2,79.64895200538145,62
37.6,15.298511183917357,119.4,64.30690303363843,9683.7,77.18095620034777,63
32.5,15.035144015125214,119.4,64.30690303363843,9688.9,77.80238499629115,64
26.8,12.145415230082136,119.4,64.30690303363843,9694.7,75.66747429818618,65
21.6,10.966616007988366,119.4,64.30690303363843,9700.0,75.22263252801277,66
17.3,8.90754985641082,119.4,64.30690303363843,9704.3,73.8738414084745,67
12.4,7.058485830702094,119.4,64.30690303363843,9709.2,71.93175778317793,68
9.4,6.003702561290362,119.4,64.30690303363843,9712.2,71.42175205542543,69
6.7,4.643992535164831,119.4,64.30690303363843,9715.0,70.4730050760179,70
4.2,2.9363620727393656,119.3,64.13362785795158,9717.5,69.27922568209831,71
3.5,2.4608038433722332,119.3,64.13362785795158,9718.2,68.9924311468697,72
2.7,1.8287822299126937,119.3,64.13362785795158,9719.1,68.40800797827369,73
2.5,1.6499158227686108,119.3,64.13362785795158,9719.2,68.32569062951357,74
1.8,1.5491933384829668,119.3,64.13362785795158,9719.9,68.17371601691927,75
1.1,1.1005049346146119,119.3,64.13362785795158,9720.6,67.84328346351694,76
0.7,1.0593499054713802,119.3,64.13362785795158,9721.0,67.77905281132217,77
0.6,0.966091783079296,119.3,64.13362785795158,9721.1,67.73551505672634,78
0.3,0.6749485577105528,119.3,64.13362785795158,9721.4,67.60539097504642,79
0.3,0.6749485577105528,119.3,64.13362785795158,9721.4,67.60539097504642,80
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,81
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,82
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,83
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,84
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,85
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,86
0.2,0.6324555320336759,119.3,64.13362785795158,9721.5,67.43762550189125,87
0.1,0.31622776601683794,119.3,64.13362785795158,9721.6,67.35511198944822,88
0.1,0.31622776601683794,119.3,64.13362785795158,9721.6,67.35511198944822,89
0.1,0.31622776601683794,119.3,64.13362785795158,9721.6,67.35511198944822,90
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,91
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,92
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,93
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,94
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,95
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,96
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,97
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,98
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,99
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,100
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,101
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,102
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,103
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,104
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,105
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,106
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,107
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,108
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,109
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,110
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,111
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,112
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,113
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,114
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,115
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,116
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,117
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,118
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,119
0.0,0.0,119.3,64.13362785795158,9721.7,67.27398374475001,120
