av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,1
11.9,4.280446497997869,9858.3,58.164613144266866,0.3,0.4830458915396479,2
23.5,15.529541740394874,9839.4,68.87702406785913,1.0,1.0540925533894598,3
38.5,28.340195247504322,9807.3,88.96072791468778,1.9,1.7919573407620817,4
60.8,42.47561391878613,9717.9,165.4465002484019,3.2,2.573367875415838,5
92.3,67.50810650910337,9610.5,234.73069675694316,5.9,4.094712037087183,6
141.4,98.78506409821725,9451.3,309.81896147409844,10.5,6.2048368229954285,7
209.2,138.52621091732465,9242.0,413.2158435168397,19.4,13.175735273600482,8
298.4,182.04041065409382,8964.8,543.6493559475833,29.9,22.41254608968428,9
414.4,240.33504391439325,8664.1,669.2361234189984,48.0,35.150470203904185,10
565.3,312.98280037940316,8316.6,823.6588020668645,73.5,49.30010141977397,11
744.8,390.9261936592237,7857.7,995.790255693102,106.1,67.83877947015262,12
972.5,483.3646541575924,7405.7,1116.9598669802083,154.1,96.64419278984123,13
1209.9,567.2155087207449,6908.0,1239.7784748359954,218.7,128.62611623530339,14
1484.7,645.804416556936,6368.7,1368.5012929803497,298.0,163.99254725613466,15
1766.4,708.6826903174336,5848.0,1447.6548084555393,403.5,218.0026758245565,16
2042.6,761.818467732161,5297.6,1495.1931276222776,533.3,273.0860873627785,17
2330.1,801.9867621517619,4816.9,1524.3296851038783,689.6,330.0010774393185,18
2612.2,820.7624910207987,4276.8,1485.26210182281,872.7,397.03849519494537,19
2870.9,810.0837336692767,3719.3,1464.5165338014378,1090.8,469.3162402190376,20
3096.7,769.3155760515679,3244.7,1425.7463581499262,1335.6,555.0806147658994,21
3308.8,726.6872779951497,2761.5,1338.163023617742,1605.4,634.6735293746611,22
3521.0,662.6302806911928,2280.0,1218.051996700743,1892.1,700.7425347443952,23
3675.7,579.5471507996567,1868.4,1110.9818680388582,2224.2,775.2074704375741,24
3794.1,477.69363729393666,1519.4,955.7491767660013,2571.6,847.2620216517045,25
3853.7,382.95954239463873,1221.8,809.6450250984482,2937.2,898.997935975878,26
3872.3,299.2810087897697,983.7,677.7592247005323,3327.6,942.1871953657145,27
3849.5,244.83747443740896,768.3,538.4426204857446,3726.4,986.0794649069167,28
3803.9,258.0014857838355,584.9,402.04296343107967,4118.5,1011.8823218800363,29
3703.5,325.74743113168046,443.0,306.42671772111083,4528.8,1031.6276029222518,30
3576.4,410.36601548698775,359.6,248.3188810112245,4923.1,1027.4854365012782,31
3418.0,481.88034476067463,298.1,198.84301457291488,5313.0,1014.7172567326876,32
3241.4,531.9693391331664,259.1,165.87642656172966,5685.6,992.0542323885323,33
3031.1,561.0552458438374,231.2,151.03185830222122,6053.5,957.5184651541249,34
2811.3,573.6291969169245,211.9,134.81052547103943,6406.2,908.8559108388231,35
2583.8,578.2184900383437,199.2,125.32340386199041,6745.7,865.2309967735656,36
2351.0,560.9929688606722,189.8,118.88911734142121,7060.8,806.6820659687157,37
2131.7,539.0831826144995,181.3,113.22450657383713,7348.6,743.2261806176876,38
1911.0,501.4625276794535,175.6,108.60141189996871,7616.0,679.4206682493876,39
1721.0,468.77642147758814,170.2,103.62089021470955,7846.9,625.8259342660705,40
1542.4,436.55881619777193,166.4,100.40938424492226,8062.1,573.3070633516465,41
1366.1,399.8214740494952,163.3,98.05333016045685,8267.0,518.7163643713843,42
1209.7,369.4073481793356,161.8,96.63539724138356,8441.7,474.1561041588636,43
1064.6,330.26090696094604,160.6,95.94002756351954,8599.9,426.9554881821862,44
936.9,294.38955672902375,159.1,94.45451580287497,8736.2,387.04946568738325,45
824.9,264.9467242044458,157.8,93.18416651389275,8855.8,350.98743250688875,46
718.0,234.41416339462086,156.3,91.7497199511318,8966.6,318.25224098015224,47
630.8,209.13302518306912,155.8,91.03942979708175,9057.5,290.47939303464847,48
549.6,180.460029430958,155.0,90.54280755532159,9141.1,260.4847830914931,49
477.8,160.64093846560755,154.4,89.76289755671759,9214.4,240.1884445365532,50
413.2,141.01363212272935,154.0,89.27485648266257,9280.0,218.8266691039077,51
353.8,124.45597168834001,153.9,89.20320123802234,9339.6,204.32718859711255,52
302.9,111.71536251663073,153.7,88.88700692452188,9391.0,192.04455501552528,53
258.5,100.30204384757073,153.5,88.5716909878345,9436.1,180.1187571205916,54
218.5,87.21397696343045,153.1,88.05862945914058,9476.3,168.85565828047731,55
185.6,76.69738515027021,152.7,87.54814548451485,9509.6,159.3843711841841,56
155.6,66.97793998358298,152.6,87.36284488652294,9539.2,149.96577387301855,57
130.8,56.18382527224559,152.5,87.2356323732198,9564.2,141.28363906223063,58
110.1,49.36586765052235,152.3,86.92404091440348,9585.2,134.3625278449646,59
89.8,41.44018446977389,152.2,86.73945661193257,9605.5,127.82561906319441,60
73.7,34.72767068363657,152.2,86.73945661193257,9621.8,122.10268902307871,61
61.2,31.01899059895047,152.1,86.78639166239012,9634.1,117.67795035604588,62
50.8,27.034134801107367,152.1,86.78639166239012,9644.4,113.24820332153422,63
43.1,22.752045085124887,152.0,86.60254037844386,9652.1,109.31346364164541,64
35.2,19.251551164054867,152.0,86.60254037844386,9660.0,106.28473288504067,65
27.6,15.607690412101336,151.9,86.41945511412476,9667.7,102.11545753051624,66
21.8,13.423031616508164,151.9,86.41945511412476,9673.5,100.51782594810402,67
18.3,11.614645926587688,151.9,86.41945511412476,9677.2,99.06092401480346,68
14.6,9.500877152487904,151.9,86.41945511412476,9681.1,97.29160064237587,69
11.4,8.342661445845685,151.9,86.41945511412476,9684.3,95.95490839162134,70
8.8,7.052186422190875,151.9,86.41945511412476,9686.9,94.77276917858725,71
7.3,5.578729445153459,151.9,86.41945511412476,9688.4,93.44778696624596,72
5.6,4.575295983139597,151.9,86.41945511412476,9690.4,92.25110658776222,73
4.8,3.675746333890726,151.9,86.41945511412476,9691.2,91.27832893591628,74
4.1,3.6040101122068027,151.8,86.29252574817822,9691.9,91.5987020771704,75
3.3,3.093002855909879,151.8,86.29252574817822,9692.7,91.10805550431739,76
2.6,2.4585451886114367,151.8,86.29252574817822,9693.5,90.43874538419176,77
1.6,2.0655911179772892,151.8,86.29252574817822,9694.5,89.99537025128942,78
1.5,2.068278940998476,151.8,86.29252574817822,9694.7,89.76890082626365,79
1.3,1.9465068427541912,151.8,86.29252574817822,9694.9,89.56121432356258,80
1.0,1.4907119849998598,151.8,86.29252574817822,9695.2,89.13884301096427,81
0.6,1.0749676997731399,151.8,86.29252574817822,9695.6,88.65814495389957,82
0.5,0.8498365855987975,151.8,86.29252574817822,9695.7,88.69178842110092,83
0.4,0.6992058987801011,151.8,86.29252574817822,9695.8,88.51214605917087,84
0.3,0.6749485577105528,151.8,86.29252574817822,9695.9,88.33327044022919,85
0.1,0.31622776601683794,151.8,86.29252574817822,9696.1,88.24769433563438,86
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,87
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,88
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,89
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,90
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,91
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,92
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,93
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,94
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,95
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,96
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,97
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,98
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,99
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,100
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,101
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,102
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,103
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,104
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,105
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,106
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,107
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,108
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,109
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,110
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,111
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,112
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,113
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,114
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,115
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,116
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,117
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,118
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,119
0.0,0.0,151.8,86.29252574817822,9696.2,88.28338210306373,120
