av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,1
10.1,2.330951164939612,9858.8,53.74176939567377,0.2,0.42163702135578396,2
20.3,9.922477289243627,9840.7,61.852961844109686,0.8,0.9189365834726815,3
34.9,20.77097333620486,9814.7,80.2552178989005,1.7,1.4181364924121764,4
54.5,35.182855673372124,9734.7,147.45925991043535,3.0,1.9436506316151,5
81.3,56.91914343073769,9618.1,202.10692989383395,6.1,4.094712037087183,6
128.0,85.15737066031205,9458.7,285.6610462302015,10.9,6.983313444681305,7
194.3,120.01856337898549,9276.7,374.17792856102864,17.6,12.167351578895238,8
285.1,162.3394591588872,9014.2,486.12293826882006,27.8,19.481044918358744,9
407.3,224.05904479747198,8726.4,621.991818452801,42.1,29.815916703815915,10
552.3,292.22519854842545,8383.1,762.2212350171774,63.9,40.67882331959304,11
713.4,359.01909574716376,7994.7,882.1065758235288,96.9,58.39796419587093,12
917.5,437.71940530181865,7560.2,1042.9828804390265,141.7,84.70871659201705,13
1146.9,524.2928464979175,7078.4,1163.9273745957405,200.1,111.53220760539682,14
1393.9,601.0521238258422,6536.2,1331.9906406077585,274.2,146.0013698565873,15
1651.0,670.395239972494,6062.8,1419.2255164936496,369.9,184.23261262750296,16
1931.2,745.5006967729064,5554.1,1501.5772781386318,490.1,239.68333275386507,17
2225.2,810.0900910118304,5023.4,1576.6513882275942,633.2,295.33890137715804,18
2493.4,853.2159033783757,4532.1,1620.3000030858484,808.9,359.36933956894853,19
2743.6,872.714182561762,4038.0,1613.5069465814724,1010.4,435.47654612185744,20
2969.3,864.9052677734262,3518.4,1548.7273054565374,1239.6,513.1461130451378,21
3189.9,857.1553016292387,3061.7,1511.9210774522737,1492.5,586.2806021389796,22
3373.0,804.1416403705119,2642.4,1432.0049037780716,1785.9,664.2035246987343,23
3508.2,721.6647113137483,2208.1,1328.318356251827,2102.1,754.7843621414883,24
3635.6,648.2359309867221,1805.4,1234.7157297667077,2420.9,821.4426942885303,25
3713.9,567.9069661680708,1489.1,1141.1757533351295,2778.1,898.3402535293134,26
3760.3,478.15386877261824,1237.6,1028.6224012942964,3148.9,961.0980352353934,27
3762.0,399.9488856230395,1010.9,887.5379741484617,3527.3,1031.6952661625535,28
3730.8,343.48922027400573,799.8,712.7014023340272,3909.7,1065.7565961429573,29
3669.1,336.7829667110061,642.1,557.9630513453975,4295.4,1093.7124545936804,30
3567.2,363.6288706298712,498.4,410.0233597681424,4676.7,1109.889689213402,31
3433.0,388.4913841458464,408.2,307.8249141602703,5057.7,1102.2774454132077,32
3280.3,446.83082804221203,336.4,226.8098567327071,5441.0,1090.4163323143036,33
3092.8,503.35558449712704,279.9,172.1533231357056,5813.5,1070.0877689859526,34
2901.8,551.0653923688791,239.5,139.9787682313127,6162.4,1035.7814226735077,35
2693.6,592.4225594023989,217.4,123.75262062320584,6502.5,997.3908461581146,36
2485.3,608.5575020762897,202.9,112.86909822149434,6818.1,946.4490888461871,37
2277.2,612.2882037443187,190.7,104.61468985440492,7115.2,886.3336216622322,38
2069.2,602.0689882950845,183.3,100.54634089148479,7391.4,829.3300107114577,39
1868.1,574.7108355029026,175.6,95.14456836251289,7649.2,759.7629454858492,40
1684.6,542.5888969663047,170.8,92.37459968339061,7880.0,695.4795308114954,41
1512.1,507.2872186663313,166.6,89.6687732094562,8086.6,633.1126282108106,42
1351.4,472.6526090998429,163.9,88.01571829319276,8273.8,577.9978469779201,43
1187.7,427.67746154211954,161.9,87.25244345511986,8457.1,514.4473734017893,44
1044.9,387.4140621551515,159.1,86.15805888662483,8614.3,459.85820278284336,45
918.5,352.79999055177615,157.3,84.93141023463842,8752.9,414.2305986873602,46
806.3,320.33768640816106,156.6,84.43959050377048,8873.3,373.0728406684738,47
709.6,290.6965580960478,155.8,83.70955076267515,8975.1,338.6241607183726,48
614.1,259.04030145476935,154.8,83.03653814235433,9074.5,303.4674611881808,49
538.0,229.23689832912055,154.6,82.93263665302233,9154.2,271.04644948380667,50
467.3,208.31229227079018,154.2,82.44971531518804,9226.5,247.54314999836112,51
400.1,183.4977747367344,153.7,82.19360613143147,9296.0,221.50344868145459,52
346.6,162.29273961990208,153.4,81.99078539012106,9350.4,200.76586695285962,53
296.9,142.3715405393773,153.2,81.74322941721567,9400.7,182.91105913955982,54
252.3,123.34599034153212,152.8,81.40816229892975,9446.1,164.3319472558178,55
213.1,109.72637685523831,152.7,81.45625956439581,9485.4,151.98406349205024,56
179.9,99.75464344524966,152.4,81.44691522703607,9518.8,141.27341497174115,57
152.0,85.37108539911053,152.4,81.44691522703607,9547.1,128.9000043099732,58
131.9,76.15255157321461,152.4,81.44691522703607,9567.7,120.82222937485929,59
111.3,66.9942783626582,152.1,81.2833863030379,9588.5,112.75366463618329,60
92.8,54.79821570493372,152.0,81.3360655278798,9607.1,104.59068367264415,61
76.2,47.44072324725059,152.0,81.3360655278798,9623.8,98.7216063258472,62
61.8,39.53563793170241,151.9,81.38993931821193,9638.1,95.68518984438269,63
50.9,34.55253648833582,151.9,81.38993931821193,9649.3,93.47019727045503,64
41.0,29.548453616240412,151.8,81.43409059546936,9659.1,89.01242110577103,65
33.0,26.34809712715934,151.8,81.43409059546936,9667.2,86.86490149140279,66
27.2,22.299975087180904,151.8,81.43409059546936,9673.0,86.30308350355868,67
22.1,17.96570807585013,151.7,81.48899039474937,9678.1,84.5254070942249,68
17.2,13.830722645215936,151.7,81.48899039474937,9682.9,83.06951573498213,69
13.0,10.583005244258363,151.7,81.48899039474937,9687.2,81.27976377918431,70
11.5,9.383792173506166,151.7,81.48899039474937,9688.7,80.96233692279391,71
9.2,7.360555534589612,151.7,81.48899039474937,9691.0,80.66253432941743,72
7.3,6.147266781984404,151.7,81.48899039474937,9692.9,80.52804894362377,73
5.5,4.790035954399971,151.7,81.48899039474937,9694.7,79.70089920028087,74
4.2,3.73571352696584,151.7,81.48899039474937,9696.0,79.76214641043707,75
3.3,2.9832867780352594,151.7,81.48899039474937,9696.9,79.80316061688562,76
2.9,2.514402955419481,151.7,81.48899039474937,9697.3,79.72041422649812,77
2.3,2.057506581601462,151.7,81.48899039474937,9697.9,79.46830255586885,78
2.0,2.0,151.7,81.48899039474937,9698.2,79.68521401949883,79
1.6,1.9550504398153576,151.7,81.48899039474937,9698.6,79.42599630403694,80
1.3,1.4181364924121764,151.7,81.48899039474937,9698.9,79.08146292133054,81
1.1,1.449137674618944,151.7,81.48899039474937,9699.2,78.94555085627054,82
1.0,1.3333333333333333,151.7,81.48899039474937,9699.3,78.95997579646145,83
0.8,1.2292725943057183,151.7,81.48899039474937,9699.5,78.84619345423229,84
0.7,0.9486832980505138,151.7,81.48899039474937,9699.6,78.73894984200781,85
0.6,0.9660917830792959,151.7,81.48899039474937,9699.7,78.75566998988425,86
0.4,0.6992058987801011,151.7,81.48899039474937,9699.9,78.52027339059214,87
0.4,0.6992058987801011,151.7,81.48899039474937,9699.9,78.52027339059214,88
0.4,0.6992058987801011,151.7,81.48899039474937,9699.9,78.52027339059214,89
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,90
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,91
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,92
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,93
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,94
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,95
0.1,0.31622776601683794,151.7,81.48899039474937,9700.2,78.39189300488214,96
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,97
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,98
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,99
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,100
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,101
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,102
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,103
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,104
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,105
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,106
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,107
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,108
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,109
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,110
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,111
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,112
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,113
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,114
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,115
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,116
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,117
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,118
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,119
0.0,0.0,151.7,81.48899039474937,9700.3,78.45033814812753,120
